,PseKNC_5_Xc1.AAA,PseKNC_5_Xc1.AAC,PseKNC_5_Xc1.AAG,PseKNC_5_Xc1.AAT,PseKNC_5_Xc1.ACA,PseKNC_5_Xc1.ACC,PseKNC_5_Xc1.ACG,PseKNC_5_Xc1.ACT,PseKNC_5_Xc1.AGA,PseKNC_5_Xc1.AGC,PseKNC_5_Xc1.AGG,PseKNC_5_Xc1.AGT,PseKNC_5_Xc1.ATA,PseKNC_5_Xc1.ATC,PseKNC_5_Xc1.ATG,PseKNC_5_Xc1.ATT,PseKNC_5_Xc1.CAA,PseKNC_5_Xc1.CAC,PseKNC_5_Xc1.CAG,PseKNC_5_Xc1.CAT,PseKNC_5_Xc1.CCA,PseKNC_5_Xc1.CCC,PseKNC_5_Xc1.CCG,PseKNC_5_Xc1.CCT,PseKNC_5_Xc1.CGA,PseKNC_5_Xc1.CGC,PseKNC_5_Xc1.CGG,PseKNC_5_Xc1.CGT,PseKNC_5_Xc1.CTA,PseKNC_5_Xc1.CTC,PseKNC_5_Xc1.CTG,PseKNC_5_Xc1.CTT,PseKNC_5_Xc1.GAA,PseKNC_5_Xc1.GAC,PseKNC_5_Xc1.GAG,PseKNC_5_Xc1.GAT,PseKNC_5_Xc1.GCA,PseKNC_5_Xc1.GCC,PseKNC_5_Xc1.GCG,PseKNC_5_Xc1.GCT,PseKNC_5_Xc1.GGA,PseKNC_5_Xc1.GGC,PseKNC_5_Xc1.GGG,PseKNC_5_Xc1.GGT,PseKNC_5_Xc1.GTA,PseKNC_5_Xc1.GTC,PseKNC_5_Xc1.GTG,PseKNC_5_Xc1.GTT,PseKNC_5_Xc1.TAA,PseKNC_5_Xc1.TAC,PseKNC_5_Xc1.TAG,PseKNC_5_Xc1.TAT,PseKNC_5_Xc1.TCA,PseKNC_5_Xc1.TCC,PseKNC_5_Xc1.TCG,PseKNC_5_Xc1.TCT,PseKNC_5_Xc1.TGA,PseKNC_5_Xc1.TGC,PseKNC_5_Xc1.TGG,PseKNC_5_Xc1.TGT,PseKNC_5_Xc1.TTA,PseKNC_5_Xc1.TTC,PseKNC_5_Xc1.TTG,PseKNC_5_Xc1.TTT,PseKNC_5_Xc2.lambda.1,PseKNC_5_Xc2.lambda.2,PseKNC_5_Xc2.lambda.3,PseKNC_5_Xc2.lambda.4,PseKNC_5_Xc2.lambda.5
DVU0697,0.002,0.002,0.003,0,0.003,0.005,0.003,0.002,0.002,0.002,0.003,0.001,0,0.004,0.002,0.001,0.002,0.004,0.003,0.005,0.003,0.005,0.007,0.004,0.005,0.007,0.005,0.004,0.001,0.004,0.003,0.002,0.004,0.004,0.002,0.001,0.005,0.006,0.005,0.003,0.002,0.006,0.003,0.002,0,0.004,0.003,0.001,0,0.002,0,0,0.003,0.003,0.006,0.002,0.002,0.003,0.003,0.001,0,0.003,0.001,0.001,0.204,0.157,0.143,0.158,0.155
DVU0698,0.001,0.003,0.001,0,0.004,0.005,0.005,0.002,0.002,0.002,0.002,0,0,0.002,0.004,0,0.002,0.006,0.003,0.004,0.004,0.005,0.005,0.003,0.003,0.006,0.007,0.003,0.002,0.002,0.004,0.004,0.002,0.006,0.002,0.001,0.005,0.004,0.004,0.004,0.004,0.005,0.003,0.002,0,0.003,0.002,0.002,0,0.002,0,0.001,0.003,0.003,0.005,0.002,0.002,0.004,0.002,0.002,0.001,0.005,0,0.002,0.208,0.146,0.156,0.158,0.153
DVU0700,0.001,0.003,0.003,0,0.003,0.004,0.005,0.001,0.003,0.003,0.004,0.001,0,0.003,0.002,0.001,0.003,0.003,0.004,0.004,0.005,0.003,0.005,0.003,0.006,0.006,0.005,0.003,0.001,0.003,0.003,0.002,0.003,0.005,0.003,0.002,0.004,0.007,0.005,0.002,0.003,0.006,0.004,0.003,0.001,0.003,0.003,0.001,0,0.001,0,0,0.003,0.003,0.005,0.001,0.002,0.004,0.003,0.001,0,0.003,0.001,0.001,0.205,0.16,0.14,0.159,0.155
DVU0701,0,0.002,0.002,0.001,0.002,0.004,0.004,0.001,0.002,0.002,0.003,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.003,0.003,0.003,0.004,0.005,0.003,0.005,0.005,0.005,0.004,0.001,0.003,0.004,0.001,0.002,0.005,0.002,0.002,0.005,0.005,0.007,0.003,0.003,0.007,0.006,0.003,0.001,0.002,0.004,0.002,0,0.002,0,0.001,0.002,0.002,0.004,0.002,0.002,0.005,0.004,0.001,0,0.002,0.001,0,0.21,0.152,0.15,0.161,0.154
DVU0702,0.001,0.002,0.005,0,0.002,0.002,0.004,0.001,0.001,0.003,0.003,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.001,0.005,0.003,0.002,0.005,0.002,0.004,0.003,0.005,0.004,0.001,0,0.003,0.002,0.003,0.003,0.002,0.002,0.006,0.007,0.005,0.002,0.002,0.007,0.005,0.002,0.001,0.003,0.004,0.003,0,0.002,0,0.001,0.002,0.002,0.002,0.001,0.003,0.005,0.003,0.004,0,0.003,0.003,0.003,0.213,0.148,0.154,0.165,0.149
DVU0703,0,0.002,0.004,0,0.003,0.003,0.004,0.001,0.003,0.003,0.004,0.002,0,0.004,0.003,0,0.003,0.003,0.003,0.004,0.003,0.003,0.005,0.003,0.006,0.007,0.003,0.005,0.001,0.004,0.002,0.002,0.003,0.005,0.004,0.001,0.004,0.005,0.006,0.003,0.002,0.005,0.002,0.003,0.002,0.003,0.004,0.001,0,0.001,0,0.001,0.004,0.002,0.006,0.002,0.002,0.004,0.003,0.001,0,0.003,0.001,0,0.209,0.151,0.149,0.161,0.156
DVU0704,0,0.002,0.004,0.001,0.003,0.003,0.003,0.002,0.002,0.001,0.003,0.001,0.001,0.005,0.002,0.001,0.004,0.001,0.002,0.005,0.003,0.002,0.003,0.002,0.005,0.004,0.003,0.006,0.001,0.002,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.006,0.003,0.002,0.005,0.003,0.003,0.003,0.003,0.004,0.002,0,0.005,0.001,0.001,0.003,0.003,0.006,0.002,0.001,0.003,0.003,0.002,0,0.004,0.001,0,0.213,0.152,0.149,0.16,0.158
DVU0705,0,0,0.001,0.001,0,0.002,0.003,0,0.001,0.001,0.001,0.001,0.001,0.005,0.003,0.001,0.001,0.001,0.002,0.007,0.004,0.003,0.006,0.003,0.002,0.006,0.006,0.004,0.001,0.003,0.005,0.002,0.001,0.003,0.001,0.002,0.003,0.007,0.005,0.004,0.002,0.008,0.003,0.003,0.001,0.003,0.005,0.003,0,0.001,0,0.001,0.004,0.004,0.005,0.004,0.002,0.003,0.006,0.003,0,0.005,0.001,0.001,0.207,0.16,0.142,0.16,0.16
DVU0706,0,0.003,0.002,0,0.002,0.001,0.004,0.002,0.001,0.001,0.002,0,0,0.002,0.004,0,0.003,0.002,0.002,0.005,0.003,0.003,0.006,0.003,0.002,0.009,0.003,0.004,0.001,0.004,0.006,0.003,0.002,0.003,0.001,0.001,0.004,0.008,0.004,0.006,0.001,0.006,0.001,0.004,0,0.005,0.004,0.001,0,0.001,0,0,0.003,0.003,0.005,0.003,0.003,0.006,0.006,0.002,0,0.003,0.001,0.001,0.212,0.154,0.138,0.168,0.152
DVU0707,0.002,0.003,0.005,0.001,0.002,0.005,0.003,0.001,0.003,0.003,0.004,0.001,0.001,0.003,0.002,0.001,0.005,0.003,0.002,0.003,0.004,0.005,0.007,0.004,0.004,0.006,0.004,0.003,0.001,0.003,0.005,0.002,0.004,0.004,0.003,0.001,0.003,0.007,0.003,0.004,0.003,0.006,0.003,0.003,0.001,0.004,0.003,0.002,0,0.001,0,0.001,0.004,0.004,0.004,0.002,0.003,0.001,0.004,0.002,0,0.003,0.002,0.001,0.197,0.164,0.145,0.151,0.153
DVU0708,0.005,0.004,0.006,0.004,0,0.006,0.002,0.001,0.005,0.001,0.001,0.001,0.004,0.006,0.006,0,0.004,0.001,0.002,0.006,0.002,0.001,0.002,0.001,0.002,0.002,0.002,0.004,0.001,0.002,0.002,0.004,0.008,0.001,0,0.001,0.004,0,0.002,0.002,0.002,0.004,0.007,0.005,0.004,0.004,0.004,0,0.001,0.004,0,0.004,0.007,0,0.004,0.005,0.002,0.001,0.007,0.001,0,0.004,0,0.001,0.208,0.154,0.137,0.189,0.135
DVU0709,0.004,0.003,0.004,0.003,0.001,0.003,0.001,0.002,0.003,0.004,0.003,0.001,0.003,0.004,0.004,0,0.002,0.001,0.003,0.003,0.002,0.003,0.003,0.001,0.002,0.005,0.003,0.003,0.001,0.001,0.002,0.005,0.008,0.001,0.002,0.002,0.004,0.001,0.006,0.003,0.005,0.004,0.006,0.003,0.002,0.002,0.004,0.001,0.001,0.003,0.001,0.002,0.003,0.001,0.003,0.003,0.003,0.001,0.007,0.002,0.001,0.003,0.002,0.003,0.202,0.153,0.139,0.181,0.146
DVU0710,0,0.001,0.002,0,0.001,0.003,0.002,0.001,0.002,0.002,0.004,0.001,0.001,0.003,0.002,0.001,0.002,0.003,0.003,0.004,0.002,0.004,0.007,0.003,0.003,0.008,0.006,0.004,0.001,0.002,0.003,0.002,0.002,0.003,0.003,0.001,0.006,0.007,0.008,0.003,0.002,0.008,0.005,0.003,0.001,0.002,0.004,0.001,0,0.001,0.001,0.001,0.002,0.002,0.004,0.002,0.002,0.006,0.004,0.001,0,0.002,0.002,0.001,0.212,0.15,0.149,0.16,0.156
DVU0711,0,0.001,0.002,0,0.002,0.003,0.004,0.001,0.001,0.003,0.002,0.002,0,0.003,0.002,0.001,0.001,0.004,0.003,0.003,0.002,0.004,0.007,0.003,0.005,0.005,0.005,0.006,0,0.002,0.004,0.002,0.003,0.005,0.003,0.001,0.005,0.006,0.006,0.003,0.003,0.007,0.006,0.002,0.001,0.004,0.004,0.003,0,0.001,0,0.001,0.003,0.003,0.003,0.002,0.002,0.005,0.005,0.001,0,0.002,0.004,0.002,0.208,0.155,0.145,0.163,0.152
DVU0712,0.001,0.003,0.006,0,0.003,0.004,0.004,0.002,0.002,0.002,0.005,0,0,0.002,0.002,0,0.006,0.002,0.002,0.003,0.003,0.003,0.006,0.004,0.005,0.006,0.004,0.004,0.002,0.003,0.004,0.002,0.004,0.005,0.001,0.001,0.004,0.007,0.004,0.004,0.001,0.007,0.004,0.003,0.001,0.004,0.004,0.001,0,0.002,0,0,0.003,0.002,0.004,0.002,0.002,0.004,0.002,0.002,0,0.002,0.001,0,0.205,0.161,0.137,0.162,0.157
DVU0713,0.001,0.002,0.002,0,0.001,0.003,0.003,0.001,0.001,0.001,0.002,0.001,0.001,0.006,0.004,0.001,0.002,0.003,0.001,0.008,0.004,0.002,0.003,0.004,0.002,0.005,0.005,0.003,0.002,0.005,0.003,0.003,0.001,0.002,0.001,0.001,0.003,0.007,0.004,0.003,0.001,0.008,0.005,0.005,0.001,0.002,0.005,0.001,0,0.002,0,0.001,0.005,0.003,0.005,0.004,0.002,0.004,0.006,0.002,0,0.004,0.001,0,0.207,0.157,0.143,0.161,0.158
DVU0714,0,0.002,0.002,0,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.005,0.004,0,0.003,0.001,0.001,0.006,0.003,0.002,0.004,0.004,0.002,0.005,0.006,0.003,0.002,0.003,0.005,0.003,0.001,0.002,0.002,0.002,0.004,0.006,0.005,0.004,0.002,0.006,0.005,0.002,0.001,0.003,0.004,0.001,0,0.002,0,0.002,0.003,0.003,0.005,0.004,0.002,0.006,0.004,0.002,0,0.004,0.001,0,0.209,0.158,0.144,0.159,0.159
DVU0715,0,0.003,0.003,0,0.002,0.005,0.004,0.001,0.003,0.002,0.002,0.001,0.001,0.004,0.002,0,0.003,0.003,0.003,0.006,0.004,0.003,0.004,0.003,0.006,0.005,0.006,0.003,0,0.005,0.003,0.001,0.003,0.005,0.003,0.001,0.004,0.005,0.005,0.003,0.001,0.006,0.005,0.004,0.001,0.003,0.004,0.002,0,0.001,0,0.001,0.004,0.002,0.006,0.003,0.002,0.004,0.003,0.002,0,0.003,0.001,0,0.206,0.153,0.148,0.154,0.161
DVU0716,0,0.002,0.003,0.001,0.002,0.002,0.004,0,0.001,0.003,0.003,0.001,0,0.003,0.003,0,0.003,0.004,0.002,0.003,0.003,0.003,0.004,0.002,0.003,0.004,0.006,0.005,0,0.003,0.003,0.002,0.003,0.002,0.003,0.001,0.004,0.004,0.005,0.004,0.002,0.007,0.004,0.005,0.001,0.003,0.006,0.002,0,0.001,0,0,0.003,0.002,0.005,0.003,0.002,0.004,0.005,0.002,0,0.002,0.002,0.001,0.21,0.156,0.148,0.155,0.153
DVU0717,0.001,0.003,0.002,0.001,0.002,0.004,0.003,0.001,0.002,0.002,0.004,0,0.001,0.004,0.004,0.001,0.002,0.004,0.003,0.006,0.004,0.004,0.005,0.004,0.005,0.007,0.004,0.002,0,0.003,0.003,0.003,0.003,0.004,0.003,0.002,0.005,0.006,0.004,0.004,0.002,0.005,0.003,0.003,0.001,0.002,0.002,0.001,0,0.001,0,0,0.005,0.002,0.006,0.001,0.002,0.005,0.002,0.001,0,0.004,0.001,0.001,0.205,0.158,0.147,0.158,0.154
DVU0718,0.006,0.001,0.006,0.002,0.001,0.002,0.004,0,0.005,0.003,0.003,0.003,0,0.002,0.004,0.003,0.001,0.001,0.002,0.003,0.002,0.001,0.003,0.001,0.007,0.003,0.004,0.005,0.002,0.003,0.001,0.003,0.008,0.004,0.006,0.003,0.002,0.002,0.004,0.004,0.004,0.005,0.001,0.003,0,0.005,0.003,0.003,0,0.001,0,0.001,0.001,0.003,0.008,0.003,0.004,0.002,0.005,0.001,0,0.005,0.004,0.002,0.192,0.163,0.137,0.153,0.165
DVU0719,0.001,0.002,0.004,0.002,0.003,0.002,0.003,0.001,0.003,0.003,0.003,0.002,0.001,0.003,0.004,0.002,0.004,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.005,0.001,0.003,0.003,0.001,0.003,0.003,0.003,0.003,0.005,0.002,0.006,0.003,0.003,0.004,0.002,0.002,0,0.003,0.003,0.003,0,0.003,0.001,0.001,0.003,0.003,0.003,0.002,0.003,0.005,0.003,0.002,0.002,0.003,0.002,0.002,0.211,0.152,0.156,0.159,0.148
DVU0720,0.001,0.002,0.002,0,0.003,0.003,0.004,0.002,0.002,0.002,0.003,0.001,0.001,0.002,0.003,0.001,0.002,0.003,0.004,0.004,0.003,0.005,0.006,0.003,0.005,0.008,0.004,0.003,0.001,0.005,0.003,0.003,0.002,0.005,0.002,0.002,0.004,0.006,0.005,0.004,0.003,0.004,0.003,0.002,0.001,0.002,0.002,0.002,0,0.002,0,0.001,0.003,0.003,0.004,0.002,0.002,0.005,0.002,0.001,0,0.003,0.002,0.002,0.206,0.154,0.146,0.156,0.161
DVU0721,0.001,0.002,0.002,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.003,0.002,0.001,0.002,0.003,0,0.002,0.002,0.003,0.003,0.002,0.002,0.005,0.003,0.004,0.005,0.005,0.005,0.001,0.002,0.005,0.003,0.003,0.004,0.003,0.002,0.003,0.004,0.006,0.004,0.003,0.006,0.005,0.003,0.001,0.004,0.004,0.002,0,0.002,0,0.001,0.002,0.002,0.005,0.002,0.003,0.005,0.004,0.002,0,0.003,0.002,0.001,0.209,0.152,0.148,0.16,0.155
DVU0722,0,0.002,0.002,0.001,0.002,0.003,0.004,0.001,0.002,0.003,0.004,0.001,0.001,0.003,0.003,0.002,0.002,0.002,0.003,0.005,0.003,0.002,0.005,0.002,0.005,0.006,0.005,0.004,0.001,0.002,0.002,0.001,0.002,0.004,0.005,0.002,0.005,0.004,0.007,0.003,0.004,0.006,0.004,0.003,0.001,0.003,0.004,0.001,0,0.001,0.001,0.001,0.003,0.002,0.005,0.002,0.002,0.004,0.003,0.001,0,0.003,0.001,0.001,0.211,0.152,0.149,0.16,0.154
DVU0723,0,0.001,0.002,0.001,0.002,0.003,0.002,0.001,0.001,0.002,0.004,0.001,0,0.003,0.003,0.001,0.001,0.002,0.003,0.005,0.003,0.005,0.007,0.004,0.005,0.006,0.005,0.005,0.001,0.003,0.003,0.002,0.003,0.003,0.003,0.001,0.004,0.009,0.006,0.003,0.003,0.007,0.004,0.003,0.001,0.002,0.005,0.001,0,0.001,0,0.001,0.002,0.002,0.006,0.001,0.002,0.006,0.005,0.001,0,0.002,0.002,0.001,0.209,0.156,0.144,0.167,0.151
DVU0724,0,0.002,0.001,0.001,0.001,0.004,0.004,0.001,0,0.001,0.002,0,0,0.004,0.003,0,0.001,0.004,0.002,0.005,0.003,0.004,0.005,0.004,0.003,0.007,0.006,0.005,0.001,0.003,0.004,0.004,0.002,0.003,0,0.001,0.004,0.007,0.005,0.004,0.001,0.008,0.004,0.003,0.001,0.004,0.004,0.001,0,0.002,0,0.001,0.003,0.002,0.007,0.003,0.001,0.004,0.004,0.002,0,0.005,0.001,0,0.21,0.157,0.138,0.164,0.158
DVU0725,0,0.002,0.001,0,0.003,0.003,0.005,0.002,0.002,0.001,0.003,0.001,0.001,0.002,0.003,0,0.002,0.005,0.002,0.004,0.004,0.006,0.006,0.004,0.005,0.008,0.005,0.002,0.001,0.003,0.004,0.003,0.002,0.006,0.002,0.001,0.003,0.009,0.006,0.003,0.003,0.007,0.004,0.001,0.001,0.002,0.002,0.001,0,0.002,0,0,0.002,0.002,0.004,0.002,0.001,0.005,0.002,0.001,0,0.003,0.001,0.001,0.208,0.152,0.145,0.164,0.155
DVU0726,0,0.002,0.003,0.001,0.003,0.005,0.005,0.002,0.001,0.002,0.002,0,0.001,0.003,0.002,0.001,0.003,0.005,0.001,0.005,0.004,0.004,0.006,0.004,0.005,0.008,0.005,0.003,0.002,0.004,0.003,0.002,0.002,0.005,0.001,0.001,0.003,0.007,0.005,0.003,0.002,0.006,0.003,0.002,0.001,0.002,0.002,0.001,0,0.003,0,0.001,0.004,0.002,0.005,0.002,0.001,0.003,0.002,0.001,0,0.004,0,0,0.212,0.152,0.15,0.155,0.16
DVU0727,0,0.001,0.002,0,0.004,0.005,0.004,0.002,0.002,0.002,0.003,0.001,0.001,0.002,0.004,0.001,0.002,0.007,0.003,0.004,0.004,0.006,0.005,0.004,0.004,0.005,0.004,0.003,0.001,0.002,0.003,0.003,0.001,0.005,0.003,0.002,0.004,0.007,0.003,0.002,0.004,0.005,0.005,0.002,0.001,0.002,0.003,0.001,0,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.002,0.003,0.004,0.002,0,0.003,0.002,0.001,0.207,0.151,0.15,0.161,0.156
DVU0728,0.002,0.007,0.002,0.001,0.008,0.006,0.003,0.001,0.002,0.003,0.001,0.001,0.003,0.001,0.001,0.007,0.006,0.006,0.002,0.007,0.008,0,0.002,0.001,0.004,0.003,0,0.003,0.002,0.003,0.001,0.001,0.004,0.002,0,0.001,0.002,0.003,0.003,0.003,0,0.002,0,0,0.003,0.002,0,0,0.001,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.001,0.003,0.001,0.001,0.002,0.003,0.004,0.011,0.21,0.149,0.153,0.163,0.163
DVU0729,0,0.002,0.002,0.001,0.002,0.002,0.005,0.003,0.002,0.002,0.003,0,0,0.004,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.004,0.003,0.006,0.008,0.006,0.002,0.002,0.003,0.002,0.003,0.002,0.005,0.004,0.003,0.003,0.005,0.008,0.002,0.005,0.005,0.004,0.003,0.001,0.003,0.003,0.001,0,0.002,0,0.002,0.002,0.002,0.005,0.002,0.001,0.003,0.003,0.002,0,0.002,0.002,0,0.209,0.15,0.157,0.153,0.157
DVU0730,0,0.002,0.001,0.001,0.003,0.003,0.006,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.003,0.001,0.001,0.004,0.002,0.004,0.002,0.005,0.007,0.003,0.005,0.008,0.006,0.004,0.001,0.002,0.004,0.001,0.002,0.006,0.002,0.001,0.004,0.007,0.007,0.002,0.003,0.006,0.003,0.002,0,0.003,0.003,0.002,0,0.002,0,0.001,0.002,0.002,0.003,0.002,0.002,0.006,0.002,0.002,0,0.002,0.002,0,0.216,0.151,0.145,0.169,0.15
DVU0731,0,0.002,0.002,0,0.003,0.005,0.004,0.001,0.001,0.002,0.003,0,0,0.002,0.002,0.001,0.002,0.005,0.003,0.004,0.004,0.006,0.007,0.006,0.004,0.007,0.006,0.002,0.001,0.004,0.005,0.004,0.001,0.004,0.002,0.001,0.005,0.009,0.005,0.003,0.003,0.008,0.004,0.002,0.001,0.003,0.003,0.001,0,0.001,0,0,0.003,0.003,0.004,0.004,0.001,0.004,0.004,0.002,0,0.004,0.001,0.001,0.206,0.156,0.147,0.157,0.152
DVU0732,0,0.003,0.004,0,0.002,0.004,0.005,0.002,0.002,0.002,0.003,0.001,0.001,0.002,0.002,0.001,0.003,0.003,0.002,0.004,0.003,0.004,0.006,0.003,0.006,0.007,0.004,0.004,0.001,0.002,0.004,0.002,0.003,0.005,0.002,0.001,0.005,0.006,0.005,0.004,0.003,0.005,0.003,0.002,0.001,0.003,0.004,0.001,0,0.002,0,0,0.003,0.001,0.005,0.001,0.002,0.004,0.003,0.002,0,0.003,0.001,0,0.211,0.155,0.144,0.161,0.155
DVU0733,0.001,0.001,0.002,0.001,0.002,0.002,0.003,0.001,0.002,0.002,0.004,0,0,0.002,0.003,0.001,0.001,0.003,0.002,0.004,0.003,0.005,0.006,0.004,0.004,0.008,0.006,0.003,0.001,0.002,0.004,0.002,0.002,0.003,0.004,0.001,0.003,0.009,0.008,0.004,0.003,0.005,0.003,0.004,0.001,0.003,0.005,0.001,0,0.001,0,0,0.001,0.003,0.004,0,0.002,0.008,0.003,0.002,0,0.002,0.002,0.001,0.214,0.145,0.159,0.159,0.149
DVU0734,0.001,0.002,0.004,0.001,0.001,0.003,0.003,0.002,0.001,0.002,0.003,0,0,0.003,0.002,0.001,0.003,0.003,0.002,0.004,0.003,0.006,0.006,0.004,0.005,0.007,0.004,0.005,0.001,0.003,0.004,0.002,0.004,0.004,0.002,0.001,0.004,0.007,0.006,0.003,0.002,0.006,0.003,0.003,0.001,0.003,0.005,0.001,0,0.001,0,0.001,0.003,0.002,0.006,0.002,0.002,0.005,0.004,0.001,0,0.003,0.001,0,0.207,0.153,0.147,0.157,0.159
DVU0735,0,0.001,0.004,0,0.001,0.002,0.003,0.002,0.002,0.001,0.004,0.002,0.001,0.002,0.003,0.001,0.002,0.003,0.002,0.002,0.002,0.002,0.004,0.002,0.004,0.005,0.005,0.006,0,0,0.004,0.002,0.004,0.003,0.002,0.002,0.004,0.005,0.008,0.003,0.002,0.006,0.007,0.003,0.001,0.005,0.008,0.001,0,0.001,0.001,0.001,0.002,0.001,0.005,0,0.004,0.007,0.003,0.003,0,0.001,0.002,0,0.215,0.143,0.158,0.151,0.163
DVU0736,0.001,0.002,0.001,0.001,0.002,0.003,0.002,0.001,0,0.001,0.002,0.002,0.001,0.003,0.003,0.001,0.002,0.001,0.002,0.004,0.002,0.005,0.008,0.003,0.003,0.007,0.005,0.004,0.001,0.002,0.005,0.002,0.002,0.002,0.002,0.002,0.003,0.008,0.006,0.005,0.003,0.007,0.005,0.003,0.001,0.002,0.006,0.002,0,0.002,0,0,0.002,0.003,0.003,0.002,0.002,0.007,0.005,0.002,0,0.003,0.002,0.002,0.21,0.155,0.148,0.159,0.156
DVU0737,0.001,0.003,0.002,0.001,0.003,0.005,0.004,0.001,0.002,0.003,0.003,0.001,0.001,0.002,0.003,0.001,0.002,0.005,0.004,0.003,0.004,0.005,0.005,0.005,0.004,0.007,0.004,0.003,0,0.003,0.005,0.003,0.004,0.004,0.002,0.003,0.004,0.006,0.005,0.003,0.003,0.005,0.003,0.002,0.001,0.003,0.003,0.001,0,0.002,0,0,0.003,0.002,0.004,0.001,0.002,0.004,0.003,0.001,0,0.003,0.001,0,0.207,0.155,0.146,0.159,0.154
DVU0738,0,0.002,0.002,0.001,0.003,0.003,0.005,0.002,0.001,0.003,0.003,0.001,0.001,0.003,0.002,0.001,0.003,0.004,0.004,0.004,0.004,0.006,0.005,0.003,0.003,0.006,0.006,0.004,0.001,0.004,0.003,0.002,0.002,0.005,0.002,0.001,0.005,0.006,0.005,0.003,0.002,0.006,0.005,0.003,0.001,0.003,0.003,0.002,0,0.002,0,0.001,0.004,0.003,0.005,0.002,0.002,0.003,0.002,0.001,0,0.003,0.001,0.001,0.207,0.153,0.147,0.16,0.156
DVU0739,0,0.002,0.002,0.001,0.002,0.004,0.003,0.001,0.002,0.001,0.004,0.001,0,0.001,0.004,0.001,0.001,0.003,0.003,0.003,0.002,0.005,0.007,0.003,0.002,0.007,0.006,0.004,0,0.002,0.006,0.003,0.004,0.004,0.003,0.002,0.005,0.006,0.005,0.005,0.005,0.007,0.008,0.004,0.001,0.003,0.004,0.003,0,0.001,0,0,0.002,0.002,0.004,0.002,0.003,0.005,0.007,0.002,0,0.004,0.002,0.002,0.202,0.155,0.151,0.163,0.143
DVU0740,0,0.002,0.001,0,0.002,0.003,0.003,0.002,0.001,0.002,0.001,0.001,0,0.003,0.003,0.001,0.002,0.003,0.002,0.005,0.003,0.003,0.005,0.004,0.002,0.006,0.006,0.004,0.002,0.004,0.005,0.004,0.001,0.003,0.002,0.001,0.003,0.005,0.005,0.004,0.002,0.005,0.006,0.004,0.002,0.005,0.004,0.002,0,0.002,0,0.002,0.003,0.003,0.006,0.004,0.002,0.005,0.004,0.002,0,0.006,0.002,0.001,0.207,0.157,0.144,0.16,0.155
DVU0741,0,0.002,0.003,0,0.001,0.004,0.004,0.001,0.003,0.002,0.004,0.002,0,0.002,0.002,0,0.002,0.004,0.004,0.001,0.004,0.005,0.007,0.005,0.004,0.008,0.005,0.004,0.001,0.003,0.003,0.004,0.003,0.003,0.004,0.002,0.003,0.008,0.005,0.002,0.004,0.004,0.004,0.004,0.002,0.004,0.004,0.002,0,0.002,0.001,0.001,0.003,0.004,0.004,0.003,0.001,0.004,0.003,0.002,0,0.005,0.002,0.001,0.203,0.155,0.147,0.162,0.148
DVU0742,0,0.003,0.002,0.001,0.002,0.003,0.005,0.001,0.001,0.002,0.004,0,0.001,0.002,0.004,0,0.003,0.002,0.002,0.003,0.003,0.002,0.004,0.003,0.006,0.005,0.006,0.005,0.001,0.004,0.003,0.003,0.002,0.005,0.003,0.002,0.003,0.005,0.007,0.003,0.004,0.006,0.007,0.004,0.001,0.003,0.006,0.001,0,0.002,0,0.001,0.001,0.003,0.005,0.003,0.002,0.005,0.004,0.002,0,0.004,0.001,0.002,0.211,0.146,0.148,0.166,0.149
DVU0743,0,0.002,0.001,0.001,0.002,0.003,0.004,0.001,0.002,0.002,0.004,0.001,0.001,0.002,0.003,0.001,0.002,0.003,0.004,0.003,0.004,0.003,0.005,0.003,0.004,0.006,0.006,0.004,0,0.003,0.004,0.002,0.002,0.004,0.004,0.002,0.005,0.006,0.007,0.003,0.004,0.006,0.004,0.003,0,0.002,0.005,0.002,0,0,0,0.001,0.003,0.003,0.003,0.002,0.002,0.007,0.003,0.002,0,0.003,0.002,0.001,0.211,0.152,0.147,0.16,0.153
DVU0744,0,0.002,0.002,0.001,0.001,0.003,0.004,0.001,0.001,0.003,0.003,0.001,0.001,0.002,0.002,0.001,0.002,0.003,0.002,0.003,0.002,0.004,0.005,0.004,0.005,0.006,0.007,0.004,0.001,0.003,0.004,0.003,0.003,0.004,0.003,0.001,0.004,0.006,0.008,0.004,0.002,0.007,0.006,0.004,0.001,0.002,0.005,0.002,0,0.001,0,0.001,0.002,0.002,0.005,0.002,0.002,0.006,0.003,0.002,0,0.004,0.002,0.001,0.212,0.15,0.153,0.16,0.149
