,PseKNC_3_Xc1.AAA,PseKNC_3_Xc1.AAC,PseKNC_3_Xc1.AAG,PseKNC_3_Xc1.AAT,PseKNC_3_Xc1.ACA,PseKNC_3_Xc1.ACC,PseKNC_3_Xc1.ACG,PseKNC_3_Xc1.ACT,PseKNC_3_Xc1.AGA,PseKNC_3_Xc1.AGC,PseKNC_3_Xc1.AGG,PseKNC_3_Xc1.AGT,PseKNC_3_Xc1.ATA,PseKNC_3_Xc1.ATC,PseKNC_3_Xc1.ATG,PseKNC_3_Xc1.ATT,PseKNC_3_Xc1.CAA,PseKNC_3_Xc1.CAC,PseKNC_3_Xc1.CAG,PseKNC_3_Xc1.CAT,PseKNC_3_Xc1.CCA,PseKNC_3_Xc1.CCC,PseKNC_3_Xc1.CCG,PseKNC_3_Xc1.CCT,PseKNC_3_Xc1.CGA,PseKNC_3_Xc1.CGC,PseKNC_3_Xc1.CGG,PseKNC_3_Xc1.CGT,PseKNC_3_Xc1.CTA,PseKNC_3_Xc1.CTC,PseKNC_3_Xc1.CTG,PseKNC_3_Xc1.CTT,PseKNC_3_Xc1.GAA,PseKNC_3_Xc1.GAC,PseKNC_3_Xc1.GAG,PseKNC_3_Xc1.GAT,PseKNC_3_Xc1.GCA,PseKNC_3_Xc1.GCC,PseKNC_3_Xc1.GCG,PseKNC_3_Xc1.GCT,PseKNC_3_Xc1.GGA,PseKNC_3_Xc1.GGC,PseKNC_3_Xc1.GGG,PseKNC_3_Xc1.GGT,PseKNC_3_Xc1.GTA,PseKNC_3_Xc1.GTC,PseKNC_3_Xc1.GTG,PseKNC_3_Xc1.GTT,PseKNC_3_Xc1.TAA,PseKNC_3_Xc1.TAC,PseKNC_3_Xc1.TAG,PseKNC_3_Xc1.TAT,PseKNC_3_Xc1.TCA,PseKNC_3_Xc1.TCC,PseKNC_3_Xc1.TCG,PseKNC_3_Xc1.TCT,PseKNC_3_Xc1.TGA,PseKNC_3_Xc1.TGC,PseKNC_3_Xc1.TGG,PseKNC_3_Xc1.TGT,PseKNC_3_Xc1.TTA,PseKNC_3_Xc1.TTC,PseKNC_3_Xc1.TTG,PseKNC_3_Xc1.TTT,PseKNC_3_Xc2.lambda.1,PseKNC_3_Xc2.lambda.2,PseKNC_3_Xc2.lambda.3
DVU0181,0,0.001,0.001,0.001,0.002,0.004,0.004,0.001,0.001,0.001,0.004,0.001,0,0.003,0.005,0.001,0.001,0.004,0.003,0.007,0.003,0.007,0.006,0.007,0.004,0.011,0.009,0.005,0.002,0.006,0.007,0.006,0.001,0.004,0.003,0.001,0.006,0.01,0.01,0.007,0.003,0.013,0.01,0.006,0,0.005,0.007,0.001,0,0.002,0,0,0.005,0.002,0.008,0.004,0.001,0.008,0.01,0.002,0,0.006,0.003,0.001,0.304,0.227,0.211
DVU0182,0.001,0.005,0.007,0.001,0.004,0.008,0.007,0.004,0.004,0.004,0.004,0.002,0.001,0.006,0.004,0.001,0.007,0.006,0.003,0.006,0.006,0.007,0.006,0.005,0.009,0.008,0.004,0.004,0.003,0.004,0.005,0.003,0.005,0.01,0.003,0.003,0.006,0.006,0.006,0.003,0.005,0.005,0.004,0.002,0.001,0.003,0.004,0.001,0,0.003,0,0.002,0.006,0.003,0.006,0.003,0.003,0.004,0.005,0.001,0,0.005,0,0.001,0.296,0.226,0.22
DVU0183,0.002,0.004,0.005,0.001,0.004,0.005,0.005,0.002,0.004,0.005,0.006,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.006,0.009,0.006,0.003,0.008,0.003,0.007,0.01,0.007,0.003,0.001,0.003,0.003,0.002,0.006,0.006,0.005,0.001,0.01,0.01,0.009,0.003,0.004,0.01,0.004,0.002,0.001,0.003,0.003,0.001,0,0.001,0,0.001,0.004,0.003,0.005,0.002,0.003,0.006,0.004,0.001,0,0.002,0.002,0.001,0.309,0.224,0.213
DVU0184,0.004,0.002,0.003,0.005,0.006,0.001,0.002,0,0.002,0.001,0.004,0.003,0.002,0.003,0.01,0.004,0.003,0.004,0.002,0.005,0.001,0.002,0.002,0.003,0.001,0.002,0.004,0.004,0.002,0.001,0.006,0.002,0.003,0.001,0.005,0.005,0.004,0.003,0.005,0.005,0.005,0.008,0.006,0.006,0.003,0.003,0.007,0.006,0.005,0.002,0.001,0.005,0.003,0.002,0.003,0.003,0.004,0.006,0.011,0.006,0.004,0.005,0.004,0.003,0.311,0.225,0.226
DVU0186,0.003,0.005,0.008,0.001,0.004,0.006,0.003,0.003,0.004,0.004,0.003,0.002,0,0.004,0.006,0.001,0.005,0.003,0.003,0.008,0.007,0.006,0.006,0.005,0.005,0.006,0.005,0.005,0.002,0.005,0.006,0.004,0.009,0.005,0.003,0.002,0.005,0.008,0.005,0.006,0.004,0.006,0.002,0.003,0.001,0.002,0.007,0.003,0,0.003,0.001,0.001,0.003,0.004,0.007,0.003,0.005,0.008,0.004,0.003,0.001,0.006,0.001,0.001,0.3,0.223,0.211
DVU0187,0.001,0.003,0.003,0.003,0.003,0.005,0.005,0.003,0.003,0.003,0.003,0.002,0.002,0.005,0.005,0.001,0.005,0.004,0.003,0.007,0.005,0.005,0.006,0.005,0.005,0.009,0.005,0.004,0.002,0.006,0.008,0.005,0.003,0.007,0.003,0.002,0.005,0.007,0.006,0.006,0.004,0.006,0.005,0.004,0.001,0.004,0.004,0.003,0.001,0.002,0.001,0.001,0.006,0.004,0.006,0.005,0.003,0.006,0.006,0.003,0,0.006,0.003,0.001,0.3,0.236,0.205
DVU0188,0.004,0,0.006,0.002,0.002,0.004,0.006,0,0.013,0,0.011,0,0,0.009,0.007,0,0.002,0.004,0.004,0.006,0.002,0.004,0.006,0.004,0.006,0.004,0.009,0.006,0,0,0.002,0.006,0.006,0.006,0.015,0.007,0.007,0.004,0.009,0.002,0.009,0.013,0.009,0.007,0.002,0.002,0.009,0,0,0.002,0,0,0.004,0.004,0.004,0.002,0.007,0.006,0.009,0,0,0.002,0.004,0,0.283,0.203,0.239
DVU0189,0.001,0.002,0.007,0,0.002,0.005,0.006,0.002,0.004,0.006,0.003,0.002,0.001,0.004,0.004,0,0.004,0.004,0.003,0.005,0.005,0.004,0.007,0.006,0.008,0.009,0.006,0.005,0.002,0.004,0.007,0.004,0.005,0.006,0.005,0.003,0.005,0.009,0.009,0.006,0.004,0.008,0.005,0.003,0.001,0.004,0.005,0.003,0,0.003,0,0,0.004,0.004,0.006,0.003,0.004,0.006,0.005,0.003,0,0.005,0.002,0,0.301,0.224,0.216
DVU0190,0,0.001,0.004,0.006,0.004,0.002,0.004,0.007,0.002,0.004,0.001,0.001,0.004,0.005,0.008,0.004,0.006,0.004,0.001,0.009,0.005,0.001,0.005,0.002,0.004,0.006,0.002,0.006,0.002,0.006,0.005,0.001,0.001,0.009,0.004,0.002,0.007,0.001,0.008,0.004,0.006,0.004,0.005,0.001,0,0.001,0.006,0.005,0.004,0.002,0.001,0.001,0.005,0.008,0.001,0.001,0.005,0.007,0.007,0.004,0.002,0.004,0.004,0.009,0.311,0.213,0.229
DVU0191,0.001,0.002,0.003,0,0.003,0.004,0.004,0.002,0.002,0.005,0.005,0.002,0,0.003,0.003,0.001,0.003,0.004,0.006,0.004,0.004,0.007,0.01,0.006,0.005,0.008,0.009,0.006,0.001,0.004,0.006,0.004,0.003,0.005,0.004,0.001,0.008,0.012,0.009,0.006,0.004,0.012,0.008,0.004,0.001,0.003,0.006,0.002,0,0.002,0,0,0.002,0.005,0.005,0.002,0.002,0.009,0.005,0.002,0,0.003,0.003,0.001,0.299,0.223,0.221
DVU0192,0.001,0.003,0.004,0.001,0.004,0.003,0.006,0.003,0.002,0.004,0.004,0.001,0.001,0.003,0.007,0.001,0.003,0.004,0.003,0.005,0.003,0.004,0.008,0.005,0.006,0.006,0.009,0.004,0.002,0.005,0.006,0.004,0.004,0.006,0.005,0.004,0.006,0.007,0.008,0.006,0.007,0.011,0.005,0.004,0.002,0.004,0.006,0.002,0,0.003,0,0.001,0.002,0.005,0.004,0.003,0.003,0.006,0.009,0.003,0,0.003,0.003,0.001,0.302,0.226,0.215
DVU0193,0.002,0.004,0.009,0.001,0.004,0.005,0.006,0.001,0.006,0.006,0.008,0.001,0,0.003,0.006,0,0.007,0.004,0.005,0.003,0.004,0.003,0.006,0.006,0.007,0.005,0.005,0.004,0.001,0.004,0.008,0.003,0.006,0.005,0.008,0.004,0.008,0.009,0.008,0.005,0.005,0.009,0.004,0.003,0.001,0.002,0.004,0.002,0,0.002,0,0.001,0.003,0.002,0.003,0.003,0.006,0.01,0.003,0.002,0,0.002,0.003,0.002,0.294,0.212,0.232
DVU0194,0.002,0.003,0.004,0.001,0.003,0.005,0.005,0.002,0.003,0.005,0.004,0.002,0.002,0.004,0.004,0.001,0.003,0.004,0.005,0.005,0.004,0.005,0.008,0.005,0.006,0.009,0.006,0.005,0.002,0.003,0.005,0.004,0.005,0.005,0.004,0.003,0.007,0.008,0.01,0.004,0.005,0.008,0.005,0.004,0.002,0.004,0.005,0.001,0,0.003,0.001,0.002,0.003,0.004,0.004,0.003,0.003,0.006,0.006,0.002,0,0.004,0.003,0.001,0.304,0.22,0.223
DVU0195,0.003,0.007,0.003,0.002,0.003,0.002,0.005,0.001,0.003,0.005,0.005,0,0.002,0.003,0.006,0.002,0.005,0.002,0.003,0.003,0,0,0.001,0.006,0.002,0.006,0.007,0.007,0.003,0.002,0.002,0.007,0.007,0.001,0.002,0.003,0.007,0.003,0.011,0.002,0.003,0.009,0.01,0.002,0.002,0.005,0.003,0.003,0.001,0.001,0.003,0.003,0.003,0.001,0.005,0.006,0.006,0.005,0.003,0.005,0.001,0.005,0.007,0.006,0.299,0.202,0.249
DVU0196,0.005,0.004,0.002,0.002,0.004,0.004,0.007,0.003,0.003,0.007,0.001,0.001,0.001,0.003,0.003,0.001,0.002,0.005,0.007,0.003,0.005,0.005,0.009,0.005,0.005,0.009,0.007,0.009,0.001,0.005,0.007,0.003,0.006,0.005,0.002,0.002,0.006,0.009,0.01,0.004,0.003,0.008,0.005,0.001,0.002,0.007,0.003,0.003,0,0.004,0.001,0,0.002,0.006,0.004,0.004,0.003,0.006,0.005,0.002,0.001,0.001,0.004,0.006,0.302,0.227,0.211
DVU0197,0,0.002,0.003,0,0.002,0.005,0.005,0.002,0.002,0.004,0.005,0.002,0.001,0.003,0.003,0.001,0.003,0.004,0.006,0.005,0.005,0.007,0.008,0.006,0.006,0.009,0.009,0.006,0.002,0.005,0.006,0.004,0.002,0.006,0.004,0.001,0.006,0.01,0.011,0.005,0.004,0.013,0.008,0.003,0,0.005,0.006,0.003,0,0.003,0,0,0.004,0.005,0.005,0.004,0.002,0.006,0.006,0.003,0,0.005,0.002,0.001,0.298,0.228,0.212
DVU0198,0,0.004,0.004,0,0.003,0.006,0.005,0.002,0.002,0.006,0.005,0.001,0.001,0.002,0.005,0.001,0.003,0.003,0.005,0.006,0.006,0.008,0.011,0.005,0.008,0.009,0.008,0.005,0.002,0.004,0.005,0.003,0.005,0.006,0.004,0.002,0.007,0.014,0.009,0.005,0.004,0.013,0.006,0.002,0,0.003,0.005,0.001,0,0.002,0,0.001,0.001,0.003,0.005,0.002,0.003,0.007,0.006,0.001,0,0.003,0.002,0.002,0.299,0.23,0.211
DVU0199,0,0.002,0.004,0.001,0.001,0.007,0.004,0.002,0.003,0.004,0.002,0,0,0.006,0.003,0.001,0.002,0.006,0.005,0.006,0.005,0.007,0.01,0.004,0.003,0.014,0.008,0.01,0.002,0.006,0.003,0.002,0.005,0.005,0.001,0.003,0.008,0.008,0.012,0.005,0.002,0.011,0.003,0.002,0.001,0.004,0.006,0.001,0.001,0.002,0.001,0,0.005,0.003,0.01,0.002,0.004,0.003,0.005,0.001,0,0.004,0.001,0,0.313,0.228,0.21
DVU0200,0,0.003,0.006,0,0.002,0.008,0.005,0.002,0.005,0.003,0.005,0.002,0.001,0.002,0.003,0,0.005,0.005,0.004,0.003,0.005,0.008,0.011,0.008,0.009,0.009,0.007,0.005,0.003,0.007,0.005,0.005,0.005,0.008,0.005,0.002,0.006,0.011,0.007,0.005,0.004,0.011,0.003,0.003,0.001,0.003,0.005,0.002,0,0.003,0,0.001,0.003,0.005,0.007,0.004,0.001,0.007,0.005,0.001,0,0.006,0.001,0.001,0.292,0.221,0.216
DVU0201,0.002,0.002,0.008,0.001,0.003,0.006,0.005,0.003,0.003,0.005,0.006,0.002,0.001,0.002,0.003,0.001,0.003,0.003,0.004,0.001,0.003,0.011,0.014,0.006,0.01,0.007,0.008,0.004,0.002,0.002,0.008,0.003,0.007,0.009,0.003,0.003,0.004,0.014,0.006,0.005,0.005,0.009,0.01,0.004,0.001,0.003,0.008,0.002,0.001,0.003,0,0,0,0.003,0.004,0.001,0.006,0.008,0.005,0.003,0,0.002,0.003,0,0.289,0.234,0.206
DVU0202,0.001,0.003,0.003,0.001,0,0.004,0.004,0.003,0.001,0.002,0.003,0.003,0,0.002,0.003,0.001,0.003,0.002,0.003,0.004,0.006,0.003,0.009,0.005,0.004,0.01,0.006,0.007,0.003,0.006,0.007,0.006,0.004,0.004,0.003,0.001,0.003,0.011,0.01,0.008,0.004,0.01,0.006,0.003,0,0.003,0.012,0.004,0,0.002,0.001,0,0.003,0.005,0.005,0.006,0.002,0.009,0.007,0.006,0,0.009,0.002,0.001,0.3,0.218,0.222
DVU0203,0,0.002,0.002,0,0.001,0.006,0.004,0.001,0.001,0.003,0.002,0.002,0,0.003,0.006,0,0.003,0.003,0.003,0.005,0.006,0.003,0.011,0.005,0.006,0.01,0.009,0.006,0,0.006,0.006,0.007,0.001,0.006,0.003,0.003,0.005,0.012,0.01,0.007,0.003,0.014,0.007,0.001,0.001,0.005,0.005,0.001,0,0,0,0.001,0.002,0.004,0.005,0.007,0.004,0.008,0.006,0.003,0,0.004,0.004,0,0.304,0.225,0.214
DVU0204,0,0.002,0.003,0.001,0.003,0.004,0.007,0.002,0.004,0.002,0.004,0.003,0.001,0.001,0.006,0.001,0.002,0.005,0.006,0.004,0.006,0.006,0.008,0.006,0.006,0.011,0.007,0.004,0.002,0.005,0.006,0.002,0.003,0.007,0.004,0.002,0.006,0.012,0.007,0.004,0.002,0.01,0.008,0.002,0.001,0.006,0.006,0.001,0.001,0.002,0.001,0.001,0.001,0.004,0.006,0.002,0.004,0.007,0.004,0.003,0,0.002,0.001,0,0.307,0.218,0.221
DVU0205,0,0.002,0.006,0,0.003,0.006,0.006,0,0.003,0.003,0.006,0.003,0,0,0.003,0.002,0.002,0.005,0.005,0.002,0.002,0.006,0.013,0.003,0.006,0.009,0.006,0.009,0.003,0.005,0.008,0,0.005,0.008,0.005,0.002,0.003,0.009,0.006,0.011,0.008,0.008,0.002,0.005,0,0.006,0.009,0.003,0.002,0.002,0,0,0.005,0.002,0.006,0.002,0.003,0.009,0.008,0.002,0,0.003,0.002,0,0.303,0.228,0.21
DVU0206,0,0.002,0.009,0,0.002,0.003,0.007,0.001,0.006,0.004,0.009,0,0,0.005,0.005,0.001,0.004,0.003,0.002,0.006,0.006,0.004,0.009,0.002,0.006,0.008,0.008,0.005,0.003,0.006,0.004,0.001,0.006,0.005,0.007,0.003,0.006,0.007,0.007,0.005,0.007,0.009,0.008,0.006,0.001,0.004,0.006,0.002,0,0.003,0,0.001,0.002,0.006,0.004,0.006,0.003,0.005,0.005,0.002,0,0.004,0,0,0.294,0.21,0.231
DVU0207,0,0.003,0.003,0,0.001,0.007,0.004,0.004,0.002,0.007,0.005,0.002,0.001,0.004,0.003,0,0.004,0.004,0.006,0.006,0.005,0.007,0.008,0.004,0.006,0.009,0.007,0.003,0.001,0.001,0.01,0.005,0.002,0.007,0.006,0.002,0.012,0.009,0.008,0.004,0.006,0.009,0.002,0.006,0,0.002,0.008,0.002,0,0.002,0,0,0.002,0.001,0.006,0.005,0.003,0.008,0.009,0.002,0,0.006,0,0,0.296,0.229,0.216
DVU0208,0,0.001,0.003,0,0.004,0.009,0.005,0.002,0.001,0.003,0.004,0,0,0.004,0.004,0,0.003,0.006,0.003,0.004,0.006,0.008,0.008,0.008,0.007,0.011,0.006,0.008,0.002,0.006,0.007,0.002,0.002,0.011,0.003,0.002,0.003,0.011,0.01,0.005,0.007,0.007,0.006,0.002,0,0.005,0.004,0.001,0,0.001,0,0.002,0.003,0.003,0.01,0.002,0.003,0.007,0.005,0.001,0,0.002,0.001,0,0.301,0.224,0.215
DVU0209,0.001,0,0.006,0,0.003,0.011,0.001,0.003,0.008,0.004,0.004,0,0,0.003,0.003,0.001,0.003,0.007,0.006,0.004,0.006,0.014,0.014,0.007,0.007,0.01,0.006,0.003,0.001,0,0.01,0.003,0.003,0.011,0.006,0.001,0.008,0.013,0.008,0.004,0.004,0.004,0.004,0.006,0,0.001,0.008,0,0,0,0.001,0,0.003,0.003,0.001,0,0.001,0.015,0.004,0.001,0,0.003,0.001,0,0.293,0.211,0.228
DVU0210,0,0.004,0.003,0.001,0.003,0.007,0.005,0.002,0.002,0.004,0.004,0.001,0,0.003,0.004,0.001,0.004,0.006,0.005,0.004,0.007,0.007,0.009,0.005,0.004,0.011,0.008,0.005,0.002,0.004,0.007,0.002,0.003,0.005,0.002,0.003,0.006,0.012,0.009,0.005,0.004,0.01,0.006,0.003,0.001,0.002,0.007,0.001,0,0.003,0,0.001,0.004,0.002,0.004,0.002,0.003,0.008,0.006,0.002,0,0.002,0.001,0.001,0.308,0.231,0.211
DVU0211,0.001,0.001,0.007,0.001,0.004,0.006,0.006,0,0.004,0.004,0.01,0.002,0.001,0.004,0.004,0,0.007,0.006,0.004,0.004,0.003,0.001,0.007,0.004,0.01,0.007,0.008,0.008,0.001,0.006,0.001,0.002,0.002,0.006,0.008,0.002,0.008,0.006,0.011,0.006,0.003,0.013,0.005,0.004,0.001,0.006,0.006,0.002,0,0.003,0.001,0,0.006,0.001,0.009,0.001,0.002,0.007,0.003,0,0,0.003,0.001,0,0.311,0.223,0.209
DVU0212,0,0.003,0.005,0,0.002,0.012,0.003,0.003,0.004,0.004,0.007,0.002,0,0.002,0.005,0.001,0.003,0.006,0.007,0.005,0.007,0.009,0.008,0.005,0.006,0.008,0.005,0.003,0.002,0.007,0.006,0,0.005,0.008,0.005,0.002,0.006,0.008,0.006,0.006,0.007,0.008,0.002,0.003,0.001,0.003,0.006,0.002,0,0.002,0.001,0,0.006,0.001,0.005,0.001,0.003,0.006,0.006,0.004,0,0.001,0.002,0.004,0.294,0.241,0.194
DVU0213,0.002,0.003,0.004,0.001,0.002,0.004,0.005,0.003,0.004,0.004,0.005,0.002,0.001,0.002,0.005,0.001,0.006,0.003,0.005,0.003,0.004,0.003,0.005,0.003,0.006,0.007,0.01,0.004,0.002,0.005,0.005,0.002,0.002,0.005,0.005,0.004,0.008,0.007,0.008,0.006,0.005,0.014,0.006,0.005,0.001,0.003,0.006,0.003,0.001,0.002,0.001,0.002,0.003,0.002,0.008,0.002,0.002,0.004,0.009,0.002,0.001,0.004,0.001,0.001,0.298,0.233,0.214
DVU0214,0,0.001,0.001,0,0.002,0.005,0.004,0.001,0.002,0.002,0.005,0.001,0,0.002,0.005,0,0,0.004,0.004,0.004,0.002,0.006,0.012,0.006,0.007,0.011,0.01,0.006,0.001,0.004,0.006,0.002,0.001,0.006,0.004,0.002,0.005,0.012,0.013,0.004,0.003,0.012,0.005,0.005,0.002,0.004,0.006,0.003,0.001,0.002,0.001,0.001,0.002,0.003,0.006,0.002,0.001,0.009,0.005,0.003,0,0.004,0.001,0.001,0.311,0.22,0.22
DVU0215,0,0.002,0.003,0.001,0.002,0.005,0.004,0.001,0.004,0.004,0.005,0.001,0.001,0.003,0.004,0,0.003,0.004,0.006,0.004,0.004,0.005,0.01,0.004,0.007,0.011,0.008,0.006,0,0.005,0.004,0.002,0.003,0.006,0.005,0.002,0.007,0.011,0.011,0.005,0.004,0.011,0.007,0.004,0.001,0.003,0.008,0.002,0,0.001,0,0.001,0.003,0.002,0.007,0.001,0.002,0.007,0.006,0.002,0,0.003,0.002,0,0.308,0.225,0.212
DVU0216,0,0.002,0.002,0,0.002,0.01,0.005,0.002,0.002,0.002,0.007,0,0.001,0.002,0.004,0,0.004,0.007,0.004,0.004,0.006,0.006,0.011,0.006,0.008,0.009,0.01,0.005,0.001,0.007,0.003,0.003,0.001,0.007,0.005,0.002,0.005,0.01,0.011,0.004,0.005,0.014,0.008,0.004,0,0.004,0.007,0.002,0,0.002,0,0,0.006,0.002,0.006,0.002,0.002,0.005,0.005,0.002,0,0.004,0,0.002,0.301,0.228,0.207
DVU0217,0.001,0.003,0.002,0.001,0.001,0.007,0.005,0.002,0.002,0.003,0.004,0.002,0.001,0.002,0.001,0.001,0.003,0.002,0.004,0.003,0.003,0.004,0.011,0.007,0.009,0.009,0.011,0.004,0.001,0.004,0.009,0.004,0.003,0.009,0.003,0,0.006,0.013,0.009,0.007,0.002,0.014,0.009,0.006,0,0.004,0.007,0.003,0,0.001,0.001,0.001,0.002,0.002,0.007,0.003,0.002,0.01,0.008,0.002,0,0.003,0.004,0,0.292,0.246,0.199
DVU0218,0,0.002,0.001,0.001,0.001,0.005,0.005,0.002,0.001,0.004,0.005,0.001,0,0.003,0.003,0,0.002,0.005,0.006,0.002,0.004,0.007,0.012,0.005,0.006,0.01,0.01,0.006,0.001,0.003,0.006,0.002,0.002,0.005,0.003,0.002,0.006,0.013,0.011,0.004,0.003,0.012,0.008,0.006,0.001,0.004,0.008,0.002,0,0.001,0.001,0.001,0.003,0.003,0.004,0.003,0.003,0.009,0.006,0.001,0,0.002,0.002,0.001,0.303,0.23,0.216
DVU0219,0,0.004,0.002,0,0.002,0.006,0.004,0.002,0.002,0.003,0.003,0.001,0.001,0.002,0.004,0,0.002,0.004,0.005,0.004,0.005,0.008,0.011,0.005,0.003,0.01,0.01,0.006,0.002,0.004,0.007,0.003,0.004,0.004,0.004,0.002,0.006,0.012,0.012,0.006,0.005,0.012,0.008,0.003,0,0.002,0.008,0.001,0,0.002,0,0.001,0.002,0.003,0.002,0.002,0.002,0.011,0.007,0.001,0,0.003,0.002,0.001,0.304,0.216,0.228
DVU0220,0.002,0.004,0.003,0.001,0.004,0.007,0.007,0.001,0.001,0.004,0.004,0.001,0.001,0.003,0.003,0.002,0.005,0.007,0.006,0.004,0.005,0.004,0.009,0.003,0.005,0.007,0.01,0.005,0.002,0.003,0.005,0.003,0.003,0.006,0.002,0.002,0.008,0.008,0.008,0.006,0.003,0.012,0.007,0.004,0,0.003,0.005,0.003,0,0.003,0.001,0.001,0.004,0.003,0.004,0.001,0.004,0.006,0.004,0.001,0.001,0.004,0.002,0,0.308,0.24,0.201
DVU0221,0.001,0.002,0.004,0.001,0.002,0.007,0.003,0.003,0.004,0.005,0.001,0.001,0.001,0.003,0.006,0.002,0.002,0.008,0.004,0.003,0.007,0.006,0.013,0.002,0.004,0.009,0.01,0.002,0.003,0.001,0.005,0.003,0.004,0.004,0.002,0.003,0.006,0.013,0.006,0.006,0.003,0.012,0.005,0.004,0.001,0.001,0.007,0.002,0,0.001,0.001,0.003,0.003,0.002,0.002,0.002,0.003,0.006,0.008,0.003,0,0.003,0.003,0.002,0.303,0.243,0.207
DVU0222,0,0.002,0.004,0,0.003,0.004,0.004,0.001,0.003,0.006,0.004,0.001,0.001,0.003,0.004,0,0.004,0.003,0.006,0.004,0.004,0.005,0.006,0.004,0.003,0.009,0.005,0.007,0.004,0.002,0.006,0.002,0.002,0.003,0.004,0.001,0.007,0.009,0.012,0.006,0.002,0.009,0.006,0.002,0.003,0.001,0.007,0.002,0,0.004,0.001,0.003,0.003,0.001,0.001,0.003,0.003,0.01,0.004,0.003,0,0.002,0.003,0.001,0.322,0.205,0.237
DVU0223,0.02,0.008,0.014,0.005,0.006,0.003,0.011,0.003,0.008,0.006,0.008,0,0.002,0.006,0.005,0,0.008,0.005,0.003,0.005,0.002,0.003,0.003,0.002,0.006,0,0.008,0.003,0.003,0.003,0.003,0.002,0.014,0.009,0.002,0.002,0.005,0.002,0,0.003,0.008,0.003,0.011,0.009,0.006,0.005,0,0.002,0.006,0.002,0.003,0,0.008,0.002,0.003,0.003,0.005,0,0.005,0,0,0.002,0.002,0.002,0.267,0.236,0.216
DVU0224,0.002,0.003,0.006,0.001,0.002,0.003,0.006,0.005,0.005,0.007,0.003,0.001,0.002,0.005,0.003,0.001,0.005,0.003,0.005,0.001,0.002,0.005,0.007,0.003,0.008,0.006,0.007,0.004,0.003,0.009,0.005,0.005,0.004,0.007,0.005,0.003,0.007,0.005,0.005,0.008,0.003,0.008,0.003,0.005,0.003,0.002,0.005,0.002,0.001,0.003,0.001,0.005,0.003,0.005,0.007,0.006,0.002,0.005,0.006,0.002,0.002,0.004,0.002,0.001,0.299,0.232,0.212
DVU0225,0.013,0.006,0.003,0.004,0.004,0.001,0.009,0.006,0.001,0.001,0.001,0.001,0.004,0.001,0.006,0.004,0.006,0.006,0.001,0.006,0.003,0,0,0.001,0.001,0.003,0.006,0.003,0.003,0.003,0.003,0.007,0.004,0.006,0.001,0.001,0.003,0.001,0.003,0.006,0.004,0.006,0.01,0.001,0.001,0.004,0.004,0.001,0.003,0.003,0.001,0.003,0.009,0.001,0.001,0.003,0.006,0.003,0.004,0.006,0.001,0.006,0.006,0.018,0.292,0.219,0.227
DVU0226,0.003,0.002,0.007,0.002,0.006,0.004,0.004,0.002,0.004,0.006,0.004,0.003,0.003,0.003,0.005,0.002,0.007,0.004,0.004,0.006,0.004,0.004,0.007,0.004,0.005,0.006,0.006,0.004,0.002,0.002,0.004,0.003,0.003,0.006,0.004,0.003,0.008,0.007,0.006,0.004,0.005,0.009,0.006,0.004,0.002,0.005,0.003,0.002,0.001,0.003,0.002,0.002,0.003,0.004,0.004,0.002,0.002,0.005,0.008,0.001,0,0.003,0.004,0.002,0.301,0.227,0.221
DVU0227,0.005,0.007,0.008,0.003,0.005,0.005,0.008,0.004,0.006,0.004,0.001,0.003,0.005,0.003,0.006,0.003,0.006,0.004,0.002,0.007,0.006,0.001,0.002,0.003,0.006,0.005,0.003,0.001,0.001,0.002,0.004,0.005,0.009,0.009,0.003,0.002,0.004,0.003,0.002,0.005,0.004,0.002,0.002,0.003,0.002,0.002,0.001,0.004,0.004,0.003,0,0.004,0.004,0.003,0.003,0,0.007,0.003,0.005,0.002,0.003,0.003,0.006,0.004,0.302,0.229,0.218
DVU0228,0,0.005,0,0.003,0,0.01,0.01,0,0,0,0,0,0.003,0.005,0.005,0.005,0.003,0.008,0,0.008,0.01,0.005,0.005,0.003,0.008,0.01,0.01,0,0.003,0.008,0.01,0.003,0.003,0.005,0,0.005,0,0.005,0.013,0.01,0.003,0.008,0.003,0.003,0,0.003,0,0,0.003,0.003,0,0,0.008,0.003,0,0.01,0.005,0.01,0.003,0,0,0.005,0.003,0,0.31,0.251,0.191
DVU0229,0.015,0.01,0.004,0.001,0.004,0.004,0.001,0.006,0.001,0.001,0.003,0.001,0.004,0,0.003,0.006,0.007,0.001,0.001,0.001,0.001,0,0.001,0.003,0.001,0.004,0.001,0.003,0.004,0.006,0.003,0.006,0.001,0,0,0.003,0.004,0.001,0.004,0.006,0.001,0.003,0.007,0.006,0.001,0.001,0.003,0.008,0.008,0.004,0.001,0.007,0.001,0,0.003,0.004,0,0.007,0.006,0.004,0.011,0.001,0.008,0.017,0.293,0.231,0.235
