TACC_Dnase I.lag1,TACC_Dnase I.lag2,TACC_Nucleosome.lag1,TACC_Nucleosome.lag2,TACC_Dnase I.Nucleosome.lag.1,TACC_Dnase I.Nucleosome.lag.2,TACC_Nucleosome.Dnase I.lag.1,TACC_Nucleosome.Dnase I.lag.2
DVU0873,0.015,-0.026,0.234,-0.018,-0.134,0.031,-0.124,0.008
DVU0874,0,0.007,0.237,0.094,-0.115,-0.049,-0.118,-0.031
DVU0875,0.029,-0.006,0.194,0.018,-0.086,0.008,-0.092,0.026
DVU0876,0.012,-0.007,0.22,0.026,-0.114,-0.007,-0.087,-0.009
DVU0877,0.07,-0.061,0.269,0.067,-0.098,0.021,-0.004,0.025
DVU0878,-0.051,-0.034,0.222,0.014,-0.077,-0.011,-0.077,0.029
DVU0879,0.198,0.207,0.492,0.215,0.263,0.175,0.266,0.198
DVU0880,0.069,0.059,0.395,0.099,-0.034,0.045,-0.11,-0.021
DVU0881,0.042,0.025,0.286,0.054,-0.145,-0.045,-0.156,-0.032
DVU0882,-0.003,0.1,0.191,0.045,-0.104,-0.059,-0.04,-0.059
DVU0883,0.058,0.07,0.242,-0.048,-0.124,-0.041,0,0.032
DVU0884,0.051,0.005,0.316,0.067,-0.171,-0.017,-0.141,-0.066
DVU0885,0.014,0.009,0.232,-0.007,-0.108,-0.031,-0.094,0.05
DVU0886,0.014,0.018,0.243,-0.007,-0.116,-0.054,-0.099,-0.008
DVU0887,0.014,0.019,0.22,0.007,-0.109,-0.007,-0.105,-0.014
DVU0888,0.004,-0.003,0.236,0.017,-0.091,-0.023,-0.059,-0.007
DVU0889,0.024,-0.003,0.286,-0.012,-0.128,-0.023,-0.118,0.032
DVU0890,0.01,-0.018,0.197,-0.037,-0.093,0.042,-0.089,0.017
DVU0891,0.006,-0.012,0.219,0.017,-0.1,-0.004,-0.089,-0.006
DVU0892,-0.002,0.014,0.242,0.054,-0.112,-0.056,-0.032,-0.027
DVU0893,0.033,-0.033,0.204,-0.069,-0.082,0.053,-0.127,0.017
DVU0894,-0.016,-0.012,0.224,-0.012,-0.087,-0.003,-0.053,0.031
DVU0895,0.032,0.003,0.241,0.036,-0.105,0.006,-0.108,-0.019
DVU0896,-0.002,-0.022,0.188,-0.028,-0.116,0.007,-0.06,0.022
DVU0897,0.001,-0.009,0.228,0.013,-0.091,-0.005,-0.077,0.01
DVU0898,-0.011,0.038,0.246,0.032,-0.123,-0.027,-0.084,-0.034
DVU0899,-0.061,-0.025,0.176,-0.018,-0.07,-0.006,-0.051,0.046
DVU0900,-0.008,0.007,0.271,0.043,-0.091,-0.007,-0.115,-0.022
DVU0901,-0.02,0.024,0.195,0.026,-0.096,-0.025,-0.015,-0.012
DVU0902,0.027,-0.001,0.255,0.083,-0.115,-0.042,-0.133,-0.02
DVU0903,0.002,0.042,0.233,-0.026,-0.077,-0.028,-0.129,0.008
DVU0904,0.014,0.028,0.233,0.021,-0.124,-0.035,-0.112,-0.014
DVU0905,0.001,0.005,0.201,-0.029,-0.091,0.009,-0.075,0.013
DVU0906,0.005,0.008,0.268,0.057,-0.087,-0.02,-0.12,-0.036
DVU0907,0.002,-0.007,0.237,-0.025,-0.105,-0.016,-0.092,0.014
DVU0908,0.009,0.039,0.229,-0.006,-0.093,-0.016,-0.098,-0.007
DVU0909,0.057,-0.022,0.274,-0.064,-0.131,-0.006,-0.158,0.044
DVU0910,0.031,0.043,0.226,0.035,-0.152,-0.06,-0.105,-0.02
DVU0911,-0.013,-0.006,0.196,-0.019,-0.067,-0.002,-0.096,0.02
DVU0912,0.093,-0.005,0.307,0.014,-0.174,-0.035,-0.206,0.016
DVU0913,0.159,0.102,0.422,0.062,-0.269,-0.111,-0.28,-0.066
DVU0914,-0.034,0.038,0.2,0.022,-0.071,-0.059,-0.033,0.008
DVU0915,0.012,0.053,0.276,0.043,-0.116,-0.045,-0.075,-0.048
DVU0916,0.085,0.041,0.349,0.065,-0.205,-0.043,-0.191,-0.047
DVU0917,-0.005,0.016,0.229,0.002,-0.114,-0.023,-0.123,0.013
DVU0918,0.043,-0.01,0.305,0.081,-0.132,-0.045,-0.113,-0.031
DVU0919,0.017,0.007,0.328,0.044,-0.146,-0.048,-0.174,-0.019
DVU0920,0.091,0.065,0.304,0.047,-0.166,-0.041,-0.206,-0.063
DVU0921,0.021,0.028,0.27,0.027,-0.155,-0.015,-0.093,-0.009
DVU0922,-0.006,0.018,0.255,0.02,-0.11,-0.042,-0.1,-0.014
DVU0923,0.022,-0.045,0.326,0.019,-0.126,0.022,-0.156,0.018
DVU0924,0.028,0.018,0.253,0.016,-0.075,-0.006,-0.088,0.002
DVU0925,0,0.012,0.262,0.009,-0.143,-0.032,-0.089,0.019
DVU0926,0.03,0.019,0.209,0.081,-0.107,-0.044,-0.113,-0.077
DVU0927,0.019,-0.056,0.312,0.011,-0.055,0.052,-0.101,-0.001
DVU0928,0.131,0.067,0.357,0.092,-0.186,-0.075,-0.227,-0.128
DVU0929,0.025,-0.012,0.239,0.029,-0.081,0.011,-0.081,-0.014
DVU0930,0.017,-0.015,0.237,0.018,-0.104,-0.008,-0.077,-0.011
DVU0931,-0.026,-0.007,0.294,0.014,-0.11,-0.006,-0.092,0.008
DVU0932,0.06,0.074,0.288,0.058,-0.144,-0.062,-0.109,-0.022
DVU0933,-0.006,-0.01,0.218,0.01,-0.088,-0.027,-0.05,0.011
DVU0934,0.037,-0.033,0.299,0.022,-0.209,-0.047,-0.081,0.055
DVU0935,0.01,0.018,0.245,0.01,-0.125,-0.014,-0.09,0.001
DVU0936,0.041,0.068,0.336,0.04,-0.116,-0.03,-0.161,-0.099
DVU0937,-0.012,0.022,0.229,-0.032,-0.149,-0.008,-0.071,-0.004
DVU0938,-0.005,0.048,0.292,0.042,-0.157,-0.118,-0.088,0.04
DVU0939,0.064,0.083,0.339,0.078,-0.087,-0.022,-0.106,-0.03
DVU0940,0.004,0.03,0.276,0.017,-0.071,-0.007,-0.098,0.012
DVU0941,0.005,0.024,0.263,0.033,-0.101,-0.041,-0.11,-0.02
DVU0942,-0.05,0.058,0.292,0.06,-0.125,-0.078,-0.054,-0.004
DVU0943,0.009,0.032,0.246,0.058,-0.144,-0.046,-0.089,-0.032
DVU0944,0.029,0.065,0.322,0.079,-0.188,-0.06,-0.11,-0.099
DVU0945,0.014,0.011,0.274,0.043,-0.126,-0.018,-0.095,-0.015
DVU0946,0.026,0.06,0.272,0.035,-0.125,-0.055,-0.106,-0.024
DVU0947,-0.027,0.031,0.264,0.034,-0.069,-0.011,-0.055,-0.027
DVU0948,0.022,0.045,0.256,-0.002,-0.107,-0.057,-0.159,-0.043
DVU0949,0.048,-0.011,0.273,-0.019,-0.162,0,-0.153,-0.045
DVU0950,0.179,0.148,0.635,0.264,-0.423,-0.178,-0.276,-0.203
DVU0951,0.048,0.045,0.219,-0.001,-0.115,-0.043,-0.097,-0.018
DVU0952,-0.005,0.061,0.238,0.035,-0.126,-0.058,-0.092,-0.045
DVU0953,0.057,0.063,0.303,0.069,-0.164,-0.064,-0.147,-0.06
DVU0954,0.025,0.02,0.293,0.069,-0.142,-0.053,-0.123,-0.024
DVU0955,0.026,-0.008,0.236,-0.019,-0.111,-0.026,-0.109,0.025
DVU0956,0.076,0.049,0.354,0.034,-0.175,-0.008,-0.203,-0.06
DVU0957,0.088,-0.001,0.367,0.181,-0.181,-0.121,-0.21,-0.007
DVU0958,-0.008,0.064,0.292,0.041,-0.205,-0.096,-0.156,-0.01
DVU0959,0.037,0.023,0.271,0.04,-0.118,-0.022,-0.142,-0.036
DVU0960,0.072,-0.022,0.235,-0.095,-0.106,0.073,-0.139,0.022
DVU0961,0.033,0.023,0.256,0.013,-0.122,-0.014,-0.142,-0.026
DVU0962,0.043,-0.022,0.316,0.188,-0.015,-0.021,0.1,0.024
DVU0963,0.014,0.047,0.321,0.035,-0.137,-0.055,-0.119,-0.013
DVU0964,0.016,-0.012,0.226,0.021,-0.099,-0.001,-0.067,0.011
DVU0965,0.129,-0.027,0.418,0.156,-0.277,-0.105,-0.27,-0.024
DVU0966,0.013,0.014,0.259,0.02,-0.137,-0.069,-0.108,-0.031
DVU0967,0.008,-0.011,0.25,0.032,-0.114,0.009,-0.104,-0.017
DVU0968,0.007,0.035,0.262,0.083,-0.144,-0.069,-0.115,-0.047
DVU0969,0.008,-0.001,0.273,0.058,-0.071,-0.036,-0.075,-0.041
DVU0970,0.018,0.071,0.169,-0.01,-0.109,-0.047,-0.091,0.001
DVU0971,-0.016,-0.038,0.207,-0.065,-0.09,0.007,-0.035,0.072
DVU0972,0.004,0.016,0.246,0.016,-0.083,-0.001,-0.063,-0.016
DVU0973,-0.003,0.039,0.232,0.029,-0.12,-0.061,-0.082,-0.014
DVU0974,0.029,0.023,0.235,-0.01,-0.123,-0.036,-0.139,0.024
DVU0975,0.039,0.043,0.246,0.01,-0.137,-0.077,-0.137,-0.03
DVU0976,0.007,0.006,0.204,-0.006,-0.081,0.001,-0.091,-0.006
DVU0977,-0.146,-0.052,0.291,0.139,-0.174,-0.139,0.057,-0.083
DVU0978,0.036,0.009,0.316,0.05,-0.135,-0.032,-0.137,-0.028
DVU0979,0.021,0.014,0.225,0.031,-0.143,-0.027,-0.126,-0.015
DVU0980,0.014,0.026,0.235,0.007,-0.135,-0.036,-0.113,-0.01
DVU0981,-0.004,0.003,0.203,0.021,-0.099,-0.012,-0.078,-0.004
DVU0982,-0.018,0.001,0.184,-0.028,-0.07,-0.047,-0.07,0.017
DVU0983,-0.017,0.067,0.244,0.094,-0.102,-0.112,-0.065,-0.057
DVU0984,0.045,0.011,0.243,0.033,-0.069,-0.001,-0.093,-0.023
DVU0985,-0.003,-0.04,0.169,-0.055,-0.055,0.051,-0.046,0.013
DVU0986,-0.096,-0.019,0.334,0.134,-0.043,-0.094,-0.23,-0.042
DVU0987,0.051,0.036,0.349,0.111,-0.213,-0.066,-0.158,-0.05
DVU0988,0.032,-0.015,0.242,0.004,-0.149,-0.001,-0.124,0.005
DVU0989,-0.023,-0.008,0.237,0.038,-0.083,-0.011,-0.083,-0.02
DVU0990,0.016,-0.006,0.17,0.005,-0.08,-0.013,-0.093,0.013
DVU0991,-0.002,0.006,0.249,-0.027,-0.095,-0.004,-0.086,0.014
DVU0992,0.022,0.012,0.248,0.018,-0.127,-0.017,-0.108,-0.017
DVU0993,0.008,-0.028,0.248,0.017,-0.107,-0.017,-0.104,0.017
DVU0994,-0.026,-0.053,0.112,-0.028,-0.01,0.076,-0.04,0.028
DVU0995,0.04,0.07,0.307,0.042,-0.147,-0.081,-0.119,-0.021
DVU0996,0.039,0.007,0.321,0.041,-0.162,-0.047,-0.164,0.011
DVU0997,0.029,0.027,0.365,0.119,-0.155,-0.05,-0.098,-0.052
DVU0998,0.007,0.037,0.265,0.013,-0.076,0.009,-0.119,-0.023
DVU0999,-0.002,-0.01,0.254,0.026,-0.107,-0.021,-0.097,-0.002
DVU1000,0.015,0.028,0.242,0.018,-0.121,-0.019,-0.115,-0.04
DVU1001,0.039,0.004,0.271,-0.011,-0.076,0.038,-0.076,0.013
DVU1002,-0.004,0.003,0.303,-0.019,-0.169,-0.005,-0.148,0.03
DVU1003,0.045,0.013,0.25,-0.003,-0.118,-0.005,-0.135,0.004
DVU1004,-0.065,0.014,0.231,0.017,-0.067,-0.007,-0.039,0.005
DVU1005,-0.037,0.014,0.202,0.003,-0.085,-0.037,-0.029,-0.001
DVU1006,-0.022,-0.001,0.251,0.062,-0.12,-0.018,-0.047,-0.007
DVU1007,-0.03,-0.01,0.173,-0.091,-0.103,0.033,-0.038,-0.011
DVU1008,0.003,-0.005,0.215,0.015,-0.089,-0.022,-0.071,0.015
DVU1009,-0.034,-0.013,0.204,-0.047,-0.073,-0.005,-0.055,0.058
DVU1010,0.08,0.112,0.516,0.119,-0.207,-0.095,-0.076,0.089
DVU1011,-0.057,0.077,0.327,0.051,-0.102,-0.068,-0.107,0.06
DVU1012,-0.001,0.028,0.207,0.012,-0.104,-0.026,-0.095,-0.03
DVU1013,0.053,0.073,0.331,0.064,-0.16,-0.044,-0.168,-0.056
DVU1014,0.064,0.253,0.414,0.02,0.077,-0.131,0.205,-0.021
DVU1015,-0.02,-0.04,0.565,0.166,-0.046,-0.197,0.041,-0.01
DVU1016,0.241,0.061,0.513,0.028,-0.017,-0.051,-0.102,0
DVU1017,0.041,0.037,0.284,0.047,-0.142,-0.026,-0.101,-0.024
DVU1018,0.061,0.068,0.339,0.081,-0.176,-0.072,-0.155,-0.064
DVU1019,0.055,0.055,0.33,0.067,-0.155,-0.042,-0.149,-0.036
DVU1020,0.019,0.004,0.245,-0.003,-0.113,-0.003,-0.084,0.001
DVU1021,0.038,0.011,0.225,0.021,-0.127,-0.017,-0.116,0.002
DVU1022,0.055,-0.015,0.234,0.016,-0.07,0,-0.095,-0.002
DVU1023,-0.021,-0.022,0.275,0.044,-0.108,-0.005,-0.082,0.01
DVU1024,0.005,0.024,0.226,0.012,-0.074,-0.016,-0.108,-0.019
DVU1025,0.051,0.003,0.311,0.054,-0.146,-0.006,-0.147,-0.032
DVU1026,-0.023,-0.024,0.243,0.046,-0.087,-0.022,-0.052,0.01
DVU1027,0.065,0.038,0.292,0.115,-0.137,-0.027,-0.104,-0.049
DVU1028,0.015,-0.02,0.213,0.044,-0.089,-0.03,-0.084,-0.016
DVU1029,0.003,0.022,0.239,0.029,-0.119,-0.022,-0.092,-0.014
DVU1030,0.044,0.033,0.299,0.081,-0.092,-0.034,-0.135,-0.066
DVU1031,0.099,0.003,0.548,0.202,-0.067,0.109,-0.032,0.077
DVU1032,0.012,-0.006,0.201,-0.038,-0.132,0.015,-0.069,0.004
DVU1033,0.003,0.074,0.217,-0.019,-0.098,-0.039,-0.044,-0.021
DVU1034,0.025,0.094,0.279,0.037,-0.189,-0.074,-0.171,-0.083
DVU1035,-0.031,0.028,0.23,-0.048,-0.077,0.001,-0.053,0.036
DVU1036,-0.004,0.038,0.265,0.051,-0.125,-0.033,-0.097,-0.012
DVU1037,-0.017,0.018,0.229,0.02,-0.075,-0.024,-0.063,-0.036
DVU1038,0.019,0.011,0.211,-0.024,-0.14,-0.022,-0.098,0.041
DVU1039,0.048,0.006,0.271,0.022,-0.126,0.003,-0.122,-0.022
DVU1040,0.026,0.046,0.244,0.014,-0.105,-0.028,-0.145,-0.025
DVU1041,0.011,-0.01,0.319,0.114,-0.119,-0.057,-0.115,-0.009
DVU1042,0.033,0.019,0.228,0.04,-0.142,-0.062,-0.161,-0.01
DVU1043,0.001,-0.009,0.188,-0.004,-0.084,0.009,-0.076,0.002
DVU1044,-0.004,0.03,0.216,0.018,-0.109,-0.024,-0.077,-0.02
DVU1045,0.027,-0.014,0.221,-0.031,-0.088,0.034,-0.142,0.007
DVU1046,-0.046,0.039,0.339,-0.017,-0.091,0.046,-0.128,0.026
DVU1047,0,0.007,0.258,0.042,-0.113,-0.037,-0.078,0.007
DVU1048,0.002,0.01,0.208,0.01,-0.082,-0.03,-0.094,-0.008
DVU1049,0.004,0.055,0.273,0.033,-0.156,-0.058,-0.143,0.009
DVU1050,0.012,-0.022,0.219,-0.008,-0.086,0.033,-0.105,0.007
DVU1051,0.071,0.049,0.319,0.097,-0.143,-0.097,-0.151,-0.057
DVU1052,0.01,0.01,0.232,0.018,-0.112,-0.02,-0.092,0.007
DVU1054,0.005,0.008,0.237,0.037,-0.091,-0.024,-0.115,-0.033
DVU1055,0.02,0.003,0.255,0.026,-0.134,-0.007,-0.103,-0.011
DVU1056,-0.008,0.015,0.179,0.039,-0.081,-0.031,-0.071,-0.016
DVU1057,-0.014,0.005,0.239,0.046,-0.094,-0.049,-0.058,-0.003
DVU1058,0.013,0.009,0.215,0.035,-0.06,0.004,-0.027,-0.001
DVU1059,0.025,0.035,0.241,0.028,-0.117,-0.053,-0.111,-0.011
DVU1060,0.016,-0.011,0.219,0.006,-0.076,0.007,-0.079,-0.002
DVU1061,0.071,0.015,0.305,0.059,-0.097,-0.018,-0.102,0.002
DVU1062,0.036,0.053,0.218,-0.03,-0.089,-0.017,-0.076,-0.003
DVU1063,0.02,0.004,0.276,-0.004,-0.096,0.01,-0.074,0.024
DVU1064,0.001,-0.003,0.23,0.026,-0.112,-0.035,-0.09,-0.008
DVU1065,0.015,-0.006,0.208,-0.008,-0.109,0.008,-0.096,-0.003
DVU1066,0.03,-0.002,0.258,0.028,-0.101,0.001,-0.151,0.007
DVU1067,0.01,-0.037,0.229,0.015,-0.127,0,-0.104,0.021
DVU1068,0.007,0.016,0.307,0.083,-0.069,-0.024,-0.013,0.006
DVU1069,0.002,0.074,0.228,0.062,-0.147,-0.067,-0.089,-0.043
DVU1070,-0.012,0.01,0.241,0.018,-0.1,-0.007,-0.085,-0.011
DVU1071,0.07,0.041,0.251,0.045,-0.135,-0.041,-0.17,-0.046
DVU1072,-0.007,-0.002,0.231,0.002,-0.099,-0.005,-0.088,0.001
DVU1073,0.019,0.014,0.216,-0.034,-0.104,-0.009,-0.086,0.017
DVU1074,0.088,0.051,0.472,0.133,-0.273,-0.121,-0.21,-0.075
DVU1075,0.029,0.011,0.238,0.022,-0.135,-0.023,-0.093,-0.012
DVU1076,0.022,0.001,0.249,0.051,-0.155,-0.033,-0.056,0.002
DVU1077,0.042,0.042,0.283,0.063,-0.171,-0.069,-0.137,-0.038
DVU1078,-0.004,0.016,0.207,0.018,-0.074,-0.017,-0.077,-0.003
DVU1079,0.026,0.033,0.24,0.012,-0.135,-0.042,-0.084,0.012
DVU1080,0.03,0.077,0.23,-0.01,-0.139,-0.042,-0.109,-0.05
DVU1081,-0.032,-0.048,0.222,-0.018,-0.077,0.027,-0.033,0.049
DVU1082,0.002,0.047,0.239,0.05,-0.098,-0.034,-0.106,-0.05
DVU1083,0.05,0.041,0.278,0.01,-0.214,-0.05,-0.13,0.013
DVU1084,0.048,-0.003,0.25,0.041,-0.132,-0.051,-0.126,-0.053
DVU1085,-0.035,0.02,0.31,0.056,-0.081,-0.02,-0.073,-0.029
DVU1086,-0.002,0,0.253,0.022,-0.104,-0.033,-0.055,0.021
DVU1087,-0.017,0.04,0.253,0.034,-0.067,-0.06,-0.058,-0.018
DVU1088,-0.017,-0.022,0.184,0.065,-0.068,-0.053,-0.098,-0.124
DVU1089,0.034,0.007,0.238,0.021,-0.133,-0.027,-0.113,-0.004
DVU1090,0.067,0.043,0.264,0.072,-0.147,-0.069,-0.148,-0.044
DVU1091,-0.005,0.015,0.245,0.049,-0.103,-0.039,-0.084,-0.013
DVU1092,-0.026,0.002,0.231,0.042,-0.122,-0.022,-0.06,-0.002
DVU1093,-0.002,0.039,0.213,0.035,-0.135,-0.04,-0.08,-0.036
DVU1094,0.037,0.024,0.212,0.017,-0.122,-0.035,-0.118,-0.024
DVU1095,0.014,-0.003,0.216,0.002,-0.096,0.006,-0.093,0
DVU1096,-0.001,-0.027,0.292,0.003,-0.116,0.006,-0.082,0.036
DVU1097,-0.012,0.018,0.178,0.004,-0.055,-0.023,-0.049,0.004
DVU1098,0.011,0.029,0.21,-0.019,-0.104,-0.017,-0.117,-0.006
DVU1099,-0.035,-0.064,0.23,-0.051,-0.042,0.11,-0.117,0.035
DVU1100,0.027,0.03,0.254,0,-0.111,-0.014,-0.119,-0.009
DVU1101,-0.042,-0.015,0.19,0.007,-0.05,-0.002,-0.047,0.006
DVU1102,-0.009,-0.013,0.194,-0.034,-0.061,-0.005,-0.07,0.033
DVU1103,0.018,-0.011,0.2,0.046,-0.121,-0.014,-0.071,-0.002
DVU1104,-0.004,-0.033,0.195,-0.029,-0.061,0.037,-0.108,-0.009
DVU1105,0.019,-0.049,0.198,-0.043,-0.083,0.039,-0.122,0.059
DVU1106,0.002,-0.022,0.179,-0.021,-0.102,0.008,-0.087,0.049
DVU1107,-0.004,-0.028,0.213,-0.027,-0.09,0.022,-0.093,0.026
DVU1108,-0.015,0.041,0.216,0.032,-0.076,-0.027,-0.127,-0.024
DVU1109,0.186,0.169,0.557,0.161,-0.175,-0.129,-0.17,-0.075
DVU1110,0.023,-0.023,0.256,0.004,-0.133,0.011,-0.137,-0.011
DVU1111,0.013,-0.042,0.215,-0.052,-0.114,0.052,-0.101,0.05
DVU1112,0.023,-0.036,0.192,-0.072,-0.035,0.009,-0.153,0.043
DVU1113,0.007,-0.019,0.187,-0.095,-0.096,0.047,-0.104,0.054
DVU1114,0.008,-0.023,0.286,0.008,-0.14,-0.001,-0.118,0.038
DVU1115,-0.008,0.015,0.16,-0.011,-0.082,0.013,-0.067,0.002
DVU1116,0.009,-0.005,0.199,-0.031,-0.103,0.011,-0.088,0.012
DVU1117,0.015,-0.018,0.233,-0.008,-0.112,0.015,-0.093,0.04
DVU1118,0.021,-0.045,0.224,-0.054,-0.115,0.047,-0.116,0.047
DVU1119,0.032,-0.011,0.268,-0.019,-0.119,0.009,-0.118,0.036
DVU1120,0.002,-0.003,0.247,-0.011,-0.11,0.009,-0.122,0.005
DVU1121,0.157,0.024,0.474,0.133,-0.206,-0.037,-0.21,-0.123
DVU1122,0.029,-0.003,0.233,0.025,-0.12,-0.014,-0.101,-0.007
DVU1123,0.037,0.035,0.259,-0.026,-0.116,-0.02,-0.176,0.003
DVU1124,0.026,-0.035,0.268,-0.04,-0.153,0.018,-0.144,0.02
DVU1125,0.085,0.036,0.242,0.007,-0.161,0.015,-0.158,-0.04
DVU1126,0.035,0.036,0.211,-0.025,-0.108,-0.029,-0.156,0.035
DVU1127,0.029,0.066,0.262,0.041,-0.129,-0.04,-0.114,-0.059
DVU1128,0.01,-0.045,0.189,-0.069,-0.097,0.061,-0.098,0.06
DVU1129,0.024,-0.003,0.268,-0.029,-0.122,0.04,-0.14,-0.013
DVU1130,0.034,0.128,0.296,0.022,-0.192,-0.098,-0.158,-0.047
DVU1131,0.052,0.098,0.292,0.03,-0.172,-0.096,-0.111,-0.026
DVU1132,-0.014,-0.009,0.225,-0.06,-0.156,-0.008,-0.113,0.044
DVU1133,0.027,0.072,0.349,0.143,-0.17,-0.095,-0.166,-0.08
DVU1134,0.045,0.005,0.254,0.095,-0.137,-0.035,-0.123,-0.059
DVU1135,0.093,0.125,0.261,0.052,-0.178,-0.063,-0.189,-0.124
DVU1136,-0.024,0.026,0.245,0.025,-0.122,-0.021,-0.134,-0.027
DVU1137,0.092,0.019,0.263,-0.034,-0.21,-0.01,-0.217,0.054
DVU1138,0.026,0.008,0.269,0.002,-0.129,0.001,-0.13,-0.015
DVU1139,0.048,0.024,0.206,0.01,-0.155,-0.022,-0.112,-0.034
DVU1140,0.012,0.009,0.25,-0.011,-0.094,0.027,-0.124,0.007
DVU1141,-0.002,0.118,0.316,0.009,-0.107,-0.07,-0.168,-0.057
DVU1142,0.024,-0.042,0.296,0.006,-0.198,-0.044,-0.155,-0.038
DVU1143,0.064,0.044,0.256,-0.023,-0.162,-0.027,-0.172,-0.045
DVU1144,0.026,0.028,0.381,0.079,-0.16,-0.059,-0.166,-0.063
DVU1145,0.094,0.217,0.577,0.273,-0.28,-0.093,-0.314,-0.234
DVU1147,0.161,0.078,0.63,0.241,-0.04,0.018,-0.003,0.005
DVU1148,0.116,0.105,0.552,0.182,-0.154,-0.053,-0.134,-0.135
DVU1150,0.027,0.053,0.25,0.028,-0.141,-0.06,-0.128,-0.01
DVU1151,0.076,0.071,0.527,0.123,-0.07,-0.022,0.074,0.006
DVU1152,-0.023,0.094,0.257,-0.034,-0.157,-0.008,-0.103,-0.055
DVU1153,0.046,0.024,0.26,-0.031,-0.12,0.006,-0.13,0.003
DVU1154,-0.066,-0.057,0.27,0.005,-0.086,0.018,-0.057,0.072
DVU1155,0.056,0,0.364,0.035,-0.02,0.025,0.005,0.058
DVU1156,0.11,0.079,0.385,0.137,-0.198,-0.073,-0.235,-0.105
DVU1157,0.039,0.023,0.306,0.05,-0.143,-0.027,-0.14,-0.034
DVU1158,0.02,0.085,0.148,0.036,-0.067,-0.059,-0.052,-0.059
DVU1159,0.074,0.027,0.587,0.314,-0.297,-0.259,-0.235,-0.163
DVU1160,0.038,-0.027,0.333,0.099,-0.133,-0.04,-0.108,-0.038
DVU1161,0.076,0.171,0.367,0.036,-0.246,-0.109,-0.228,-0.116
DVU1162,-0.017,-0.028,0.387,0.108,-0.132,-0.055,-0.052,-0.042
DVU1163,0.015,0.032,0.246,0.045,-0.113,-0.026,-0.109,-0.026
DVU1164,0.027,0.019,0.241,0.031,-0.144,-0.022,-0.142,-0.025
DVU1165,-0.006,-0.004,0.278,0.049,-0.092,-0.031,-0.05,-0.014
DVU1166,0.194,0.234,0.671,0.251,-0.425,-0.21,-0.429,-0.244
DVU1167,0.069,0.131,0.579,0.241,-0.095,-0.11,0.049,-0.136
DVU1168,-0.024,0.002,0.258,0.048,-0.107,0.018,-0.111,-0.025
DVU1169,0.009,0.019,0.237,0.013,-0.102,-0.037,-0.092,0.001
DVU1170,0.023,0.044,0.267,0.125,-0.142,-0.14,-0.08,-0.085
DVU1171,0.073,0.186,0.395,0.173,-0.223,-0.171,-0.185,-0.082
DVU1172,0.256,0.178,0.563,0.3,-0.005,-0.031,0.038,0.033
DVU1173,-0.016,-0.007,0.295,0.047,-0.112,-0.036,-0.079,-0.018
DVU1174,-0.009,0.04,0.251,0.039,-0.158,-0.041,-0.08,-0.039
DVU1175,0.025,-0.003,0.353,0.065,-0.073,0.016,-0.142,-0.105
DVU1176,0.011,0.077,0.248,0.03,-0.135,-0.056,-0.106,-0.047
DVU1177,0.009,0.04,0.323,0.117,-0.16,-0.055,-0.158,-0.041
DVU1178,-0.042,-0.115,0.439,0.092,-0.056,-0.037,-0.01,0.024
DVU1179,-0.005,0.015,0.21,-0.007,-0.114,-0.011,-0.066,0.004
DVU1180,-0.024,-0.06,0.257,-0.036,-0.057,0.009,-0.063,0.048
DVU1181,0.022,0.025,0.258,0.059,-0.12,-0.04,-0.124,-0.036
DVU1182,-0.004,0.068,0.242,-0.018,-0.105,-0.032,-0.107,-0.008
DVU1183,0.022,0.058,0.241,0.064,-0.082,-0.064,-0.076,-0.043
DVU1185,-0.005,0,0.257,0.087,-0.107,-0.04,-0.088,-0.004
DVU1186,0.014,0.017,0.269,0.018,-0.108,-0.035,-0.088,0.006
DVU1187,0.029,-0.047,0.239,0.02,-0.065,0.032,-0.047,0.025
DVU1188,-0.02,-0.067,0.191,-0.056,-0.092,0.039,-0.01,0.067
DVU1189,0.033,-0.004,0.243,0.031,-0.133,-0.03,-0.105,-0.003
DVU1190,0.017,0.012,0.252,0.026,-0.12,-0.038,-0.082,-0.003
DVU1191,0.045,0.026,0.229,0.005,-0.138,-0.032,-0.124,-0.007
DVU1192,-0.033,0.042,0.292,-0.018,-0.164,-0.063,-0.109,0.004
DVU1193,0.014,0.032,0.224,0.005,-0.128,-0.066,-0.087,-0.029
DVU1194,0.033,-0.011,0.287,0.072,-0.099,-0.026,-0.131,-0.021
DVU1195,0.014,0.002,0.25,0.044,-0.091,-0.029,-0.112,-0.031
DVU1196,0.017,0.009,0.222,0.026,-0.111,-0.031,-0.109,-0.016
DVU1197,0.056,0.019,0.321,0.013,-0.176,-0.009,-0.174,-0.026
DVU1198,-0.027,-0.021,0.155,-0.066,-0.059,0.039,-0.041,0.034
DVU1199,0.019,0.013,0.233,0.028,-0.145,-0.021,-0.102,-0.008
DVU1200,0.035,0.007,0.315,0.11,-0.124,-0.034,-0.107,-0.055
DVU1201,0,0.002,0.218,0.031,-0.091,-0.035,-0.074,0.001
DVU1202,0.016,0.009,0.255,0.02,-0.125,-0.035,-0.092,0.01
DVU1203,-0.006,-0.017,0.225,-0.012,-0.072,0.019,-0.091,0.012
DVU1204,-0.003,-0.005,0.246,-0.025,-0.129,-0.011,-0.104,0.011
