PseDNC_Xc1.AA,PseDNC_Xc1.AC,PseDNC_Xc1.AG,PseDNC_Xc1.AT,PseDNC_Xc1.CA,PseDNC_Xc1.CC,PseDNC_Xc1.CG,PseDNC_Xc1.CT,PseDNC_Xc1.GA,PseDNC_Xc1.GC,PseDNC_Xc1.GG,PseDNC_Xc1.GT,PseDNC_Xc1.TA,PseDNC_Xc1.TC,PseDNC_Xc1.TG,PseDNC_Xc1.TT,PseDNC_Xc2.lambda.1,PseDNC_Xc2.lambda.2,PseDNC_Xc2.lambda.3
DVU0668,0.024,0.043,0.048,0.032,0.056,0.052,0.097,0.041,0.053,0.101,0.075,0.045,0.013,0.051,0.053,0.022,0.08,0.058,0.056
DVU0669,0.034,0.046,0.044,0.049,0.044,0.035,0.063,0.058,0.059,0.06,0.061,0.047,0.035,0.059,0.059,0.046,0.082,0.059,0.061
DVU0670,0.021,0.023,0.028,0.042,0.04,0.05,0.058,0.058,0.032,0.067,0.078,0.07,0.022,0.066,0.083,0.066,0.079,0.06,0.057
DVU0671,0.037,0.052,0.041,0.031,0.059,0.081,0.089,0.046,0.051,0.089,0.059,0.037,0.014,0.053,0.047,0.021,0.078,0.06,0.055
DVU0672,0.11,0.01,0.035,0.11,0.03,0.01,0.025,0.015,0.05,0.015,0.015,0.045,0.08,0.045,0.05,0.115,0.091,0.081,0.07
DVU0673,0.053,0.038,0.038,0.067,0.076,0.019,0.024,0.038,0.038,0.062,0.024,0.038,0.024,0.038,0.081,0.139,0.082,0.056,0.064
DVU0674,0.017,0.031,0.03,0.029,0.043,0.054,0.093,0.053,0.033,0.099,0.079,0.06,0.014,0.06,0.068,0.042,0.08,0.06,0.057
DVU0675,0.033,0.04,0.046,0.034,0.05,0.065,0.08,0.048,0.058,0.076,0.062,0.051,0.014,0.062,0.058,0.03,0.075,0.06,0.056
DVU0676,0.017,0.028,0.03,0.036,0.043,0.058,0.067,0.07,0.037,0.083,0.093,0.055,0.013,0.07,0.078,0.039,0.075,0.057,0.055
DVU0677,0.034,0.057,0.034,0.032,0.058,0.094,0.084,0.051,0.047,0.08,0.055,0.037,0.018,0.057,0.045,0.022,0.078,0.061,0.055
DVU0678,0.039,0.039,0.023,0.062,0.046,0.046,0.031,0.054,0.054,0.054,0.139,0.046,0.023,0.039,0.1,0.008,0.079,0.063,0.055
DVU0679,0.044,0.057,0.039,0.028,0.058,0.08,0.094,0.055,0.057,0.09,0.058,0.026,0.009,0.06,0.04,0.021,0.074,0.057,0.054
DVU0680,0.021,0.055,0.037,0.028,0.067,0.088,0.087,0.053,0.046,0.091,0.06,0.036,0.008,0.061,0.048,0.026,0.075,0.057,0.056
DVU0681,0.033,0.06,0.036,0.031,0.063,0.079,0.089,0.052,0.056,0.08,0.055,0.034,0.008,0.064,0.044,0.027,0.075,0.059,0.054
DVU0682,0.034,0.048,0.049,0.036,0.057,0.086,0.081,0.042,0.057,0.073,0.048,0.047,0.018,0.059,0.047,0.024,0.077,0.06,0.058
DVU0683,0.032,0.061,0.044,0.032,0.059,0.076,0.09,0.046,0.063,0.081,0.045,0.037,0.014,0.053,0.048,0.024,0.078,0.057,0.059
DVU0684,0.038,0.058,0.051,0.026,0.06,0.076,0.09,0.044,0.058,0.084,0.061,0.035,0.016,0.051,0.037,0.026,0.076,0.06,0.054
DVU0685,0.024,0.048,0.034,0.035,0.049,0.06,0.098,0.037,0.057,0.082,0.076,0.051,0.01,0.053,0.059,0.032,0.079,0.059,0.058
DVU0686,0.023,0.036,0.031,0.028,0.038,0.072,0.092,0.041,0.051,0.102,0.084,0.058,0.007,0.033,0.087,0.02,0.079,0.057,0.062
DVU0687,0.026,0.05,0.035,0.028,0.05,0.058,0.091,0.05,0.049,0.086,0.081,0.049,0.013,0.056,0.059,0.024,0.078,0.058,0.058
DVU0688,0.024,0.045,0.031,0.024,0.052,0.06,0.086,0.053,0.039,0.097,0.096,0.047,0.01,0.049,0.066,0.031,0.077,0.057,0.055
DVU0689,0.036,0.048,0.038,0.024,0.04,0.062,0.099,0.036,0.061,0.086,0.092,0.047,0.01,0.04,0.057,0.036,0.076,0.057,0.054
DVU0690,0.022,0.044,0.028,0.04,0.049,0.071,0.077,0.059,0.047,0.071,0.07,0.049,0.016,0.07,0.062,0.032,0.077,0.058,0.059
DVU0691,0.015,0.043,0.026,0.026,0.045,0.064,0.077,0.069,0.033,0.089,0.06,0.059,0.016,0.059,0.079,0.044,0.08,0.059,0.058
DVU0692,0.026,0.045,0.023,0.036,0.051,0.069,0.074,0.076,0.036,0.077,0.052,0.05,0.018,0.079,0.065,0.028,0.079,0.06,0.056
DVU0693,0.045,0.056,0.039,0.027,0.059,0.081,0.076,0.042,0.046,0.073,0.053,0.059,0.017,0.047,0.064,0.019,0.08,0.058,0.06
DVU0694,0.034,0.046,0.042,0.025,0.063,0.095,0.087,0.05,0.041,0.095,0.067,0.037,0.009,0.059,0.044,0.02,0.074,0.058,0.053
DVU4027,0.047,0.05,0.055,0.026,0.066,0.065,0.065,0.043,0.051,0.078,0.055,0.055,0.013,0.047,0.064,0.027,0.078,0.059,0.055
DVU0696,0.025,0.044,0.056,0.031,0.044,0.044,0.088,0.056,0.069,0.107,0.063,0.031,0.025,0.038,0.056,0.025,0.08,0.055,0.063
DVU0697,0.034,0.054,0.04,0.032,0.063,0.083,0.091,0.047,0.052,0.08,0.06,0.038,0.01,0.068,0.04,0.022,0.075,0.059,0.054
DVU0698,0.023,0.073,0.027,0.03,0.069,0.078,0.085,0.052,0.048,0.076,0.065,0.031,0.013,0.057,0.044,0.038,0.078,0.055,0.059
DVU0700,0.031,0.057,0.049,0.029,0.067,0.071,0.092,0.037,0.061,0.084,0.071,0.037,0.007,0.055,0.042,0.021,0.075,0.06,0.052
DVU0701,0.025,0.05,0.038,0.032,0.053,0.071,0.091,0.042,0.052,0.093,0.087,0.04,0.015,0.042,0.057,0.018,0.079,0.059,0.058
DVU0702,0.034,0.039,0.039,0.039,0.057,0.057,0.075,0.029,0.047,0.088,0.074,0.054,0.014,0.034,0.074,0.045,0.082,0.057,0.06
DVU0703,0.033,0.051,0.049,0.034,0.061,0.064,0.093,0.042,0.057,0.08,0.054,0.046,0.015,0.065,0.042,0.02,0.079,0.058,0.057
DVU0704,0.034,0.054,0.04,0.042,0.057,0.049,0.086,0.038,0.052,0.064,0.062,0.056,0.027,0.064,0.046,0.023,0.084,0.062,0.06
DVU0705,0.009,0.026,0.018,0.049,0.052,0.073,0.087,0.054,0.031,0.088,0.076,0.051,0.011,0.079,0.065,0.033,0.079,0.062,0.056
DVU0706,0.026,0.041,0.022,0.031,0.057,0.071,0.088,0.064,0.033,0.102,0.057,0.05,0.005,0.065,0.074,0.024,0.079,0.058,0.053
DVU0707,0.049,0.049,0.048,0.028,0.055,0.087,0.075,0.047,0.059,0.071,0.063,0.042,0.011,0.057,0.048,0.028,0.071,0.06,0.053
DVU0708,0.079,0.042,0.037,0.068,0.058,0.032,0.047,0.042,0.053,0.037,0.079,0.047,0.037,0.068,0.053,0.021,0.082,0.063,0.055
DVU0709,0.068,0.034,0.05,0.053,0.043,0.04,0.059,0.04,0.056,0.062,0.08,0.043,0.034,0.046,0.056,0.04,0.079,0.061,0.055
DVU0710,0.015,0.039,0.039,0.03,0.054,0.077,0.099,0.04,0.041,0.112,0.086,0.041,0.012,0.042,0.056,0.023,0.079,0.058,0.057
DVU0711,0.016,0.049,0.035,0.024,0.052,0.076,0.095,0.04,0.051,0.091,0.084,0.051,0.006,0.047,0.062,0.032,0.077,0.058,0.054
DVU0712,0.046,0.057,0.044,0.024,0.06,0.075,0.084,0.048,0.049,0.086,0.066,0.042,0.014,0.049,0.049,0.017,0.077,0.061,0.052
DVU0713,0.02,0.037,0.019,0.049,0.067,0.067,0.068,0.061,0.024,0.081,0.084,0.045,0.014,0.078,0.063,0.027,0.08,0.061,0.056
DVU0714,0.016,0.034,0.024,0.047,0.054,0.063,0.076,0.066,0.033,0.09,0.074,0.043,0.019,0.071,0.066,0.024,0.081,0.062,0.056
DVU0715,0.027,0.056,0.038,0.036,0.065,0.063,0.087,0.044,0.055,0.076,0.076,0.043,0.009,0.065,0.048,0.018,0.077,0.058,0.056
DVU0716,0.03,0.039,0.039,0.032,0.056,0.054,0.083,0.043,0.044,0.086,0.084,0.056,0.009,0.057,0.064,0.028,0.078,0.06,0.056
DVU0717,0.031,0.05,0.038,0.044,0.072,0.076,0.082,0.045,0.053,0.087,0.061,0.027,0.009,0.062,0.046,0.028,0.076,0.06,0.056
DVU0718,0.066,0.033,0.059,0.043,0.031,0.035,0.082,0.039,0.088,0.055,0.055,0.049,0.016,0.064,0.051,0.049,0.071,0.06,0.052
DVU0719,0.043,0.044,0.05,0.046,0.061,0.043,0.069,0.039,0.058,0.071,0.05,0.048,0.022,0.053,0.059,0.041,0.082,0.061,0.062
DVU0720,0.026,0.056,0.036,0.03,0.058,0.081,0.087,0.054,0.05,0.087,0.056,0.035,0.015,0.055,0.049,0.034,0.077,0.059,0.056
DVU0721,0.024,0.045,0.036,0.032,0.042,0.054,0.088,0.05,0.055,0.081,0.078,0.054,0.016,0.054,0.066,0.03,0.079,0.059,0.057
DVU0722,0.022,0.044,0.048,0.042,0.058,0.053,0.091,0.034,0.06,0.085,0.077,0.043,0.015,0.054,0.05,0.027,0.08,0.059,0.057
DVU0723,0.021,0.036,0.036,0.036,0.047,0.086,0.096,0.038,0.049,0.1,0.079,0.044,0.01,0.045,0.063,0.021,0.078,0.06,0.055
DVU0724,0.018,0.046,0.016,0.034,0.056,0.078,0.096,0.058,0.026,0.092,0.075,0.046,0.013,0.072,0.053,0.029,0.08,0.061,0.054
DVU0725,0.019,0.064,0.029,0.026,0.058,0.095,0.096,0.052,0.051,0.095,0.07,0.026,0.011,0.047,0.047,0.025,0.077,0.057,0.055
DVU0726,0.028,0.065,0.026,0.033,0.063,0.081,0.097,0.052,0.043,0.087,0.06,0.031,0.018,0.06,0.036,0.021,0.081,0.059,0.058
DVU0727,0.014,0.069,0.033,0.037,0.069,0.092,0.075,0.041,0.054,0.073,0.074,0.033,0.016,0.043,0.052,0.029,0.08,0.058,0.058
DVU0728,0.06,0.083,0.032,0.055,0.096,0.05,0.046,0.032,0.032,0.05,0.009,0.023,0.046,0.041,0.028,0.096,0.091,0.063,0.066
DVU0729,0.025,0.053,0.037,0.037,0.039,0.055,0.104,0.048,0.067,0.083,0.078,0.035,0.019,0.055,0.046,0.023,0.079,0.058,0.061
DVU0730,0.017,0.063,0.025,0.029,0.053,0.081,0.107,0.041,0.052,0.096,0.066,0.041,0.012,0.042,0.056,0.02,0.083,0.059,0.057
DVU0731,0.018,0.057,0.029,0.023,0.062,0.1,0.086,0.062,0.038,0.094,0.074,0.029,0.01,0.058,0.047,0.026,0.074,0.057,0.054
DVU0732,0.033,0.06,0.039,0.027,0.06,0.072,0.095,0.043,0.054,0.089,0.061,0.041,0.012,0.05,0.05,0.018,0.079,0.06,0.055
DVU0733,0.021,0.04,0.038,0.028,0.045,0.084,0.097,0.045,0.048,0.111,0.069,0.043,0.012,0.036,0.068,0.021,0.08,0.055,0.06
DVU0734,0.033,0.044,0.034,0.029,0.049,0.086,0.093,0.049,0.047,0.091,0.065,0.045,0.011,0.056,0.056,0.021,0.077,0.058,0.055
DVU0735,0.029,0.037,0.044,0.028,0.042,0.044,0.094,0.031,0.053,0.094,0.087,0.068,0.013,0.037,0.077,0.02,0.082,0.057,0.061
DVU0736,0.019,0.032,0.025,0.031,0.042,0.082,0.09,0.05,0.037,0.106,0.081,0.049,0.01,0.044,0.076,0.032,0.078,0.059,0.057
DVU0737,0.031,0.058,0.039,0.032,0.063,0.084,0.082,0.049,0.055,0.085,0.062,0.033,0.012,0.052,0.051,0.022,0.077,0.059,0.055
DVU0738,0.022,0.056,0.037,0.03,0.068,0.081,0.089,0.044,0.042,0.084,0.075,0.041,0.014,0.061,0.041,0.023,0.078,0.058,0.056
DVU0739,0.02,0.043,0.034,0.024,0.044,0.073,0.081,0.048,0.053,0.087,0.104,0.047,0.004,0.044,0.071,0.037,0.072,0.057,0.056
DVU0740,0.015,0.043,0.022,0.032,0.05,0.069,0.086,0.063,0.032,0.082,0.076,0.053,0.015,0.076,0.058,0.036,0.078,0.06,0.055
DVU0741,0.022,0.045,0.05,0.021,0.05,0.092,0.089,0.048,0.05,0.08,0.063,0.051,0.014,0.062,0.045,0.034,0.073,0.057,0.054
DVU0742,0.022,0.049,0.033,0.029,0.046,0.055,0.094,0.048,0.053,0.082,0.091,0.049,0.013,0.056,0.058,0.03,0.078,0.055,0.056
DVU0743,0.018,0.044,0.041,0.032,0.056,0.067,0.087,0.045,0.054,0.094,0.079,0.045,0.008,0.049,0.064,0.028,0.077,0.057,0.056
DVU0744,0.024,0.042,0.036,0.025,0.043,0.063,0.097,0.048,0.047,0.098,0.085,0.049,0.012,0.048,0.061,0.03,0.078,0.056,0.057
DVU0745,0.04,0.046,0.043,0.035,0.06,0.078,0.071,0.043,0.045,0.072,0.07,0.047,0.018,0.056,0.051,0.03,0.076,0.062,0.055
DVU0746,0.009,0.035,0.022,0.037,0.053,0.063,0.087,0.058,0.033,0.099,0.098,0.043,0.009,0.064,0.065,0.037,0.078,0.058,0.054
DVU0747,0.02,0.047,0.037,0.025,0.048,0.061,0.1,0.047,0.049,0.097,0.078,0.048,0.011,0.051,0.058,0.029,0.079,0.057,0.058
DVU0748,0.02,0.054,0.029,0.031,0.049,0.084,0.096,0.042,0.049,0.082,0.077,0.051,0.017,0.05,0.057,0.016,0.081,0.06,0.056
DVU0749,0.032,0.062,0.034,0.025,0.054,0.091,0.085,0.063,0.052,0.094,0.058,0.025,0.014,0.046,0.053,0.02,0.075,0.058,0.057
DVU0750,0.03,0.059,0.045,0.028,0.068,0.07,0.098,0.041,0.057,0.1,0.057,0.033,0.007,0.048,0.047,0.021,0.078,0.061,0.054
DVU0751,0.022,0.044,0.024,0.04,0.065,0.064,0.08,0.066,0.028,0.082,0.059,0.044,0.016,0.084,0.05,0.034,0.079,0.061,0.056
DVU0752,0.047,0.055,0.044,0.03,0.058,0.089,0.083,0.046,0.06,0.07,0.059,0.04,0.011,0.062,0.043,0.017,0.073,0.057,0.055
DVU0753,0.039,0.06,0.043,0.037,0.077,0.069,0.087,0.038,0.052,0.076,0.048,0.043,0.012,0.066,0.041,0.014,0.08,0.058,0.061
DVU0754,0.043,0.067,0.036,0.03,0.067,0.073,0.079,0.036,0.055,0.061,0.067,0.043,0.012,0.055,0.043,0.049,0.076,0.054,0.056
DVU0755,0.03,0.061,0.048,0.032,0.066,0.065,0.073,0.053,0.055,0.071,0.048,0.044,0.021,0.061,0.048,0.031,0.079,0.057,0.06
DVU0756,0.026,0.053,0.054,0.026,0.042,0.053,0.077,0.054,0.074,0.079,0.077,0.04,0.018,0.041,0.061,0.032,0.075,0.056,0.06
DVU0757,0.025,0.036,0.036,0.038,0.048,0.074,0.079,0.043,0.056,0.091,0.076,0.048,0.005,0.043,0.081,0.033,0.077,0.057,0.054
DVU0758,0.041,0.057,0.038,0.041,0.063,0.059,0.081,0.043,0.056,0.082,0.088,0.027,0.016,0.047,0.048,0.018,0.078,0.059,0.058
DVU0759,0.031,0.061,0.033,0.033,0.059,0.078,0.095,0.044,0.054,0.09,0.062,0.032,0.013,0.048,0.048,0.023,0.079,0.057,0.06
DVU0760,0.022,0.051,0.042,0.025,0.056,0.1,0.093,0.053,0.054,0.094,0.056,0.034,0.007,0.058,0.047,0.025,0.073,0.055,0.055
DVU0761,0.023,0.053,0.041,0.029,0.073,0.101,0.1,0.042,0.041,0.097,0.034,0.038,0.008,0.064,0.037,0.025,0.078,0.06,0.053
DVU0762,0.019,0.066,0.036,0.031,0.066,0.092,0.08,0.034,0.053,0.07,0.066,0.053,0.014,0.044,0.06,0.017,0.082,0.054,0.063
DVU0763,0.028,0.036,0.04,0.032,0.045,0.041,0.086,0.041,0.056,0.093,0.086,0.061,0.007,0.043,0.085,0.026,0.08,0.055,0.056
DVU0764,0.046,0.043,0.062,0.022,0.059,0.097,0.078,0.04,0.062,0.086,0.051,0.043,0.005,0.048,0.051,0.027,0.07,0.06,0.048
DVU0765,0.021,0.069,0.025,0.029,0.06,0.101,0.114,0.044,0.051,0.095,0.06,0.027,0.011,0.054,0.035,0.011,0.08,0.059,0.054
DVU0766,0.018,0.045,0.032,0.033,0.048,0.053,0.098,0.041,0.039,0.086,0.086,0.066,0.021,0.056,0.063,0.014,0.085,0.061,0.058
DVU0767,0.02,0.045,0.035,0.033,0.055,0.09,0.09,0.044,0.044,0.098,0.08,0.036,0.014,0.046,0.054,0.021,0.078,0.057,0.06
DVU0768,0.021,0.052,0.031,0.029,0.056,0.097,0.091,0.056,0.042,0.097,0.06,0.036,0.013,0.054,0.053,0.017,0.078,0.06,0.055
DVU0769,0.022,0.06,0.029,0.035,0.07,0.092,0.083,0.05,0.042,0.083,0.054,0.036,0.012,0.06,0.049,0.026,0.079,0.06,0.057
DVU0770,0.014,0.038,0.019,0.04,0.049,0.088,0.09,0.058,0.026,0.087,0.065,0.051,0.021,0.072,0.055,0.028,0.082,0.058,0.06
DVU0771,0.021,0.034,0.043,0.027,0.045,0.053,0.087,0.055,0.048,0.084,0.098,0.058,0.011,0.068,0.061,0.02,0.075,0.055,0.056
DVU0772,0.053,0.069,0.035,0.044,0.051,0.058,0.067,0.051,0.071,0.06,0.064,0.028,0.025,0.039,0.058,0.028,0.079,0.057,0.065
DVU0773,0.057,0.04,0.061,0.04,0.057,0.047,0.081,0.034,0.057,0.088,0.064,0.037,0.024,0.044,0.044,0.03,0.079,0.054,0.061
DVU0774,0.05,0.048,0.05,0.026,0.056,0.066,0.086,0.048,0.054,0.092,0.054,0.038,0.014,0.05,0.048,0.028,0.076,0.056,0.058
DVU0775,0.039,0.062,0.038,0.027,0.061,0.078,0.093,0.042,0.052,0.071,0.054,0.047,0.014,0.062,0.04,0.028,0.077,0.061,0.055
DVU0776,0.049,0.051,0.052,0.031,0.057,0.059,0.074,0.051,0.06,0.084,0.053,0.041,0.017,0.047,0.059,0.024,0.077,0.061,0.054
DVU0777,0.042,0.051,0.043,0.035,0.06,0.085,0.083,0.043,0.052,0.078,0.048,0.043,0.015,0.058,0.048,0.021,0.077,0.062,0.055
DVU0778,0.052,0.045,0.048,0.03,0.049,0.058,0.077,0.054,0.064,0.071,0.067,0.04,0.009,0.064,0.052,0.04,0.07,0.058,0.053
DVU0779,0.058,0.044,0.06,0.038,0.061,0.052,0.089,0.041,0.066,0.087,0.051,0.028,0.015,0.06,0.032,0.029,0.075,0.063,0.051
DVU0780,0.035,0.031,0.066,0.033,0.064,0.064,0.07,0.052,0.052,0.093,0.081,0.033,0.014,0.062,0.041,0.025,0.071,0.06,0.053
DVU0781,0.061,0.033,0.033,0.047,0.056,0.033,0.042,0.047,0.033,0.056,0.019,0.061,0.028,0.056,0.075,0.117,0.081,0.059,0.063
DVU0782,0.088,0.02,0.041,0.061,0.054,0.054,0.054,0.041,0.047,0.068,0.041,0.034,0.02,0.061,0.054,0.068,0.074,0.059,0.061
DVU0783,0.039,0.011,0.022,0.039,0.006,0.078,0.083,0.056,0.045,0.083,0.089,0.061,0.022,0.05,0.083,0.045,0.077,0.054,0.056
DVU0784,0.039,0.078,0.044,0.044,0.103,0.048,0.083,0.025,0.051,0.069,0.055,0.039,0.011,0.064,0.032,0.011,0.085,0.064,0.053
DVU0785,0.028,0.042,0.034,0.039,0.067,0.064,0.064,0.072,0.034,0.075,0.068,0.038,0.013,0.086,0.05,0.042,0.073,0.059,0.053
DVU0786,0.039,0.057,0.046,0.028,0.058,0.063,0.08,0.053,0.06,0.075,0.075,0.038,0.012,0.059,0.047,0.024,0.073,0.058,0.055
DVU0787,0.017,0.047,0.026,0.047,0.059,0.057,0.067,0.074,0.045,0.074,0.067,0.036,0.016,0.079,0.062,0.038,0.076,0.06,0.054
DVU0788,0.027,0.059,0.031,0.02,0.062,0.097,0.087,0.059,0.037,0.081,0.066,0.045,0.012,0.067,0.045,0.021,0.075,0.056,0.054
DVU0789,0.033,0.048,0.046,0.043,0.074,0.069,0.087,0.036,0.05,0.078,0.058,0.042,0.014,0.071,0.036,0.018,0.08,0.06,0.056
DVU0790,0.025,0.039,0.03,0.039,0.047,0.064,0.078,0.052,0.043,0.088,0.078,0.052,0.017,0.049,0.075,0.024,0.081,0.058,0.061
DVU0791,0.02,0.035,0.028,0.022,0.037,0.057,0.082,0.054,0.043,0.104,0.12,0.054,0.005,0.033,0.09,0.027,0.076,0.058,0.055
DVU0792,0.027,0.029,0.034,0.039,0.027,0.051,0.09,0.061,0.053,0.097,0.078,0.044,0.022,0.051,0.07,0.034,0.079,0.057,0.058
DVU0793,0,0.059,0.017,0.025,0.05,0.05,0.067,0.05,0.05,0.067,0.092,0.076,0.008,0.042,0.101,0.042,0.083,0.061,0.059
DVU0794,0.038,0.055,0.032,0.034,0.065,0.066,0.09,0.052,0.045,0.077,0.057,0.041,0.011,0.074,0.042,0.031,0.076,0.061,0.052
DVU0795,0.035,0.053,0.044,0.034,0.059,0.078,0.089,0.048,0.058,0.078,0.056,0.037,0.014,0.065,0.04,0.021,0.076,0.058,0.056
DVU0796,0.021,0.05,0.035,0.032,0.067,0.094,0.098,0.045,0.041,0.098,0.053,0.035,0.009,0.062,0.041,0.026,0.078,0.061,0.052
DVU0797,0.039,0.067,0.031,0.018,0.048,0.079,0.088,0.066,0.05,0.067,0.06,0.042,0.017,0.068,0.04,0.033,0.074,0.06,0.05
DVU0798,0.065,0.073,0.049,0.057,0.114,0.057,0.016,0.016,0.024,0.057,0.016,0.049,0.041,0.016,0.065,0.057,0.096,0.062,0.07
DVU0799,0.039,0.069,0.031,0.027,0.059,0.077,0.083,0.057,0.053,0.072,0.058,0.038,0.014,0.058,0.05,0.022,0.077,0.063,0.052
DVU0800,0.141,0.059,0.051,0.043,0.071,0.047,0.047,0.031,0.059,0.059,0.031,0.027,0.027,0.031,0.047,0.035,0.077,0.055,0.06
DVU0801,0.025,0.046,0.034,0.028,0.048,0.071,0.092,0.046,0.048,0.091,0.081,0.046,0.013,0.049,0.059,0.032,0.078,0.058,0.056
DVU0802,0.007,0.007,0.021,0.035,0.042,0.035,0.09,0.063,0.021,0.097,0.042,0.083,0.007,0.09,0.083,0.083,0.08,0.054,0.06
DVU0803,0.02,0.045,0.026,0.033,0.045,0.079,0.082,0.045,0.047,0.085,0.084,0.054,0.011,0.042,0.078,0.03,0.079,0.06,0.055
DVU0804,0.021,0.04,0.039,0.032,0.048,0.059,0.09,0.04,0.053,0.087,0.091,0.051,0.009,0.051,0.064,0.035,0.077,0.058,0.055
DVU0805,0.059,0.043,0.046,0.054,0.056,0.048,0.062,0.04,0.067,0.078,0.054,0.038,0.019,0.038,0.075,0.019,0.081,0.057,0.066
DVU0806,0.024,0.045,0.026,0.043,0.065,0.073,0.079,0.039,0.047,0.081,0.071,0.047,0.004,0.057,0.071,0.035,0.078,0.059,0.055
DVU0807,0.022,0.051,0.04,0.028,0.057,0.089,0.088,0.049,0.047,0.091,0.066,0.042,0.015,0.051,0.053,0.019,0.078,0.058,0.056
DVU0808,0.021,0.052,0.03,0.027,0.045,0.1,0.11,0.052,0.045,0.097,0.053,0.038,0.019,0.058,0.041,0.018,0.079,0.059,0.056
DVU0809,0.028,0.076,0.028,0.042,0.056,0.076,0.106,0.036,0.067,0.062,0.042,0.039,0.02,0.062,0.036,0.02,0.083,0.061,0.06
DVU0810,0.026,0.056,0.038,0.019,0.062,0.1,0.094,0.047,0.041,0.104,0.067,0.035,0.01,0.043,0.048,0.024,0.076,0.056,0.055
DVU0811,0.038,0.056,0.052,0.026,0.064,0.088,0.098,0.04,0.062,0.085,0.053,0.038,0.008,0.062,0.035,0.012,0.074,0.06,0.05
DVU0812,0.037,0.064,0.054,0.02,0.054,0.088,0.088,0.047,0.069,0.092,0.055,0.034,0.013,0.032,0.055,0.013,0.076,0.059,0.053
DVU0813,0.021,0.067,0.032,0.024,0.064,0.072,0.096,0.051,0.045,0.089,0.073,0.038,0.014,0.055,0.045,0.019,0.079,0.056,0.059
DVU0814,0.022,0.065,0.037,0.02,0.054,0.081,0.089,0.059,0.059,0.079,0.059,0.044,0.01,0.057,0.055,0.025,0.076,0.055,0.056
DVU0815,0.033,0.054,0.036,0.032,0.062,0.099,0.092,0.05,0.052,0.089,0.062,0.026,0.008,0.061,0.04,0.023,0.073,0.057,0.052
DVU0816,0.023,0.052,0.032,0.025,0.051,0.061,0.096,0.044,0.049,0.091,0.099,0.049,0.009,0.047,0.061,0.019,0.078,0.057,0.057
DVU0817,0.036,0.06,0.036,0.043,0.075,0.053,0.082,0.048,0.043,0.082,0.058,0.034,0.019,0.063,0.043,0.024,0.083,0.058,0.058
DVU0818,0.009,0.04,0.023,0.034,0.039,0.064,0.101,0.046,0.046,0.096,0.088,0.051,0.012,0.051,0.069,0.036,0.08,0.058,0.057
DVU0819,0.04,0.057,0.037,0.035,0.065,0.067,0.087,0.044,0.05,0.083,0.065,0.038,0.013,0.056,0.048,0.018,0.078,0.062,0.055
DVU0820,0.034,0.055,0.027,0.041,0.048,0.027,0.014,0.102,0.048,0.041,0.095,0.034,0.034,0.068,0.075,0.068,0.072,0.059,0.058
DVU0821,0.061,0.044,0.05,0.061,0.077,0.041,0.041,0.05,0.042,0.064,0.023,0.04,0.034,0.061,0.056,0.049,0.085,0.061,0.061
DVU0822,0.053,0.064,0.045,0.044,0.074,0.046,0.04,0.046,0.046,0.054,0.046,0.042,0.034,0.041,0.058,0.061,0.084,0.063,0.059
DVU0823,0.03,0.066,0.031,0.021,0.065,0.079,0.103,0.041,0.044,0.088,0.062,0.048,0.008,0.055,0.047,0.019,0.079,0.06,0.053
DVU0824,0.019,0.03,0.03,0.034,0.038,0.061,0.099,0.042,0.038,0.091,0.099,0.061,0.019,0.057,0.061,0.027,0.082,0.054,0.059
DVU0825,0.04,0.06,0.045,0.029,0.066,0.074,0.097,0.04,0.056,0.09,0.052,0.035,0.011,0.054,0.04,0.019,0.078,0.059,0.055
DVU0826,0.018,0.057,0.031,0.023,0.06,0.1,0.099,0.049,0.041,0.104,0.06,0.039,0.01,0.047,0.054,0.017,0.079,0.059,0.055
DVU0827,0.025,0.052,0.031,0.023,0.054,0.08,0.101,0.049,0.047,0.101,0.068,0.045,0.005,0.052,0.06,0.017,0.078,0.057,0.055
DVU0828,0.054,0.07,0.052,0.019,0.065,0.066,0.1,0.044,0.061,0.089,0.056,0.03,0.014,0.049,0.03,0.012,0.077,0.055,0.057
DVU0829,0.02,0.052,0.038,0.04,0.074,0.073,0.094,0.043,0.046,0.095,0.058,0.033,0.01,0.063,0.043,0.021,0.08,0.058,0.059
DVU0830,0.028,0.056,0.043,0.031,0.074,0.056,0.105,0.034,0.046,0.111,0.062,0.034,0.009,0.046,0.043,0.025,0.083,0.054,0.06
DVU0831,0.019,0.038,0.023,0.037,0.057,0.063,0.08,0.067,0.027,0.101,0.072,0.039,0.014,0.065,0.065,0.038,0.079,0.058,0.057
DVU0832,0.022,0.052,0.042,0.024,0.051,0.076,0.097,0.045,0.054,0.086,0.066,0.047,0.013,0.055,0.048,0.033,0.077,0.057,0.055
DVU0833,0.026,0.074,0.028,0.034,0.074,0.082,0.09,0.046,0.056,0.09,0.064,0.026,0.006,0.046,0.054,0.012,0.079,0.062,0.051
DVU0834,0.016,0.052,0.027,0.035,0.065,0.094,0.099,0.045,0.034,0.11,0.058,0.03,0.013,0.047,0.05,0.025,0.083,0.059,0.058
DVU0835,0.046,0.053,0.035,0.033,0.058,0.084,0.102,0.039,0.049,0.081,0.044,0.046,0.014,0.065,0.039,0.016,0.079,0.058,0.058
