DCC_Twist.Tilt.lag.1,DCC_Twist.Tilt.lag.2,DCC_Tilt.Twist.lag.1,DCC_Tilt.Twist.lag.2
DVU0566,-0.265,0.014,-0.28,0.022
DVU0567,-0.236,-0.019,-0.304,-0.047
DVU0568,-0.3,0.034,-0.313,0.065
DVU0569,-0.27,0.005,-0.248,0.022
DVU0570,-0.302,-0.046,-0.362,-0.001
DVU0571,-0.305,-0.005,-0.326,-0.01
DVU0572,-0.357,0.03,-0.337,0.075
DVU0573,-0.238,0.004,-0.272,-0.028
DVU4025,-0.274,-0.03,-0.202,-0.036
DVU0575,-0.345,-0.026,-0.274,0.024
DVU0576,-0.274,0.01,-0.312,0.042
DVU0577,-0.275,0.043,-0.281,0.022
DVU0578,-0.314,0.098,-0.255,0.02
DVU0579,-0.341,0.026,-0.275,0.029
DVU0580,-0.303,0.004,-0.268,0.009
DVU0581,-0.285,-0.001,-0.257,-0.029
DVU0582,-0.256,-0.012,-0.297,-0.013
DVU0583,-0.257,-0.016,-0.316,0.046
DVU0584,-0.317,0.039,-0.305,0.02
DVU0585,-0.285,0.005,-0.256,-0.024
DVU0586,-0.271,0.026,-0.304,0.124
DVU0588,-0.287,0.055,-0.243,0
DVU0589,-0.278,0,-0.202,-0.014
DVU0590,-0.276,-0.009,-0.271,0.021
DVU0591,-0.277,-0.023,-0.252,-0.023
DVU0592,-0.248,-0.018,-0.287,0.014
DVU0593,-0.281,-0.001,-0.336,-0.005
DVU0594,-0.316,0.028,-0.267,-0.006
DVU0595,-0.296,0.036,-0.284,0.059
DVU0596,-0.251,-0.061,-0.299,-0.022
DVU0597,-0.276,0.001,-0.284,-0.001
DVU0598,-0.311,-0.031,-0.333,-0.038
DVU0599,-0.334,0,-0.328,-0.023
DVU0600,-0.333,-0.024,-0.307,0.009
DVU0601,-0.326,0.073,-0.25,0.013
DVU0602,-0.275,0.016,-0.348,0.027
DVU0603,-0.262,-0.026,-0.306,-0.02
DVU0604,-0.439,0.172,-0.465,0.204
DVU0605,-0.447,0.175,-0.359,0.095
DVU0606,-0.231,-0.063,-0.195,-0.027
DVU0607,-0.25,-0.042,-0.277,-0.008
DVU0608,-0.268,-0.015,-0.289,0.026
DVU0609,-0.287,0.026,-0.308,-0.021
DVU0610,-0.257,-0.03,-0.27,-0.009
DVU0611,-0.219,-0.019,-0.263,0.028
DVU0612,-0.271,0.004,-0.297,0.004
DVU0613,-0.343,0.01,-0.196,-0.078
DVU0614,-0.361,-0.005,-0.307,0.065
DVU0615,-0.337,0.079,-0.186,0.097
DVU0616,-0.333,-0.056,-0.311,-0.004
DVU0617,-0.323,0.002,-0.306,-0.05
DVU0618,-0.173,-0.061,-0.187,0.006
DVU0619,-0.273,0.006,-0.324,0.044
DVU0620,-0.262,0.032,-0.306,-0.019
DVU0621,-0.331,0.038,-0.294,0.027
DVU0622,-0.278,-0.018,-0.294,0.025
DVU0623,-0.296,0.137,-0.288,0.068
DVU0624,-0.312,-0.002,-0.328,0.019
DVU0625,-0.284,0.028,-0.286,0.004
DVU0626,-0.246,0.058,-0.204,-0.003
DVU0627,-0.38,0.072,-0.296,-0.011
DVU0628,-0.322,0.023,-0.259,-0.033
DVU0629,-0.322,-0.018,-0.35,0.015
DVU0630,-0.333,0.047,-0.341,0.074
DVU0631,-0.253,-0.005,-0.292,0.019
DVU0632,-0.287,0.021,-0.335,0.041
DVU0633,-0.276,0.001,-0.319,0.03
DVU0634,-0.251,0.005,-0.288,0.055
DVU0635,-0.301,-0.002,-0.327,0.043
DVU0636,-0.333,0.016,-0.277,-0.004
DVU0637,-0.26,-0.041,-0.277,-0.038
DVU0638,-0.226,0.004,-0.302,0.04
DVU0639,-0.21,-0.066,-0.267,-0.016
DVU0640,-0.187,-0.055,-0.191,-0.038
DVU0641,-0.328,0.043,-0.283,0.037
DVU0642,-0.302,0.033,-0.271,0.038
DVU0643,-0.262,0.009,-0.232,0.028
DVU0644,-0.389,0.075,-0.439,0.128
DVU0645,-0.268,-0.032,-0.261,0.004
DVU0646,-0.264,0.021,-0.327,0.017
DVU0647,-0.274,0.002,-0.31,0.037
DVU0648,-0.343,0.025,-0.324,0.039
DVU0649,-0.304,-0.003,-0.268,-0.023
DVU0650,-0.24,-0.026,-0.323,-0.029
DVU0651,-0.256,-0.029,-0.286,-0.003
DVU0652,-0.239,-0.023,-0.214,-0.058
DVU0653,-0.257,-0.002,-0.259,0.011
DVU0654,-0.262,-0.038,-0.297,-0.007
DVU0655,-0.287,-0.005,-0.3,0.013
DVU0656,-0.301,0.027,-0.237,-0.052
DVU0657,-0.297,-0.066,-0.294,-0.055
DVU0658,-0.267,0.025,-0.239,-0.004
DVU0659,-0.291,-0.017,-0.292,0.009
DVU0660,-0.314,0.105,-0.275,0.045
DVU0661,-0.294,0.067,-0.261,0.008
DVU0662,-0.248,-0.009,-0.313,0.02
DVU0663,-0.302,-0.019,-0.271,-0.046
DVU0664,-0.295,-0.006,-0.325,0.052
DVU0665,-0.234,-0.031,-0.214,-0.018
DVU0666,-0.244,0.031,-0.304,0.051
DVU0667,-0.283,0.029,-0.322,0.061
DVU0668,-0.278,-0.006,-0.276,0.018
DVU0669,-0.298,0.026,-0.299,0.062
DVU0670,-0.312,0.019,-0.307,0.03
DVU0671,-0.265,-0.02,-0.292,0.002
DVU0672,-0.295,-0.078,-0.268,-0.071
DVU0673,-0.356,0.149,-0.343,0.077
DVU0674,-0.302,0.002,-0.315,0.017
DVU0675,-0.25,-0.028,-0.255,-0.02
DVU0676,-0.28,0.034,-0.27,0.036
DVU0677,-0.287,-0.007,-0.295,-0.027
DVU0678,-0.399,-0.041,-0.252,-0.01
DVU0679,-0.236,0.001,-0.241,0.026
DVU0680,-0.228,-0.023,-0.281,0.014
DVU0681,-0.254,-0.041,-0.262,-0.028
DVU0682,-0.249,-0.046,-0.319,-0.008
DVU0683,-0.252,0.031,-0.288,0.016
DVU0684,-0.251,-0.016,-0.266,-0.042
DVU0685,-0.304,0.03,-0.269,-0.009
DVU0686,-0.363,0.056,-0.254,0.039
DVU0687,-0.302,0.008,-0.271,0.024
DVU0688,-0.292,0.011,-0.265,-0.021
DVU0689,-0.331,0.067,-0.205,-0.009
DVU0690,-0.277,0.016,-0.282,0.038
DVU0691,-0.296,-0.023,-0.32,-0.008
DVU0692,-0.287,-0.01,-0.305,0.015
DVU0693,-0.326,0.033,-0.302,0.005
DVU0694,-0.242,-0.008,-0.259,-0.054
DVU4027,-0.304,0.021,-0.257,-0.035
DVU0696,-0.327,0.119,-0.249,-0.045
DVU0697,-0.208,-0.041,-0.293,0.014
DVU0698,-0.28,0.045,-0.324,0.119
DVU0700,-0.247,-0.03,-0.25,-0.029
DVU0701,-0.311,0.021,-0.274,-0.004
DVU0702,-0.348,0.077,-0.332,0.064
DVU0703,-0.258,-0.017,-0.288,0.014
DVU0704,-0.346,0.042,-0.36,-0.019
DVU0705,-0.296,0.048,-0.327,0.007
DVU0706,-0.315,0.035,-0.275,-0.021
DVU0707,-0.216,-0.055,-0.244,-0.048
DVU0708,-0.312,0.016,-0.293,0.011
DVU0709,-0.287,0.023,-0.271,-0.031
DVU0710,-0.271,0.031,-0.283,0.019
DVU0711,-0.276,-0.01,-0.298,0.009
DVU0712,-0.262,-0.051,-0.27,-0.064
DVU0713,-0.305,0.004,-0.297,0
DVU0714,-0.309,-0.03,-0.298,-0.008
DVU0715,-0.261,-0.011,-0.268,-0.007
DVU0716,-0.321,-0.019,-0.271,-0.034
DVU0717,-0.209,-0.047,-0.26,-0.012
DVU0718,-0.233,-0.036,-0.207,-0.009
DVU0719,-0.284,0.039,-0.313,0.031
DVU0720,-0.247,0.002,-0.284,-0.009
DVU0721,-0.303,0.012,-0.272,0.021
DVU0722,-0.295,0.03,-0.289,0
DVU0723,-0.279,-0.015,-0.282,0.014
DVU0724,-0.288,-0.042,-0.327,0.012
DVU0725,-0.279,0.007,-0.279,0.023
DVU0726,-0.293,0.021,-0.324,-0.019
DVU0727,-0.311,0.082,-0.349,0.063
DVU0728,-0.318,-0.006,-0.481,0.148
DVU0729,-0.307,-0.001,-0.229,0.029
DVU0730,-0.343,0.035,-0.33,0.015
DVU0731,-0.254,0.003,-0.274,0.001
DVU0732,-0.281,-0.018,-0.295,-0.004
DVU0733,-0.313,0.056,-0.271,0.079
DVU0734,-0.261,-0.012,-0.262,-0.029
DVU0735,-0.336,0.038,-0.303,0.042
DVU0736,-0.313,0.014,-0.283,0.012
DVU0737,-0.262,-0.014,-0.279,0.02
DVU0738,-0.278,0.012,-0.308,0.044
DVU0739,-0.262,0.024,-0.228,-0.006
DVU0740,-0.273,-0.036,-0.289,-0.012
DVU0741,-0.229,-0.059,-0.276,0.003
DVU0742,-0.328,0.076,-0.258,0.028
DVU0743,-0.291,0.035,-0.266,0.033
DVU0744,-0.303,0.017,-0.253,0.015
DVU0745,-0.274,-0.074,-0.268,-0.05
DVU0746,-0.285,0.02,-0.285,0.047
DVU0747,-0.295,0.026,-0.291,0.013
DVU0748,-0.35,0.038,-0.322,0.004
DVU0749,-0.267,0.015,-0.249,0.019
DVU0750,-0.251,-0.039,-0.279,-0.008
DVU0751,-0.247,-0.028,-0.326,-0.012
DVU0752,-0.25,0.014,-0.238,0.004
DVU0753,-0.267,0.017,-0.316,-0.015
DVU0754,-0.281,0.027,-0.321,0.107
DVU0755,-0.267,0.017,-0.329,0.041
DVU0756,-0.295,0.024,-0.247,0.032
DVU0757,-0.329,0.032,-0.21,-0.027
DVU0758,-0.296,0.045,-0.264,0.021
DVU0759,-0.306,0.043,-0.293,0.031
DVU0760,-0.201,0.01,-0.251,0.038
DVU0761,-0.209,-0.047,-0.348,-0.001
DVU0762,-0.324,0.095,-0.373,0.167
DVU0763,-0.336,0.058,-0.282,0.057
DVU0764,-0.162,-0.087,-0.213,-0.08
DVU0765,-0.285,-0.019,-0.318,0.008
DVU0766,-0.39,0.062,-0.331,0.015
DVU0767,-0.279,0.041,-0.288,0.015
DVU0768,-0.263,-0.023,-0.32,0.002
DVU0769,-0.27,-0.001,-0.328,0.006
DVU0770,-0.326,0.038,-0.37,0.036
DVU0771,-0.267,-0.011,-0.243,0.03
DVU0772,-0.359,0.059,-0.218,0.002
DVU0773,-0.311,0.094,-0.25,0.115
DVU0774,-0.271,0.003,-0.234,-0.01
DVU0775,-0.236,-0.069,-0.297,-0.02
DVU0776,-0.265,-0.036,-0.248,-0.037
DVU0777,-0.245,-0.068,-0.294,-0.053
DVU0778,-0.203,-0.073,-0.154,-0.078
DVU0779,-0.202,-0.124,-0.252,-0.09
DVU0780,-0.221,-0.063,-0.223,-0.063
DVU0781,-0.24,0.084,-0.34,0.005
DVU0782,-0.189,-0.039,-0.27,-0.011
DVU0783,-0.352,0.096,-0.255,0.024
DVU0784,-0.322,-0.072,-0.357,-0.057
DVU0785,-0.21,-0.04,-0.252,-0.024
DVU0786,-0.255,-0.016,-0.225,-0.027
DVU0787,-0.234,-0.039,-0.272,0.025
DVU0788,-0.248,-0.004,-0.292,0.041
DVU0789,-0.235,-0.013,-0.317,-0.014
DVU0790,-0.369,0.076,-0.292,0.032
DVU0791,-0.328,0.045,-0.225,-0.031
DVU0792,-0.302,0.035,-0.213,0.022
DVU0793,-0.425,0.061,-0.376,0.058
DVU0794,-0.241,-0.07,-0.275,-0.053
DVU0795,-0.227,-0.06,-0.267,0.018
DVU0796,-0.235,-0.066,-0.317,-0.039
DVU0797,-0.292,-0.037,-0.236,-0.102
DVU0798,-0.386,0.046,-0.415,0.044
DVU0799,-0.311,-0.046,-0.259,-0.082
DVU0800,-0.244,0.079,-0.276,0.113
DVU0801,-0.287,0.015,-0.288,0.016
DVU0802,-0.251,0.11,-0.268,0.033
DVU0803,-0.328,0.028,-0.256,0.009
DVU0804,-0.292,-0.014,-0.265,0.02
DVU0805,-0.339,0.115,-0.256,0.065
DVU0806,-0.288,-0.004,-0.297,0.05
DVU0807,-0.273,-0.012,-0.304,0.025
DVU0808,-0.27,-0.005,-0.325,0.018
DVU0809,-0.336,0.009,-0.318,0.008
DVU0810,-0.249,0.024,-0.289,0.037
DVU0811,-0.213,-0.067,-0.249,-0.067
DVU0812,-0.263,-0.026,-0.252,-0.047
DVU0813,-0.292,0.013,-0.309,0.048
DVU0814,-0.262,0.015,-0.246,0.005
DVU0815,-0.22,0.007,-0.243,-0.026
DVU0816,-0.34,0.054,-0.266,0.008
DVU0817,-0.307,0.02,-0.346,0.046
DVU0818,-0.34,0.04,-0.284,0.025
DVU0819,-0.274,-0.042,-0.27,-0.037
DVU0820,-0.189,-0.096,-0.236,-0.008
DVU0821,-0.302,0.037,-0.359,0.111
DVU0822,-0.312,-0.031,-0.342,0.007
DVU0823,-0.265,-0.024,-0.3,-0.029
DVU0824,-0.392,0.172,-0.34,0.059
DVU0825,-0.25,-0.015,-0.287,0.003
DVU0826,-0.281,0.006,-0.315,0.007
DVU0827,-0.308,0.035,-0.287,0.032
DVU0828,-0.293,0.016,-0.266,0.025
DVU0829,-0.237,0.014,-0.32,0.033
DVU0830,-0.313,0.031,-0.338,0.068
DVU0831,-0.268,0.014,-0.286,0.03
DVU0832,-0.272,0.013,-0.295,0.036
DVU0833,-0.275,-0.077,-0.288,-0.035
DVU0834,-0.298,0.027,-0.356,0.079
DVU0835,-0.184,-0.004,-0.307,0.044
DVU0836,-0.26,0.031,-0.26,0.022
DVU0837,-0.202,-0.021,-0.237,0.004
DVU0838,-0.204,-0.04,-0.201,0.044
DVU0839,-0.255,-0.082,-0.25,-0.055
DVU0840,-0.257,-0.021,-0.236,-0.018
DVU0841,-0.268,-0.008,-0.273,-0.013
DVU0842,-0.167,0.01,-0.232,0.053
DVU0843,-0.216,-0.029,-0.224,-0.049
DVU0845,-0.264,-0.003,-0.243,-0.045
DVU0846,-0.188,-0.024,-0.212,-0.103
DVU0847,-0.274,-0.001,-0.266,-0.024
DVU0848,-0.216,-0.019,-0.257,-0.001
DVU0849,-0.268,-0.025,-0.261,-0.052
DVU0850,-0.224,-0.082,-0.281,-0.067
DVU0851,-0.233,-0.048,-0.219,-0.046
DVU0852,-0.309,-0.023,-0.287,0.028
DVU0853,-0.307,0.024,-0.297,0.027
DVU0854,-0.279,0.012,-0.292,0.045
DVU0855,-0.301,0.066,-0.33,0.055
DVU0856,-0.258,0.002,-0.294,0.031
DVU0857,-0.229,-0.004,-0.264,0.005
DVU0858,-0.262,0.028,-0.316,0.06
DVU0859,-0.273,0.011,-0.316,-0.013
DVU4019,-0.279,0.03,-0.307,0.027
DVU0861,-0.306,0.053,-0.331,0.043
DVU0862,-0.277,0.008,-0.293,-0.017
DVU0863,-0.27,-0.053,-0.279,-0.036
DVU0864,-0.25,-0.01,-0.267,-0.006
DVU0865,-0.244,-0.017,-0.264,-0.028
DVU0866,-0.293,0.005,-0.304,0.03
DVU0867,-0.226,-0.006,-0.287,0.008
DVU0868,-0.295,-0.003,-0.265,-0.015
DVU0869,-0.273,0.028,-0.319,0.047
DVU0870,-0.193,-0.022,-0.218,0.005
DVU0871,-0.255,0.006,-0.299,0.089
DVU0872,-0.241,-0.016,-0.221,0.01
DVU0873,-0.184,-0.081,-0.202,-0.029
DVU0874,-0.179,-0.116,-0.287,-0.066
DVU0875,-0.279,-0.041,-0.257,-0.063
DVU0876,-0.268,0.025,-0.301,0.022
DVU0877,-0.369,0.012,-0.525,0.099
DVU0878,-0.349,0.036,-0.31,0.02
DVU0879,-0.1,-0.008,-0.26,0.131
DVU0880,-0.368,0.085,-0.298,0.014
DVU0881,-0.251,-0.012,-0.242,-0.03
DVU0882,-0.325,0.021,-0.251,0.042
DVU0883,-0.255,0.046,-0.237,0.081
DVU0884,-0.338,0.059,-0.363,0.123
DVU0885,-0.254,-0.007,-0.246,0.014
DVU0886,-0.337,0.051,-0.323,0.014
DVU0887,-0.286,0.005,-0.249,0.029
DVU0888,-0.288,0.027,-0.259,0.005
DVU0889,-0.293,0.006,-0.295,0.03
DVU0890,-0.277,0.019,-0.302,0.008
DVU0891,-0.241,0.046,-0.294,0.007
DVU0892,-0.373,0.004,-0.259,0.026
DVU0893,-0.262,0.023,-0.29,0.043
DVU0894,-0.289,0.025,-0.277,-0.028
DVU0895,-0.27,-0.003,-0.28,0.005
DVU0896,-0.324,0.073,-0.339,0.066
DVU0897,-0.32,0.035,-0.273,0.03
DVU0898,-0.26,0.005,-0.189,-0.002
DVU0899,-0.217,0.049,-0.285,0.019
DVU0900,-0.295,0.039,-0.235,0.012
DVU0901,-0.318,0.011,-0.274,0.009
DVU0902,-0.258,-0.013,-0.213,-0.048
DVU0903,-0.318,-0.014,-0.279,-0.024
DVU0904,-0.281,-0.002,-0.269,0.015
DVU0905,-0.303,0.058,-0.344,0.074
DVU0906,-0.227,-0.017,-0.239,0.001
DVU0907,-0.219,0.036,-0.175,-0.064
DVU0908,-0.243,-0.01,-0.268,0.014
DVU0909,-0.308,0.027,-0.343,0.066
DVU0910,-0.256,-0.042,-0.243,-0.035
DVU0911,-0.293,0.034,-0.294,0.039
DVU0912,-0.215,0.003,-0.246,0
DVU0913,-0.232,0.035,-0.23,0.064
DVU0914,-0.314,-0.002,-0.314,0.032
DVU0915,-0.345,0.047,-0.389,0.097
DVU0916,-0.282,0.012,-0.305,0.077
DVU0917,-0.193,-0.095,-0.173,-0.067
DVU0918,-0.273,0.004,-0.268,-0.061
DVU0919,-0.345,0.098,-0.285,0.064
DVU0920,-0.295,-0.04,-0.236,-0.014
DVU0921,-0.296,0.016,-0.259,0.02
DVU0922,-0.283,-0.002,-0.32,0.045
DVU0923,-0.307,-0.043,-0.26,-0.028
DVU0924,-0.304,0.049,-0.304,0.052
DVU0925,-0.302,0.035,-0.307,0.008
DVU0926,-0.264,0.075,-0.303,-0.012
DVU0927,-0.195,-0.113,-0.217,-0.082
DVU0928,-0.31,0,-0.311,-0.054
DVU0929,-0.258,0.031,-0.254,-0.025
DVU0930,-0.321,-0.001,-0.267,-0.024
DVU0931,-0.297,-0.008,-0.298,-0.02
DVU0932,-0.321,0.01,-0.267,-0.015
DVU0933,-0.296,0.038,-0.271,0.03
DVU0934,-0.298,0.067,-0.209,0.024
DVU0935,-0.248,-0.057,-0.243,-0.042
DVU0936,-0.224,-0.002,-0.228,-0.024
DVU0937,-0.303,-0.04,-0.238,-0.055
DVU0938,-0.356,0.062,-0.27,0.013
DVU0939,-0.255,0.041,-0.247,0.044
DVU0940,-0.279,-0.03,-0.273,-0.029
DVU0941,-0.289,0.03,-0.257,-0.016
DVU0942,-0.284,-0.049,-0.307,0.035
DVU0943,-0.236,-0.042,-0.283,0.001
DVU0944,-0.405,0.018,-0.294,0.015
DVU0945,-0.268,0.025,-0.258,0.022
DVU0946,-0.265,-0.002,-0.263,0.015
DVU0947,-0.233,-0.074,-0.325,-0.005
DVU0948,-0.26,-0.069,-0.273,-0.109
DVU0949,-0.272,-0.009,-0.303,0.009
DVU0950,-0.455,0.069,-0.279,0.203
DVU0951,-0.295,0.017,-0.266,-0.004
DVU0952,-0.348,0.04,-0.264,-0.005
DVU0953,-0.257,-0.017,-0.24,-0.026
DVU0954,-0.322,-0.014,-0.332,0.008
DVU0955,-0.346,0.057,-0.349,0.059
DVU0956,-0.255,-0.011,-0.29,-0.019
DVU0957,-0.201,-0.024,-0.294,0.01
DVU0958,-0.257,-0.036,-0.243,-0.059
DVU0959,-0.245,-0.048,-0.257,-0.033
DVU0960,-0.321,0.011,-0.237,0.032
DVU0961,-0.246,0,-0.236,-0.012
DVU0962,-0.375,0.074,-0.456,0.093
DVU0963,-0.173,-0.049,-0.297,-0.016
DVU0964,-0.291,0.02,-0.253,-0.011
DVU0965,-0.119,-0.098,-0.216,-0.012
DVU0966,-0.245,-0.053,-0.219,-0.074
DVU0967,-0.289,0.006,-0.299,-0.01
DVU0968,-0.244,0.002,-0.252,-0.007
DVU0969,-0.314,0.016,-0.251,-0.006
DVU0970,-0.365,0.051,-0.213,-0.007
DVU0971,-0.278,-0.01,-0.294,0.032
DVU0972,-0.284,0.008,-0.261,0.007
DVU0973,-0.297,-0.002,-0.326,-0.004
DVU0974,-0.309,0.023,-0.267,-0.025
DVU0975,-0.293,0.061,-0.264,-0.03
DVU0976,-0.274,0.024,-0.303,0.024
DVU0977,-0.364,0.105,-0.263,0.04
DVU0978,-0.316,0.018,-0.246,-0.031
DVU0979,-0.343,0.045,-0.299,0.026
DVU0980,-0.304,0.028,-0.246,0.044
DVU0981,-0.295,0.014,-0.245,-0.019
DVU0982,-0.284,-0.016,-0.362,0.044
DVU0983,-0.295,0.027,-0.25,0.049
DVU0984,-0.262,0.017,-0.248,0.003
DVU0985,-0.348,0.016,-0.34,0.093
DVU0986,-0.329,-0.043,-0.338,-0.05
DVU0987,-0.314,0.122,-0.356,0.164
DVU0988,-0.257,-0.019,-0.306,0.015
DVU0989,-0.299,0.019,-0.322,0.055
DVU0990,-0.306,0.076,-0.264,0.006
DVU0991,-0.371,0.039,-0.303,0.014
DVU0992,-0.291,-0.028,-0.324,0.002
DVU0993,-0.369,0.041,-0.296,-0.035
DVU0994,-0.232,-0.098,-0.211,-0.081
DVU0995,-0.323,0.033,-0.292,-0.021
DVU0996,-0.278,0.04,-0.297,0.026
DVU0997,-0.281,0.052,-0.267,0.074
DVU0998,-0.322,0.049,-0.268,-0.019
DVU0999,-0.283,-0.024,-0.258,-0.04
DVU1000,-0.287,0.031,-0.262,0.03
DVU1001,-0.282,-0.009,-0.339,0.023
DVU1002,-0.284,0.04,-0.288,0.022
DVU1003,-0.263,0.017,-0.25,-0.024
DVU1004,-0.295,-0.019,-0.299,-0.032
DVU1005,-0.345,0.042,-0.313,0.048
DVU1006,-0.367,-0.018,-0.325,0.007
DVU1007,-0.357,0.047,-0.252,0.021
DVU1008,-0.324,0.043,-0.303,0.055
DVU1009,-0.248,-0.012,-0.363,0.025
DVU1010,-0.388,0.072,-0.312,0.037
DVU1011,-0.195,-0.162,-0.191,-0.079
DVU1012,-0.311,-0.065,-0.299,-0.084
DVU1013,-0.254,0.015,-0.273,0.019
DVU1014,-0.329,0.074,-0.451,0.114
DVU1015,-0.373,0.075,-0.382,0.008
DVU1016,-0.229,0.04,-0.212,-0.098
DVU1017,-0.313,-0.015,-0.281,0.004
DVU1018,-0.236,-0.036,-0.254,0
DVU1019,-0.291,-0.009,-0.238,-0.002
DVU1020,-0.26,-0.013,-0.259,-0.014
DVU1021,-0.239,-0.049,-0.328,0.009
DVU1022,-0.263,-0.024,-0.287,-0.002
DVU1023,-0.284,0.064,-0.284,0.025
DVU1024,-0.276,0.035,-0.272,0.029
DVU1025,-0.281,-0.058,-0.259,-0.02
DVU1026,-0.25,-0.033,-0.343,0.012
DVU1027,-0.285,0.014,-0.235,-0.027
DVU1028,-0.322,0.043,-0.289,0.005
DVU1029,-0.25,-0.014,-0.271,0.008
DVU1030,-0.236,0.01,-0.267,0.072
DVU1031,-0.455,0.191,-0.392,0.134
DVU1032,-0.266,-0.038,-0.184,-0.057
DVU1033,-0.348,0.001,-0.322,0.022
DVU1034,-0.35,-0.017,-0.267,0.006
DVU1035,-0.297,-0.014,-0.293,-0.008
DVU1036,-0.319,0.009,-0.282,0.042
DVU1037,-0.314,0.017,-0.265,0.002
DVU1038,-0.261,-0.019,-0.295,0.005
DVU1039,-0.231,-0.012,-0.314,0.029
DVU1040,-0.232,-0.057,-0.28,-0.005
DVU1041,-0.244,0.02,-0.263,0.021
DVU1042,-0.144,-0.069,-0.271,-0.041
DVU1043,-0.245,-0.022,-0.282,0.01
DVU1044,-0.245,-0.059,-0.297,-0.021
DVU1045,-0.19,-0.03,-0.259,-0.051
DVU1046,-0.349,0.065,-0.296,0.078
DVU1047,-0.318,0.04,-0.348,0.089
DVU1048,-0.268,-0.021,-0.287,-0.006
DVU1049,-0.288,-0.011,-0.235,-0.017
DVU1050,-0.263,0.013,-0.295,0.008
DVU1051,-0.224,-0.019,-0.244,-0.009
DVU1052,-0.273,0.008,-0.34,0.057
DVU1054,-0.313,0.01,-0.259,-0.002
DVU1055,-0.333,0.013,-0.274,-0.005
DVU1056,-0.295,0.009,-0.326,0.014
DVU1057,-0.264,-0.002,-0.295,0.039
DVU1058,-0.195,-0.058,-0.244,-0.039
DVU1059,-0.304,0.04,-0.316,0.047
DVU1060,-0.317,0.051,-0.351,0.058
DVU1061,-0.278,0.017,-0.312,0.023
DVU1062,-0.318,-0.004,-0.253,-0.017
DVU1063,-0.232,-0.01,-0.244,0.019
DVU1064,-0.257,-0.025,-0.271,-0.004
DVU1065,-0.25,0.008,-0.247,-0.005
DVU1066,-0.223,-0.109,-0.32,-0.04
DVU1067,-0.25,-0.024,-0.318,0
DVU1068,-0.26,0.006,-0.254,0.026
DVU1069,-0.303,-0.015,-0.282,-0.032
DVU1070,-0.265,-0.004,-0.269,-0.011
DVU1071,-0.23,0.045,-0.251,0.029
DVU1072,-0.23,-0.04,-0.302,-0.015
DVU1073,-0.276,0.017,-0.276,0.036
DVU1074,-0.153,0.026,-0.269,0.031
DVU1075,-0.277,-0.041,-0.276,0.028
DVU1076,-0.326,0.016,-0.394,0.019
DVU1077,-0.241,-0.008,-0.264,-0.03
DVU1078,-0.214,-0.005,-0.247,-0.015
DVU1079,-0.253,-0.007,-0.26,0.054
DVU1080,-0.331,0.027,-0.297,0.007
DVU1081,-0.337,0.002,-0.327,0.014
DVU1082,-0.292,0.076,-0.269,-0.005
DVU1083,-0.301,0.037,-0.285,0.038
DVU1084,-0.267,-0.007,-0.259,0.02
DVU1085,-0.28,-0.048,-0.274,-0.005
DVU1086,-0.267,0.033,-0.26,-0.003
DVU1087,-0.266,0.033,-0.258,-0.017
DVU1088,-0.337,-0.029,-0.25,-0.113
DVU1089,-0.237,-0.043,-0.279,-0.011
DVU1090,-0.202,-0.039,-0.262,0.008
DVU1091,-0.282,-0.011,-0.257,-0.007
DVU1092,-0.288,-0.004,-0.294,-0.015
DVU1093,-0.306,0.086,-0.276,0.012
DVU1094,-0.252,0.008,-0.301,0.063
DVU1095,-0.243,0.006,-0.288,0.03
DVU1096,-0.244,0.047,-0.296,0.049
DVU1097,-0.366,0.059,-0.33,0.011
DVU1098,-0.273,-0.019,-0.307,-0.005
DVU1099,-0.33,-0.029,-0.328,-0.035
DVU1100,-0.338,0.029,-0.314,-0.004
DVU1101,-0.327,0.038,-0.282,0.039
DVU1102,-0.295,0.03,-0.321,0.039
DVU1103,-0.276,0.044,-0.221,-0.008
DVU1104,-0.369,0.024,-0.31,-0.08
DVU1105,-0.33,0.053,-0.304,0.053
DVU1106,-0.25,-0.012,-0.206,-0.025
DVU1107,-0.286,0.004,-0.246,-0.022
DVU1108,-0.22,-0.041,-0.396,0.032
DVU1109,-0.336,0.045,-0.287,0.038
DVU1110,-0.298,-0.025,-0.291,-0.004
DVU1111,-0.324,0.022,-0.317,0.026
DVU1112,-0.298,0.004,-0.28,0.003
DVU1113,-0.317,-0.002,-0.345,0.017
DVU1114,-0.319,0.041,-0.28,0.042
DVU1115,-0.274,-0.108,-0.349,-0.037
DVU1116,-0.303,-0.003,-0.315,-0.008
DVU1117,-0.271,0.042,-0.31,0.065
DVU1118,-0.213,0.027,-0.27,0.015
DVU1119,-0.264,0,-0.254,0.023
DVU1120,-0.274,0.002,-0.242,-0.011
DVU1121,-0.223,-0.019,-0.228,-0.009
DVU1122,-0.337,0.055,-0.242,-0.004
DVU1123,-0.302,0.006,-0.229,-0.024
DVU1124,-0.217,-0.118,-0.214,-0.034
DVU1125,-0.309,0.001,-0.281,0.013
DVU1126,-0.337,0.007,-0.28,0.019
DVU1127,-0.259,-0.014,-0.301,0.028
DVU1128,-0.303,0.005,-0.308,0.024
DVU1129,-0.29,0.013,-0.262,0.023
DVU1130,-0.347,0.008,-0.276,-0.023
