kmer_3_AAA,kmer_3_AAC,kmer_3_AAG,kmer_3_AAT,kmer_3_ACA,kmer_3_ACC,kmer_3_ACG,kmer_3_ACT,kmer_3_AGA,kmer_3_AGC,kmer_3_AGG,kmer_3_AGT,kmer_3_ATA,kmer_3_ATC,kmer_3_ATG,kmer_3_ATT,kmer_3_CAA,kmer_3_CAC,kmer_3_CAG,kmer_3_CAT,kmer_3_CCA,kmer_3_CCC,kmer_3_CCG,kmer_3_CCT,kmer_3_CGA,kmer_3_CGC,kmer_3_CGG,kmer_3_CGT,kmer_3_CTA,kmer_3_CTC,kmer_3_CTG,kmer_3_CTT,kmer_3_GAA,kmer_3_GAC,kmer_3_GAG,kmer_3_GAT,kmer_3_GCA,kmer_3_GCC,kmer_3_GCG,kmer_3_GCT,kmer_3_GGA,kmer_3_GGC,kmer_3_GGG,kmer_3_GGT,kmer_3_GTA,kmer_3_GTC,kmer_3_GTG,kmer_3_GTT,kmer_3_TAA,kmer_3_TAC,kmer_3_TAG,kmer_3_TAT,kmer_3_TCA,kmer_3_TCC,kmer_3_TCG,kmer_3_TCT,kmer_3_TGA,kmer_3_TGC,kmer_3_TGG,kmer_3_TGT,kmer_3_TTA,kmer_3_TTC,kmer_3_TTG,kmer_3_TTT
DVU0563,13,12,16,10,11,12,13,8,13,14,9,14,6,7,13,16,14,8,12,14,11,9,14,10,16,16,23,6,7,8,22,11,20,14,18,10,13,15,23,18,16,25,9,16,8,10,10,16,5,10,4,8,13,8,11,12,17,14,25,8,6,19,19,15
DVU0564,4,7,10,3,7,8,7,1,6,8,10,7,1,3,5,5,9,5,10,5,8,7,13,4,9,8,6,8,2,2,4,3,9,9,7,3,11,11,9,4,7,11,12,7,6,3,9,8,2,2,5,2,3,6,2,2,6,8,9,4,2,5,9,6
DVU0565,2,14,21,6,16,23,30,15,12,10,25,6,4,21,13,5,21,27,18,28,29,20,20,18,32,41,20,17,6,17,12,12,20,35,11,3,24,32,31,8,16,27,15,18,5,19,17,7,0,8,4,5,25,12,29,6,9,17,16,7,2,15,7,4
DVU0566,3,7,18,3,8,11,13,6,7,9,12,4,1,11,8,3,16,11,8,14,11,6,16,7,16,18,16,8,4,9,10,7,12,11,6,4,23,13,15,10,5,23,9,8,4,7,8,3,0,9,0,1,7,10,14,7,6,11,8,2,1,11,1,6
DVU0567,3,10,13,1,10,26,16,10,8,9,12,6,3,24,21,4,16,23,11,36,22,21,25,22,19,42,25,21,7,26,26,20,8,20,10,11,22,22,32,29,12,31,26,18,4,22,22,15,0,9,2,3,32,21,34,18,10,23,24,18,0,33,6,3
DVU0568,3,14,14,2,12,26,23,8,5,17,13,3,7,13,22,1,13,24,12,27,22,25,32,28,34,56,24,17,6,18,25,15,17,19,9,8,33,45,51,19,6,43,18,10,7,15,13,2,0,12,3,5,9,11,25,9,9,32,22,7,0,8,10,1
DVU0569,12,21,25,11,13,21,34,16,20,19,26,10,9,30,28,7,19,27,20,38,22,26,36,25,45,60,54,32,5,21,30,17,36,25,29,18,43,49,69,18,31,51,44,28,6,27,30,18,2,11,1,6,26,13,52,14,13,49,30,11,0,27,15,8
DVU0570,2,2,0,4,3,3,2,1,2,0,1,2,3,2,5,3,4,2,2,3,3,0,2,1,0,5,4,3,1,2,0,5,0,3,1,2,4,2,3,1,1,3,1,4,2,4,3,7,3,2,2,3,1,1,5,5,3,2,3,7,4,4,7,10
DVU0571,4,7,18,4,11,24,20,10,13,8,19,5,1,15,23,5,16,25,10,24,25,23,35,15,23,27,40,36,7,18,18,9,13,24,17,8,23,40,38,17,13,51,33,23,7,27,33,9,0,9,1,7,16,11,33,10,13,32,28,12,2,10,11,2
DVU0572,0,3,1,0,5,6,6,4,3,7,7,3,1,3,6,1,0,3,10,6,1,4,11,6,4,8,12,10,4,7,6,5,4,7,8,1,8,8,10,6,8,10,16,8,6,5,10,3,0,8,1,3,5,4,7,6,6,7,7,3,1,7,1,0
DVU0573,1,7,8,2,6,8,8,1,3,3,9,4,2,8,3,2,10,5,5,7,6,10,13,7,14,10,9,16,1,8,5,10,7,8,5,4,8,11,12,4,4,12,5,9,2,16,12,4,0,3,1,2,7,7,16,12,4,10,7,4,1,10,5,1
DVU4025,5,8,17,1,6,9,12,6,8,10,22,3,4,6,19,1,11,5,13,12,7,13,21,11,16,19,26,11,2,6,11,7,15,16,11,14,21,27,21,5,21,23,25,15,3,12,14,6,0,4,3,3,7,3,18,4,11,22,11,5,1,8,5,0
DVU0575,6,7,1,2,5,7,10,2,3,1,3,1,1,5,8,1,3,4,2,8,4,6,9,5,11,12,6,5,2,2,5,3,7,10,4,4,4,11,8,3,6,3,3,4,1,2,7,3,0,3,2,0,4,0,7,2,5,10,4,3,1,4,2,3
DVU0576,4,8,8,3,4,10,13,5,6,8,10,4,1,5,7,2,8,8,12,7,7,8,11,4,9,12,11,8,3,6,7,5,11,8,7,3,15,7,7,7,9,10,9,8,6,8,6,6,0,8,1,1,9,5,9,5,6,6,6,6,0,9,4,4
DVU0577,2,5,14,3,8,11,13,8,5,16,20,6,3,8,21,5,8,11,19,18,12,18,22,17,25,33,16,17,5,20,24,13,14,17,14,11,27,28,31,24,9,34,18,7,4,15,21,6,0,7,1,4,9,12,25,13,17,27,14,16,0,16,8,5
DVU0578,1,5,8,0,10,13,15,4,7,7,18,5,1,5,13,1,5,13,17,12,7,14,32,6,21,34,28,17,0,18,14,4,8,22,11,6,24,22,35,15,12,36,32,22,2,12,32,10,0,2,1,1,6,10,18,11,8,19,24,12,1,10,4,4
DVU0579,0,7,4,2,5,13,23,1,7,4,14,2,5,10,11,0,6,10,8,11,8,10,17,15,16,13,26,20,2,7,19,10,7,18,15,7,11,19,21,12,16,25,30,13,5,14,17,6,0,7,0,6,11,8,14,10,9,21,14,6,1,12,3,3
DVU0580,3,17,10,3,10,20,20,9,7,4,15,3,2,14,19,3,13,13,10,21,14,19,27,16,27,39,33,25,6,12,31,14,16,22,9,9,16,27,51,22,13,41,28,21,4,23,27,13,1,7,1,4,17,10,26,16,9,32,27,18,1,20,9,5
DVU0581,1,9,11,1,7,18,22,7,8,5,13,1,1,14,14,2,11,21,7,20,11,16,21,14,24,19,22,11,0,13,11,10,10,21,9,9,17,19,18,11,12,21,14,18,3,10,19,4,0,3,1,0,24,9,15,2,5,20,16,6,0,13,3,3
DVU0582,3,35,26,3,37,54,51,17,21,25,30,14,9,42,23,5,33,62,37,51,48,50,55,40,61,78,51,30,12,40,42,25,31,43,23,21,53,53,69,39,24,67,34,28,6,31,28,19,1,19,4,3,45,36,45,23,12,44,38,12,0,36,13,7
DVU0583,1,17,8,1,17,27,39,12,9,11,24,4,1,19,11,3,11,37,21,24,26,55,38,28,30,61,38,26,15,30,23,15,15,26,18,4,28,50,40,26,14,45,36,18,5,22,19,13,0,15,1,5,22,15,38,17,11,27,15,11,0,21,11,0
DVU0584,1,10,9,4,15,17,23,8,4,7,18,6,4,12,9,3,14,19,13,13,11,25,23,18,17,30,39,23,6,19,23,14,8,17,13,5,17,20,42,22,14,41,29,16,11,12,16,15,1,17,0,6,16,15,21,14,9,23,14,8,3,23,6,6
DVU0585,6,27,25,7,28,52,56,20,24,25,35,6,6,35,26,10,25,43,32,49,30,64,91,48,79,98,84,47,9,51,45,31,34,67,31,16,57,90,93,40,34,96,66,46,9,29,65,13,0,19,2,4,34,27,68,28,12,61,57,17,1,42,11,9
DVU0586,0,0,3,0,4,2,5,1,3,3,4,0,3,1,7,0,3,5,4,6,1,12,8,4,2,9,8,4,1,7,5,2,0,6,2,2,6,9,4,8,5,7,8,2,0,5,0,3,0,1,1,2,7,2,6,2,1,8,2,2,0,4,1,0
DVU0588,1,11,18,1,9,20,12,7,17,9,11,5,2,6,14,1,11,11,11,10,11,20,20,17,18,16,20,14,4,10,18,7,19,22,11,8,15,20,22,8,13,16,12,12,3,9,24,9,0,4,2,3,8,8,14,7,13,24,10,14,0,12,5,0
DVU0589,1,4,13,3,7,8,17,5,8,11,16,1,3,14,10,4,12,11,7,15,11,11,19,16,19,28,25,11,0,14,20,9,7,19,16,11,15,31,26,13,21,26,27,15,1,12,18,3,1,3,0,1,12,7,21,9,6,20,21,7,1,9,6,1
DVU0590,1,5,4,3,3,9,8,4,2,4,5,4,3,9,6,7,6,7,5,12,6,7,9,6,7,14,9,6,1,5,8,7,4,9,5,6,15,7,10,5,7,7,12,8,4,6,10,3,2,3,1,4,6,5,9,6,9,12,8,4,2,6,9,7
DVU0591,5,30,31,7,21,28,44,10,37,29,40,17,5,29,37,4,28,24,51,40,35,21,61,27,48,67,65,40,5,25,36,21,38,41,39,21,60,74,59,39,28,78,44,36,8,35,43,22,2,8,2,6,27,21,56,11,27,58,37,15,0,26,21,7
DVU0592,0,6,2,1,3,12,13,5,6,3,11,5,3,13,7,2,4,14,7,15,5,4,22,6,18,17,20,12,0,9,4,8,5,10,15,6,17,14,16,4,6,17,14,14,3,12,13,4,0,3,1,2,15,7,16,6,7,14,6,1,0,10,4,1
DVU0593,0,7,1,0,7,11,9,4,2,6,6,3,4,13,11,2,6,13,8,24,14,7,13,15,8,23,23,15,2,17,17,8,2,5,7,1,18,23,24,10,2,30,22,12,5,14,8,8,0,6,2,4,12,8,23,15,3,16,15,5,1,14,3,2
DVU0594,1,2,8,4,8,18,18,7,6,11,21,3,2,9,10,3,5,19,11,9,12,13,26,23,24,22,32,25,5,16,28,9,9,21,20,7,16,31,36,19,17,36,22,23,6,14,29,12,0,9,2,3,8,12,23,9,11,33,23,10,1,13,10,6
DVU0595,3,6,3,1,5,4,9,2,4,4,7,3,2,5,6,1,6,3,12,9,4,9,7,12,6,14,5,9,5,3,6,4,2,9,3,1,16,14,6,3,4,7,5,7,0,9,10,5,2,2,1,2,5,5,12,1,1,14,6,5,0,6,4,0
DVU0596,1,9,5,5,6,14,17,4,7,14,15,2,4,13,11,3,5,8,15,15,12,15,28,10,29,33,20,23,2,10,13,13,13,19,16,7,14,31,31,11,10,24,13,12,3,22,16,7,1,5,2,3,11,5,29,13,10,16,11,11,2,13,8,2
DVU0597,3,23,11,3,20,30,39,15,18,18,25,7,6,30,22,7,21,32,31,42,33,28,49,37,38,71,53,35,7,46,33,21,15,37,25,14,48,64,52,36,21,66,47,27,5,14,43,25,1,12,1,5,25,25,57,19,15,45,36,18,1,36,16,9
DVU0598,1,15,11,3,14,17,27,17,7,10,11,5,1,42,26,4,16,19,14,48,37,30,29,24,20,49,42,45,17,29,42,20,13,23,6,17,21,52,42,35,5,53,29,25,7,32,36,16,0,18,3,4,25,21,58,32,27,38,30,16,0,33,7,4
DVU0599,1,14,12,3,12,19,26,13,6,14,11,5,2,37,22,3,17,18,12,40,31,35,39,25,19,49,45,45,16,26,42,20,12,22,7,15,19,56,39,38,7,51,27,31,9,29,48,15,0,16,6,5,25,20,54,28,24,38,33,20,0,35,3,9
DVU0600,1,8,8,4,4,7,19,3,11,15,13,6,7,21,28,2,10,9,12,28,9,15,25,14,18,32,38,23,7,14,11,6,9,13,20,13,31,31,37,14,14,40,36,15,6,18,22,10,1,3,6,12,15,10,30,7,12,26,18,12,2,9,7,1
DVU0601,0,0,10,3,6,7,8,1,5,5,9,6,2,6,10,3,3,7,6,12,9,3,6,9,11,12,13,9,2,7,5,7,6,12,9,4,7,14,23,4,6,22,16,5,5,4,11,3,4,3,1,1,6,3,8,7,9,9,11,3,0,7,6,2
DVU0602,1,3,5,1,6,11,6,2,3,3,4,4,1,2,7,0,6,9,5,6,6,11,11,9,8,15,8,10,2,9,5,7,3,7,4,1,8,9,14,7,4,13,12,3,4,9,7,3,0,6,0,1,6,6,10,5,1,7,8,6,0,7,3,1
DVU0603,2,2,1,1,5,5,1,5,3,1,3,1,2,4,7,1,2,7,4,7,3,4,7,8,1,9,3,6,2,7,15,3,2,5,2,2,5,8,5,8,3,5,4,5,1,8,2,4,0,2,1,3,7,5,6,6,5,11,7,3,1,5,2,0
DVU0604,3,4,1,0,8,3,5,2,3,0,1,0,1,2,5,2,2,7,2,8,3,0,2,1,2,3,1,2,0,1,1,3,3,4,1,2,2,3,1,0,2,0,0,1,1,1,3,0,0,3,0,0,6,0,0,2,4,3,1,1,1,4,0,3
DVU0605,3,3,2,5,3,3,1,0,5,1,2,1,5,1,9,1,2,1,2,5,0,0,2,1,0,1,1,2,0,0,1,0,8,2,1,4,3,0,0,0,3,1,0,1,2,1,3,3,0,1,4,2,4,0,1,0,8,0,2,4,0,3,1,2
DVU0606,0,11,13,2,10,13,16,8,15,11,15,8,0,13,17,9,11,9,18,19,12,11,23,15,31,33,28,14,2,19,15,14,15,27,18,11,16,31,35,14,14,26,24,20,5,17,16,13,1,0,0,6,19,6,32,13,11,26,17,9,0,21,15,9
DVU0607,5,20,36,4,20,40,31,15,15,17,32,10,2,27,23,3,34,32,20,36,39,32,42,23,42,42,31,24,10,23,28,17,26,39,18,12,33,51,31,25,23,45,18,28,3,24,33,13,0,15,1,2,30,13,35,15,15,36,33,11,3,19,11,2
DVU0608,12,35,47,7,39,40,44,15,31,34,49,22,11,39,29,9,35,44,48,52,43,27,61,26,53,70,56,35,5,32,20,17,53,44,37,20,59,69,53,18,43,67,26,34,12,35,40,18,2,15,4,8,38,21,56,15,27,28,39,14,1,24,19,6
DVU0609,8,9,5,3,12,10,18,9,7,9,7,3,1,14,11,2,9,19,13,17,10,14,22,11,23,30,14,8,2,19,17,3,8,18,7,5,28,18,17,14,5,17,8,5,4,10,7,2,1,3,1,2,8,15,18,7,3,21,6,7,0,5,2,3
DVU0610,4,19,11,3,14,25,19,6,9,12,14,4,5,6,20,3,15,17,19,15,15,25,29,21,27,36,25,23,4,26,10,13,16,22,8,10,16,35,32,13,11,31,20,13,5,25,14,2,2,6,1,5,21,5,31,13,10,17,16,6,0,13,5,1
DVU0611,2,9,8,3,12,22,18,10,5,8,12,5,2,11,9,4,10,23,15,17,12,29,23,24,24,38,21,14,4,28,13,15,10,23,6,3,24,27,26,15,7,26,17,12,3,14,13,4,0,7,1,2,17,10,30,11,7,20,12,3,1,15,7,3
DVU0612,4,13,9,3,13,19,24,10,14,10,13,6,6,20,18,7,11,28,18,37,24,30,31,23,20,50,35,30,1,30,18,25,12,20,10,6,30,44,36,23,9,45,34,26,9,20,28,14,2,5,6,4,27,15,44,18,6,28,32,9,1,34,11,11
DVU0613,0,1,3,1,3,0,3,0,0,0,4,3,0,0,2,0,1,2,2,1,0,0,2,1,3,1,2,3,0,1,2,1,4,3,2,0,2,3,2,0,1,3,3,2,0,3,4,2,0,0,0,0,1,0,2,3,6,3,0,1,0,2,2,1
DVU0614,3,3,9,1,4,5,12,2,4,1,8,4,0,3,7,1,3,4,3,7,4,2,5,5,13,7,2,9,3,3,4,2,9,10,5,2,5,6,6,4,4,7,2,5,4,6,7,4,1,6,0,0,4,3,8,1,6,6,6,3,0,4,3,0
DVU0615,10,3,3,3,3,0,1,2,4,1,4,2,5,1,2,2,2,1,2,1,0,0,0,1,3,2,3,1,1,2,3,2,5,2,3,2,2,0,4,2,5,1,1,5,2,2,4,4,2,0,3,4,1,1,4,3,1,4,4,4,1,4,4,9
DVU0616,1,4,6,3,4,5,14,6,6,7,4,2,4,4,6,3,3,14,8,4,6,12,9,3,4,7,16,10,0,5,10,6,9,9,2,6,10,8,5,7,8,8,8,10,3,13,7,3,1,2,3,3,9,5,9,5,9,8,6,4,2,6,4,3
DVU0617,0,8,5,0,8,7,4,6,4,1,6,1,1,6,6,3,7,3,4,5,4,0,6,7,6,3,7,8,6,2,5,7,4,9,2,4,5,5,4,3,3,7,4,7,5,6,3,4,2,5,2,6,2,5,10,4,6,6,4,2,3,7,4,0
DVU0618,2,4,0,1,1,0,1,2,5,3,5,1,1,3,2,3,1,0,6,0,1,0,0,1,2,0,2,1,1,0,3,6,4,0,7,5,4,2,2,2,6,3,6,1,1,3,2,2,1,0,1,3,1,0,2,5,3,4,3,4,2,2,7,8
DVU0619,10,19,21,4,25,33,31,13,23,25,24,8,6,29,17,4,18,33,34,34,30,34,46,31,35,56,36,31,8,23,31,15,25,35,23,12,39,49,47,28,17,48,27,10,10,17,26,9,2,15,2,5,25,25,34,5,20,34,15,13,0,20,8,6
DVU0620,0,4,3,3,6,8,5,2,1,3,5,0,0,7,5,5,2,4,5,10,2,15,21,5,9,12,16,11,3,7,6,9,8,8,1,2,9,13,12,7,3,17,4,6,2,7,8,2,0,5,0,1,4,7,10,11,7,9,5,2,1,11,4,2
DVU0621,7,16,18,4,19,20,48,16,13,19,23,10,4,13,19,7,15,34,21,24,15,26,44,25,40,59,48,28,5,27,29,21,23,37,22,11,43,50,56,22,18,52,29,17,10,19,32,6,0,16,4,3,17,14,27,19,23,41,16,12,4,18,12,6
DVU0622,11,34,28,11,39,59,66,23,20,33,39,17,5,29,39,9,25,70,57,47,39,77,91,71,56,101,75,39,13,55,63,27,48,60,21,15,78,105,64,42,43,76,42,28,13,34,41,15,0,23,3,8,43,37,50,22,26,79,33,19,3,34,14,10
DVU0623,2,1,7,2,5,1,3,3,6,0,7,1,1,3,9,5,4,4,4,7,3,2,5,6,2,4,8,7,1,8,7,6,4,3,3,5,5,3,5,7,5,9,3,8,6,8,4,6,3,4,0,3,6,10,8,6,2,7,7,8,2,11,4,17
DVU0624,3,10,12,3,10,12,11,5,6,11,7,3,1,6,11,2,16,14,6,15,17,5,9,5,10,13,9,9,1,4,11,2,9,9,9,1,17,15,11,5,5,14,13,8,4,9,9,5,1,5,0,0,7,4,10,3,7,10,11,7,0,5,4,2
DVU0625,6,20,50,10,23,46,37,21,29,24,34,16,7,21,22,3,38,30,35,21,43,47,44,26,42,49,26,29,14,14,35,15,38,52,18,15,33,49,39,22,28,40,25,19,15,16,34,12,4,25,1,6,25,18,26,9,24,30,27,13,0,27,3,3
DVU0626,0,3,7,4,2,12,14,3,7,3,16,1,3,6,6,2,6,9,9,8,6,3,11,11,16,19,12,9,0,11,6,5,6,17,11,3,16,7,15,3,10,11,9,18,2,11,15,6,2,2,1,1,8,9,16,5,4,8,11,6,1,10,2,2
DVU0627,4,13,11,2,15,13,17,7,8,13,13,5,1,15,23,2,11,12,18,24,13,24,36,12,23,41,36,25,1,19,20,9,15,21,10,12,24,39,49,22,16,48,26,20,4,11,50,3,0,6,0,2,13,9,23,8,12,32,35,18,2,8,4,2
DVU0628,0,9,9,3,8,21,24,2,9,9,21,7,5,14,19,4,8,14,13,24,17,16,31,18,35,49,35,32,4,17,26,10,13,25,22,11,25,34,58,25,14,49,28,27,4,23,39,8,0,7,2,4,9,11,38,12,14,35,34,7,0,16,6,4
DVU0629,2,5,8,4,11,8,16,3,12,9,7,4,8,16,12,8,7,7,16,22,15,4,10,5,18,21,6,8,3,3,9,9,10,17,7,11,16,18,11,8,6,9,5,7,3,6,9,5,0,9,1,6,10,4,16,8,10,14,9,4,2,13,7,2
DVU0630,0,1,1,0,0,2,4,1,2,0,3,2,0,4,6,1,2,1,4,5,6,5,3,5,1,6,3,4,0,2,5,2,0,3,1,5,3,9,3,0,3,3,1,2,3,1,6,4,0,2,1,0,3,3,4,3,4,6,2,6,0,6,1,6
DVU0631,2,10,24,4,20,43,37,12,16,17,23,4,4,20,23,1,15,45,19,31,33,68,74,34,37,90,51,33,5,33,22,13,22,48,16,8,42,76,55,16,24,58,38,23,6,26,27,7,1,9,2,4,15,22,45,11,17,24,31,6,1,14,6,1
DVU0632,0,11,7,1,14,14,28,5,16,9,6,1,1,10,8,2,8,24,15,13,17,25,20,11,20,33,12,9,3,9,11,5,11,22,10,4,15,24,20,6,9,10,6,6,1,13,6,3,0,4,0,2,14,10,6,6,3,13,7,7,1,4,5,0
DVU0633,10,35,40,6,33,52,60,15,29,40,45,10,7,39,33,7,39,40,53,55,49,71,85,45,64,111,56,55,22,49,33,31,42,52,26,17,59,101,78,45,29,90,37,29,13,39,51,9,0,33,5,7,46,26,63,30,16,42,47,18,3,38,6,6
DVU0634,2,8,4,0,5,13,14,7,8,3,6,2,1,8,6,1,5,13,5,12,12,22,24,11,13,27,16,16,0,10,15,9,7,15,8,3,14,22,20,7,10,16,9,7,5,10,8,6,1,3,2,0,4,12,14,9,2,17,11,4,0,11,5,5
DVU0635,1,19,9,2,21,36,30,26,8,7,19,8,0,18,26,2,16,47,20,34,28,30,48,36,24,69,52,30,15,37,55,18,14,30,12,4,40,62,55,39,19,72,43,22,10,23,29,21,1,17,1,6,28,14,42,24,9,48,42,22,0,30,11,4
DVU0636,4,15,11,3,11,23,27,7,9,17,28,9,5,16,27,6,13,12,27,27,7,10,37,20,32,41,47,32,6,17,26,15,14,33,25,14,43,31,56,24,30,56,30,26,8,21,45,16,3,8,0,9,18,10,32,13,15,40,37,23,1,19,17,8
DVU0637,5,24,21,5,16,34,33,10,19,19,19,5,7,40,15,4,27,23,19,43,29,21,38,27,41,49,49,29,6,20,23,20,19,39,21,6,37,38,54,15,14,50,21,25,9,27,23,9,4,7,1,11,30,22,43,17,12,26,21,9,1,25,7,4
DVU0638,0,9,8,3,8,17,15,9,4,12,10,4,1,27,20,4,10,15,14,37,24,23,18,17,12,28,15,14,8,25,23,19,10,16,8,5,21,25,14,19,11,16,16,12,5,11,11,10,0,9,0,6,23,17,22,30,13,23,14,7,1,29,3,5
DVU0639,6,15,11,3,13,17,13,6,8,13,16,6,4,13,11,4,12,20,19,12,13,20,27,14,23,33,17,13,4,16,12,9,17,12,12,11,19,26,23,16,13,23,20,6,1,12,10,5,0,2,2,5,18,11,23,5,8,15,9,3,0,16,2,4
DVU0640,4,14,14,3,5,11,11,7,12,9,13,5,4,19,17,1,11,6,12,30,15,19,16,22,14,17,21,11,1,28,11,12,18,12,12,7,15,24,11,12,15,23,13,13,0,12,11,9,2,2,1,0,24,18,25,11,9,13,17,3,0,19,3,2
DVU0641,9,15,19,8,18,18,27,13,10,13,31,6,8,16,22,4,11,27,19,25,14,17,26,18,25,30,35,22,4,22,23,13,30,23,14,11,32,26,33,20,23,39,30,26,14,18,25,8,1,11,9,5,18,14,26,11,20,29,22,11,0,13,12,5
DVU0642,4,5,7,3,6,8,16,6,7,7,13,1,4,6,22,5,3,11,8,22,12,22,28,13,12,37,23,18,1,11,23,16,12,15,13,8,21,36,28,20,17,28,22,13,3,13,17,7,0,5,1,3,5,9,18,12,12,33,22,8,1,14,13,2
DVU0643,0,7,6,2,10,13,7,3,4,7,10,3,0,4,14,0,5,12,14,8,8,19,23,22,15,19,19,15,1,13,22,16,10,13,3,6,16,28,19,17,11,28,32,10,2,12,17,8,0,1,1,1,5,12,19,10,3,26,20,11,0,17,7,5
DVU0644,2,5,4,0,9,4,6,5,4,1,2,3,9,4,5,6,5,8,3,12,4,3,0,6,2,4,2,0,3,9,3,4,3,4,0,4,5,3,1,5,4,1,2,1,2,0,2,0,1,7,3,7,10,3,1,3,2,8,2,0,4,4,2,1
DVU0645,6,28,39,8,21,23,31,12,35,35,50,17,6,39,36,8,18,17,57,43,36,20,58,27,52,77,50,46,5,31,31,22,50,36,38,26,51,76,67,33,36,69,44,40,15,45,54,15,7,6,4,12,27,22,69,17,27,46,45,25,3,20,22,7
DVU0646,2,11,7,2,12,28,19,9,5,10,10,2,5,12,8,1,9,24,11,16,14,23,32,20,22,37,25,13,7,20,14,9,11,24,8,3,22,28,23,14,13,22,6,9,3,12,12,2,0,9,2,4,12,10,23,7,6,18,9,5,0,8,4,1
DVU0647,0,16,7,1,17,21,30,6,5,9,14,2,3,11,12,5,10,25,13,21,16,39,41,21,30,44,21,24,2,18,19,7,14,26,9,9,22,42,24,11,18,26,24,7,2,17,14,5,0,7,1,0,14,15,24,8,6,20,16,4,1,15,1,1
DVU0648,1,8,3,3,10,17,26,4,4,4,8,1,1,13,15,0,9,25,8,16,16,23,30,16,13,41,30,18,2,18,19,12,5,19,6,4,25,35,20,18,9,28,24,17,6,14,22,4,0,5,0,5,7,10,26,13,9,25,16,10,1,11,4,2
DVU0649,0,8,3,0,5,12,17,8,1,10,9,3,2,13,9,0,6,14,12,18,10,24,37,23,12,56,39,34,2,31,43,15,4,16,7,1,23,45,43,42,10,44,35,25,6,27,31,7,1,4,1,4,12,13,44,18,6,43,31,9,0,16,6,4
DVU0650,1,6,14,2,9,25,15,8,10,10,14,5,3,11,14,1,12,23,12,19,21,32,42,20,24,36,20,22,5,18,23,10,10,20,13,6,24,49,18,17,6,41,14,7,1,20,17,2,0,8,1,1,12,9,27,11,9,21,20,6,1,10,2,2
DVU0651,2,7,4,1,10,23,23,9,2,7,14,4,3,13,12,1,5,40,16,22,26,42,33,31,10,56,38,13,4,21,36,25,6,12,6,3,27,54,34,33,9,46,38,20,3,14,19,9,1,6,1,2,20,13,27,13,7,39,23,8,0,25,10,6
DVU0652,2,8,14,4,7,12,18,7,14,17,17,5,4,22,14,5,18,12,14,22,10,14,23,16,26,33,26,15,3,16,21,12,8,19,23,17,31,23,32,18,14,25,32,21,0,16,23,13,0,5,2,2,18,14,27,11,14,29,17,10,2,16,12,4
DVU0653,6,18,23,4,25,38,42,21,21,24,23,4,2,18,18,6,19,39,29,24,24,59,72,38,45,77,53,30,8,36,35,25,24,59,18,11,38,74,51,27,27,52,42,21,6,21,31,10,2,10,2,4,24,22,40,18,20,37,24,13,2,29,10,9
DVU0654,0,15,13,6,13,29,26,9,10,7,13,5,1,13,19,6,12,24,10,25,17,47,56,32,37,63,33,35,10,29,23,12,22,28,12,2,28,64,46,17,9,49,19,14,3,23,25,10,0,10,0,5,13,12,40,16,9,36,26,7,1,16,11,2
DVU0655,3,9,14,3,17,23,22,7,9,12,15,0,3,13,10,2,13,25,7,21,21,23,33,15,32,36,29,17,6,20,12,10,13,28,12,1,17,39,34,16,9,36,11,13,3,10,16,2,0,7,3,2,11,7,25,10,5,22,14,1,0,10,4,2
DVU0656,0,5,4,0,2,3,5,4,4,0,5,0,1,0,2,1,3,2,0,2,1,11,10,4,6,6,3,7,2,5,8,2,6,4,5,2,1,11,4,4,5,7,2,2,0,3,7,1,0,3,0,0,3,1,3,5,3,7,6,1,0,4,0,0
DVU0657,0,4,3,1,7,9,8,4,5,2,8,3,1,5,4,1,5,6,6,9,7,6,16,6,14,18,14,9,4,10,7,5,3,12,8,0,3,15,22,10,3,12,9,10,3,6,12,4,0,6,2,0,9,5,9,6,1,18,3,3,0,8,2,1
DVU0658,0,4,7,3,3,7,9,0,6,7,5,1,1,8,12,1,4,3,7,9,6,17,19,7,19,21,14,11,3,9,5,4,10,10,5,7,12,20,21,6,4,14,12,8,1,8,10,4,0,2,1,2,2,5,16,8,3,17,7,3,0,6,3,1
DVU0659,3,9,12,5,10,15,21,5,6,9,12,3,2,8,12,2,10,18,14,12,13,27,28,13,20,23,19,19,4,12,17,12,16,17,4,4,18,28,20,13,9,29,19,14,2,15,18,9,0,7,0,2,13,11,12,14,7,18,21,8,1,15,7,3
DVU0660,0,3,4,2,8,12,18,2,5,2,8,4,1,12,5,2,5,13,8,14,9,22,14,14,13,20,20,10,2,6,18,9,4,19,6,3,15,16,18,11,11,19,15,9,3,7,15,5,0,5,1,0,8,9,13,8,4,19,11,7,0,13,3,3
DVU0661,1,11,8,2,9,18,21,6,5,5,14,7,1,12,13,2,14,16,9,19,17,35,44,15,24,46,33,24,2,10,26,13,7,24,14,5,20,42,41,21,18,40,31,19,2,15,32,13,0,3,0,2,12,16,21,9,4,33,30,11,0,21,7,2
DVU0662,3,11,12,2,7,23,19,12,11,9,17,7,1,28,15,2,9,20,16,32,29,28,27,16,22,42,30,15,9,16,20,8,16,19,16,6,23,33,36,15,14,33,17,15,5,14,20,6,0,11,0,5,18,16,27,10,11,23,15,8,1,13,2,4
