,DACC_Twist.lag1,DACC_Twist.lag2,DACC_Tilt.lag1,DACC_Tilt.lag2,DACC_Twist.Tilt.lag.1,DACC_Twist.Tilt.lag.2,DACC_Tilt.Twist.lag.1,DACC_Tilt.Twist.lag.2
DVU0813,-0.382,0.025,-0.184,0.026,-0.292,0.013,-0.309,0.048
DVU0814,-0.348,-0.028,-0.164,0.027,-0.262,0.015,-0.246,0.005
DVU0815,-0.311,-0.02,-0.154,-0.007,-0.22,0.007,-0.243,-0.026
DVU0816,-0.399,0.019,-0.199,0.014,-0.34,0.054,-0.266,0.008
DVU0817,-0.412,0.027,-0.214,0.011,-0.307,0.02,-0.346,0.046
DVU0818,-0.391,0.022,-0.21,0.012,-0.34,0.04,-0.284,0.025
DVU0819,-0.321,-0.067,-0.219,-0.022,-0.274,-0.042,-0.27,-0.037
DVU0820,-0.237,-0.084,-0.137,-0.007,-0.189,-0.096,-0.236,-0.008
DVU0821,-0.425,0.06,-0.22,0.072,-0.302,0.037,-0.359,0.111
DVU0822,-0.39,-0.014,-0.232,0.009,-0.312,-0.031,-0.342,0.007
DVU0823,-0.366,-0.056,-0.222,-0.019,-0.265,-0.024,-0.3,-0.029
DVU0824,-0.435,0.177,-0.23,0.07,-0.392,0.172,-0.34,0.059
DVU0825,-0.337,-0.035,-0.207,-0.002,-0.25,-0.015,-0.287,0.003
DVU0826,-0.367,0.006,-0.202,-0.009,-0.281,0.006,-0.315,0.007
DVU0827,-0.389,0.03,-0.213,0.003,-0.308,0.035,-0.287,0.032
DVU0828,-0.371,0.039,-0.185,-0.004,-0.293,0.016,-0.266,0.025
DVU0829,-0.351,0.023,-0.205,-0.001,-0.237,0.014,-0.32,0.033
DVU0830,-0.436,0.047,-0.207,0.061,-0.313,0.031,-0.338,0.068
DVU0831,-0.362,0.006,-0.189,0.016,-0.268,0.014,-0.286,0.03
DVU0832,-0.366,0.003,-0.201,0.014,-0.272,0.013,-0.295,0.036
DVU0833,-0.365,-0.063,-0.22,-0.09,-0.275,-0.077,-0.288,-0.035
DVU0834,-0.398,0.064,-0.226,0.035,-0.298,0.027,-0.356,0.079
DVU0835,-0.326,0.046,-0.196,-0.039,-0.184,-0.004,-0.307,0.044
DVU0836,-0.331,0.001,-0.169,0.03,-0.26,0.031,-0.26,0.022
DVU0837,-0.305,-0.023,-0.131,-0.004,-0.202,-0.021,-0.237,0.004
DVU0838,-0.272,-0.038,-0.17,0.003,-0.204,-0.04,-0.201,0.044
DVU0839,-0.309,-0.123,-0.215,-0.047,-0.255,-0.082,-0.25,-0.055
DVU0840,-0.314,-0.039,-0.177,-0.011,-0.257,-0.021,-0.236,-0.018
DVU0841,-0.334,-0.023,-0.189,-0.017,-0.268,-0.008,-0.273,-0.013
DVU0842,-0.249,0.053,-0.158,0.013,-0.167,0.01,-0.232,0.053
DVU0843,-0.283,-0.061,-0.172,-0.036,-0.216,-0.029,-0.224,-0.049
DVU0845,-0.332,-0.017,-0.171,-0.033,-0.264,-0.003,-0.243,-0.045
DVU0846,-0.246,-0.107,-0.158,-0.043,-0.188,-0.024,-0.212,-0.103
DVU0847,-0.328,-0.041,-0.211,-0.003,-0.274,-0.001,-0.266,-0.024
DVU0848,-0.304,-0.03,-0.166,0.002,-0.216,-0.019,-0.257,-0.001
DVU0849,-0.341,-0.063,-0.191,-0.037,-0.268,-0.025,-0.261,-0.052
DVU0850,-0.32,-0.082,-0.187,-0.083,-0.224,-0.082,-0.281,-0.067
DVU0851,-0.299,-0.06,-0.17,-0.073,-0.233,-0.048,-0.219,-0.046
DVU0852,-0.367,0.022,-0.205,-0.023,-0.309,-0.023,-0.287,0.028
DVU0853,-0.387,0.001,-0.201,0.026,-0.307,0.024,-0.297,0.027
DVU0854,-0.393,0.035,-0.202,-0.027,-0.279,0.012,-0.292,0.045
DVU0855,-0.402,0.061,-0.208,0.045,-0.301,0.066,-0.33,0.055
DVU0856,-0.363,-0.007,-0.198,-0.001,-0.258,0.002,-0.294,0.031
DVU0857,-0.313,-0.025,-0.187,0.006,-0.229,-0.004,-0.264,0.005
DVU0858,-0.389,0.048,-0.184,0.036,-0.262,0.028,-0.316,0.06
DVU0859,-0.364,-0.021,-0.188,-0.004,-0.273,0.011,-0.316,-0.013
DVU4019,-0.377,0.043,-0.17,-0.002,-0.279,0.03,-0.307,0.027
DVU0861,-0.389,0.057,-0.203,0.019,-0.306,0.053,-0.331,0.043
DVU0862,-0.355,0.015,-0.19,-0.015,-0.277,0.008,-0.293,-0.017
DVU0863,-0.359,-0.065,-0.217,-0.041,-0.27,-0.053,-0.279,-0.036
DVU0864,-0.336,-0.039,-0.173,0.013,-0.25,-0.01,-0.267,-0.006
DVU0865,-0.345,-0.018,-0.172,-0.049,-0.244,-0.017,-0.264,-0.028
DVU0866,-0.376,0.015,-0.203,0.003,-0.293,0.005,-0.304,0.03
DVU0867,-0.341,-0.016,-0.188,0.014,-0.226,-0.006,-0.287,0.008
DVU0868,-0.36,-0.027,-0.196,-0.007,-0.295,-0.003,-0.265,-0.015
DVU0869,-0.365,0.049,-0.203,0.019,-0.273,0.028,-0.319,0.047
DVU0870,-0.271,-0.041,-0.181,-0.008,-0.193,-0.022,-0.218,0.005
DVU0871,-0.357,0.031,-0.196,0.025,-0.255,0.006,-0.299,0.089
DVU0872,-0.298,-0.018,-0.157,-0.006,-0.241,-0.016,-0.221,0.01
DVU0873,-0.236,-0.094,-0.184,-0.035,-0.184,-0.081,-0.202,-0.029
DVU0874,-0.298,-0.137,-0.206,-0.089,-0.179,-0.116,-0.287,-0.066
DVU0875,-0.354,-0.073,-0.177,-0.057,-0.279,-0.041,-0.257,-0.063
DVU0876,-0.377,0.002,-0.181,0.019,-0.268,0.025,-0.301,0.022
DVU0877,-0.581,0.147,-0.256,0.055,-0.369,0.012,-0.525,0.099
DVU0878,-0.435,0.039,-0.23,-0.012,-0.349,0.036,-0.31,0.02
DVU0879,-0.274,-0.005,-0.05,0.099,-0.1,-0.008,-0.26,0.131
DVU0880,-0.46,0.051,-0.232,0.029,-0.368,0.085,-0.298,0.014
DVU0881,-0.318,-0.043,-0.18,-0.012,-0.251,-0.012,-0.242,-0.03
DVU0882,-0.376,0.01,-0.207,0.019,-0.325,0.021,-0.251,0.042
DVU0883,-0.369,0.064,-0.17,0.039,-0.255,0.046,-0.237,0.081
DVU0884,-0.458,0.154,-0.225,0.052,-0.338,0.059,-0.363,0.123
DVU0885,-0.313,-0.021,-0.167,-0.006,-0.254,-0.007,-0.246,0.014
DVU0886,-0.409,0.053,-0.189,-0.004,-0.337,0.051,-0.323,0.014
DVU0887,-0.35,0.008,-0.161,0.002,-0.286,0.005,-0.249,0.029
DVU0888,-0.361,0.019,-0.191,-0.009,-0.288,0.027,-0.259,0.005
DVU0889,-0.346,0.03,-0.203,0.005,-0.293,0.006,-0.295,0.03
DVU0890,-0.367,-0.005,-0.209,-0.004,-0.277,0.019,-0.302,0.008
DVU0891,-0.342,0.039,-0.181,0,-0.241,0.046,-0.294,0.007
DVU0892,-0.411,0.029,-0.207,-0.023,-0.373,0.004,-0.259,0.026
DVU0893,-0.333,-0.002,-0.179,0.042,-0.262,0.023,-0.29,0.043
DVU0894,-0.357,-0.019,-0.209,-0.02,-0.289,0.025,-0.277,-0.028
DVU0895,-0.356,-0.019,-0.191,0,-0.27,-0.003,-0.28,0.005
DVU0896,-0.429,0.088,-0.195,0.014,-0.324,0.073,-0.339,0.066
DVU0897,-0.368,0.041,-0.202,0.031,-0.32,0.035,-0.273,0.03
DVU0898,-0.302,-0.003,-0.157,-0.012,-0.26,0.005,-0.189,-0.002
DVU0899,-0.373,-0.021,-0.187,0.05,-0.217,0.049,-0.285,0.019
DVU0900,-0.336,0.002,-0.197,0.021,-0.295,0.039,-0.235,0.012
DVU0901,-0.378,0.022,-0.205,-0.04,-0.318,0.011,-0.274,0.009
DVU0902,-0.315,-0.04,-0.174,-0.024,-0.258,-0.013,-0.213,-0.048
DVU0903,-0.345,-0.026,-0.218,-0.005,-0.318,-0.014,-0.279,-0.024
DVU0904,-0.342,-0.001,-0.201,-0.006,-0.281,-0.002,-0.269,0.015
DVU0905,-0.405,0.079,-0.205,0.065,-0.303,0.058,-0.344,0.074
DVU0906,-0.318,-0.019,-0.164,-0.006,-0.227,-0.017,-0.239,0.001
DVU0907,-0.257,-0.051,-0.155,-0.022,-0.219,0.036,-0.175,-0.064
DVU0908,-0.329,0.001,-0.162,-0.009,-0.243,-0.01,-0.268,0.014
DVU0909,-0.388,0.035,-0.225,0.046,-0.308,0.027,-0.343,0.066
DVU0910,-0.337,-0.079,-0.201,-0.039,-0.256,-0.042,-0.243,-0.035
DVU0911,-0.387,0.047,-0.185,0,-0.293,0.034,-0.294,0.039
DVU0912,-0.295,0.012,-0.175,0.001,-0.215,0.003,-0.246,0
DVU0913,-0.306,0.046,-0.167,0.029,-0.232,0.035,-0.23,0.064
DVU0914,-0.389,0.007,-0.199,-0.008,-0.314,-0.002,-0.314,0.032
DVU0915,-0.431,0.085,-0.225,0.057,-0.345,0.047,-0.389,0.097
DVU0916,-0.411,0.071,-0.195,0.011,-0.282,0.012,-0.305,0.077
DVU0917,-0.233,-0.116,-0.174,-0.096,-0.193,-0.095,-0.173,-0.067
DVU0918,-0.362,-0.021,-0.185,-0.05,-0.273,0.004,-0.268,-0.061
DVU0919,-0.396,0.064,-0.223,0.092,-0.345,0.098,-0.285,0.064
DVU0920,-0.349,-0.036,-0.204,-0.037,-0.295,-0.04,-0.236,-0.014
DVU0921,-0.372,-0.012,-0.179,0,-0.296,0.016,-0.259,0.02
DVU0922,-0.382,-0.001,-0.192,-0.014,-0.283,-0.002,-0.32,0.045
DVU0923,-0.381,-0.053,-0.205,-0.028,-0.307,-0.043,-0.26,-0.028
DVU0924,-0.399,0.046,-0.196,0.034,-0.304,0.049,-0.304,0.052
DVU0925,-0.387,0.035,-0.211,-0.024,-0.302,0.035,-0.307,0.008
DVU0926,-0.37,0.043,-0.157,0.004,-0.264,0.075,-0.303,-0.012
DVU0927,-0.245,-0.143,-0.184,-0.063,-0.195,-0.113,-0.217,-0.082
DVU0928,-0.389,-0.02,-0.231,-0.053,-0.31,0,-0.311,-0.054
DVU0929,-0.327,-0.023,-0.185,0.006,-0.258,0.031,-0.254,-0.025
DVU0930,-0.373,-0.026,-0.213,-0.012,-0.321,-0.001,-0.267,-0.024
DVU0931,-0.354,-0.047,-0.215,0.021,-0.297,-0.008,-0.298,-0.02
DVU0932,-0.381,-0.001,-0.206,-0.019,-0.321,0.01,-0.267,-0.015
DVU0933,-0.383,0.026,-0.188,0.021,-0.296,0.038,-0.271,0.03
DVU0934,-0.317,0.044,-0.159,0.06,-0.298,0.067,-0.209,0.024
DVU0935,-0.322,-0.062,-0.193,-0.055,-0.248,-0.057,-0.243,-0.042
DVU0936,-0.28,-0.03,-0.198,-0.012,-0.224,-0.002,-0.228,-0.024
DVU0937,-0.371,-0.039,-0.207,-0.064,-0.303,-0.04,-0.238,-0.055
DVU0938,-0.408,0.035,-0.2,0.029,-0.356,0.062,-0.27,0.013
DVU0939,-0.347,0.004,-0.175,0.035,-0.255,0.041,-0.247,0.044
DVU0940,-0.372,-0.024,-0.179,-0.049,-0.279,-0.03,-0.273,-0.029
DVU0941,-0.35,-0.004,-0.191,-0.007,-0.289,0.03,-0.257,-0.016
DVU0942,-0.392,-0.003,-0.213,-0.019,-0.284,-0.049,-0.307,0.035
DVU0943,-0.329,-0.036,-0.209,-0.028,-0.236,-0.042,-0.283,0.001
DVU0944,-0.411,-0.012,-0.228,-0.005,-0.405,0.018,-0.294,0.015
DVU0945,-0.341,0.015,-0.184,0.011,-0.268,0.025,-0.258,0.022
DVU0946,-0.352,-0.002,-0.185,-0.011,-0.265,-0.002,-0.263,0.015
DVU0947,-0.343,-0.05,-0.197,-0.052,-0.233,-0.074,-0.325,-0.005
DVU0948,-0.316,-0.118,-0.202,-0.084,-0.26,-0.069,-0.273,-0.109
DVU0949,-0.366,0.005,-0.191,-0.035,-0.272,-0.009,-0.303,0.009
DVU0950,-0.481,0.223,-0.179,0.048,-0.455,0.069,-0.279,0.203
DVU0951,-0.353,-0.004,-0.188,0.012,-0.295,0.017,-0.266,-0.004
DVU0952,-0.377,0.015,-0.209,-0.013,-0.348,0.04,-0.264,-0.005
DVU0953,-0.306,-0.05,-0.182,-0.032,-0.257,-0.017,-0.24,-0.026
DVU0954,-0.399,-0.015,-0.228,0.003,-0.322,-0.014,-0.332,0.008
DVU0955,-0.408,0.065,-0.219,0.046,-0.346,0.057,-0.349,0.059
DVU0956,-0.327,-0.049,-0.199,0.009,-0.255,-0.011,-0.29,-0.019
DVU0957,-0.294,-0.034,-0.205,-0.011,-0.201,-0.024,-0.294,0.01
DVU0958,-0.325,-0.077,-0.208,-0.031,-0.257,-0.036,-0.243,-0.059
DVU0959,-0.315,-0.05,-0.178,-0.037,-0.245,-0.048,-0.257,-0.033
DVU0960,-0.348,0.064,-0.153,-0.005,-0.321,0.011,-0.237,0.032
DVU0961,-0.314,-0.024,-0.165,-0.001,-0.246,0,-0.236,-0.012
DVU0962,-0.554,0.09,-0.24,0.064,-0.375,0.074,-0.456,0.093
DVU0963,-0.308,-0.063,-0.169,0,-0.173,-0.049,-0.297,-0.016
DVU0964,-0.341,-0.011,-0.198,-0.004,-0.291,0.02,-0.253,-0.011
DVU0965,-0.211,-0.099,-0.149,-0.043,-0.119,-0.098,-0.216,-0.012
DVU0966,-0.303,-0.118,-0.195,-0.042,-0.245,-0.053,-0.219,-0.074
DVU0967,-0.377,-0.017,-0.215,-0.012,-0.289,0.006,-0.299,-0.01
DVU0968,-0.326,-0.03,-0.185,0.018,-0.244,0.002,-0.252,-0.007
DVU0969,-0.372,0.003,-0.185,0,-0.314,0.016,-0.251,-0.006
DVU0970,-0.393,0.035,-0.176,0,-0.365,0.051,-0.213,-0.007
DVU0971,-0.349,-0.011,-0.193,0.025,-0.278,-0.01,-0.294,0.032
DVU0972,-0.361,0.003,-0.193,-0.005,-0.284,0.008,-0.261,0.007
DVU0973,-0.418,-0.006,-0.214,-0.036,-0.297,-0.002,-0.326,-0.004
DVU0974,-0.359,0.024,-0.198,-0.036,-0.309,0.023,-0.267,-0.025
DVU0975,-0.332,0.006,-0.195,0.002,-0.293,0.061,-0.264,-0.03
DVU0976,-0.376,0.041,-0.185,0.003,-0.274,0.024,-0.303,0.024
DVU0977,-0.384,0.076,-0.204,0.053,-0.364,0.105,-0.263,0.04
DVU0978,-0.35,-0.021,-0.174,-0.006,-0.316,0.018,-0.246,-0.031
DVU0979,-0.409,0.017,-0.228,0.009,-0.343,0.045,-0.299,0.026
DVU0980,-0.361,0.023,-0.175,0.023,-0.304,0.028,-0.246,0.044
DVU0981,-0.33,-0.028,-0.195,0.006,-0.295,0.014,-0.245,-0.019
DVU0982,-0.407,0.011,-0.237,-0.021,-0.284,-0.016,-0.362,0.044
DVU0983,-0.344,0.025,-0.181,0.044,-0.295,0.027,-0.25,0.049
DVU0984,-0.334,0.008,-0.172,-0.01,-0.262,0.017,-0.248,0.003
DVU0985,-0.423,0.076,-0.221,0.046,-0.348,0.016,-0.34,0.093
DVU0986,-0.363,-0.013,-0.256,-0.108,-0.329,-0.043,-0.338,-0.05
DVU0987,-0.422,0.103,-0.199,0.141,-0.314,0.122,-0.356,0.164
DVU0988,-0.37,-0.028,-0.19,0.008,-0.257,-0.019,-0.306,0.015
DVU0989,-0.378,0.015,-0.201,0.029,-0.299,0.019,-0.322,0.055
DVU0990,-0.382,0.047,-0.187,0.034,-0.306,0.076,-0.264,0.006
DVU0991,-0.428,0.059,-0.212,-0.006,-0.371,0.039,-0.303,0.014
DVU0992,-0.404,-0.023,-0.216,-0.009,-0.291,-0.028,-0.324,0.002
DVU0993,-0.408,0.001,-0.226,0.014,-0.369,0.041,-0.296,-0.035
DVU0994,-0.251,-0.083,-0.167,-0.069,-0.232,-0.098,-0.211,-0.081
DVU0995,-0.39,0.006,-0.207,-0.022,-0.323,0.033,-0.292,-0.021
DVU0996,-0.358,0.037,-0.177,0.014,-0.278,0.04,-0.297,0.026
DVU0997,-0.341,0.078,-0.169,0.036,-0.281,0.052,-0.267,0.074
DVU0998,-0.36,0.012,-0.21,-0.005,-0.322,0.049,-0.268,-0.019
DVU0999,-0.345,-0.045,-0.188,-0.043,-0.283,-0.024,-0.258,-0.04
DVU1000,-0.339,0.043,-0.177,-0.002,-0.287,0.031,-0.262,0.03
DVU1001,-0.38,0.028,-0.217,-0.047,-0.282,-0.009,-0.339,0.023
DVU1002,-0.352,0.01,-0.209,0.023,-0.284,0.04,-0.288,0.022
DVU1003,-0.338,0.015,-0.159,-0.014,-0.263,0.017,-0.25,-0.024
DVU1004,-0.354,-0.028,-0.198,-0.048,-0.295,-0.019,-0.299,-0.032
DVU1005,-0.403,0.046,-0.238,0.025,-0.345,0.042,-0.313,0.048
DVU1006,-0.426,0.019,-0.214,-0.023,-0.367,-0.018,-0.325,0.007
DVU1007,-0.394,0.02,-0.212,0.026,-0.357,0.047,-0.252,0.021
DVU1008,-0.416,0.051,-0.209,0.015,-0.324,0.043,-0.303,0.055
DVU1009,-0.382,0.009,-0.193,-0.02,-0.248,-0.012,-0.363,0.025
DVU1010,-0.449,0.068,-0.253,0.001,-0.388,0.072,-0.312,0.037
DVU1011,-0.271,-0.081,-0.157,-0.139,-0.195,-0.162,-0.191,-0.079
DVU1012,-0.402,-0.107,-0.231,-0.07,-0.311,-0.065,-0.299,-0.084
DVU1013,-0.334,0.024,-0.197,-0.003,-0.254,0.015,-0.273,0.019
DVU1014,-0.485,0.08,-0.26,0.098,-0.329,0.074,-0.451,0.114
DVU1015,-0.482,0.079,-0.287,0.043,-0.373,0.075,-0.382,0.008
DVU1016,-0.329,-0.021,-0.101,-0.012,-0.229,0.04,-0.212,-0.098
DVU1017,-0.384,-0.02,-0.2,-0.021,-0.313,-0.015,-0.281,0.004
DVU1018,-0.318,-0.022,-0.159,-0.018,-0.236,-0.036,-0.254,0
DVU1019,-0.314,-0.006,-0.154,0.011,-0.291,-0.009,-0.238,-0.002
DVU1020,-0.348,-0.018,-0.18,-0.029,-0.26,-0.013,-0.259,-0.014
DVU1021,-0.37,-0.028,-0.205,-0.031,-0.239,-0.049,-0.328,0.009
DVU1022,-0.366,-0.007,-0.193,-0.002,-0.263,-0.024,-0.287,-0.002
DVU1023,-0.369,0.069,-0.159,0.03,-0.284,0.064,-0.284,0.025
DVU1024,-0.354,0.016,-0.184,0.011,-0.276,0.035,-0.272,0.029
DVU1025,-0.346,-0.055,-0.203,-0.041,-0.281,-0.058,-0.259,-0.02
DVU1026,-0.391,-0.021,-0.205,-0.034,-0.25,-0.033,-0.343,0.012
DVU1027,-0.352,-0.022,-0.169,-0.028,-0.285,0.014,-0.235,-0.027
DVU1028,-0.382,0.009,-0.195,0.029,-0.322,0.043,-0.289,0.005
DVU1029,-0.336,-0.005,-0.185,-0.007,-0.25,-0.014,-0.271,0.008
DVU1030,-0.322,0.001,-0.181,0.044,-0.236,0.01,-0.267,0.072
DVU1031,-0.5,0.186,-0.219,0.192,-0.455,0.191,-0.392,0.134
DVU1032,-0.287,-0.065,-0.157,-0.043,-0.266,-0.038,-0.184,-0.057
DVU1033,-0.418,0.003,-0.225,-0.022,-0.348,0.001,-0.322,0.022
DVU1034,-0.385,-0.038,-0.227,-0.014,-0.35,-0.017,-0.267,0.006
DVU1035,-0.378,-0.002,-0.185,-0.023,-0.297,-0.014,-0.293,-0.008
DVU1036,-0.396,0.033,-0.176,0.01,-0.319,0.009,-0.282,0.042
DVU1037,-0.38,-0.008,-0.187,0.008,-0.314,0.017,-0.265,0.002
DVU1038,-0.364,-0.017,-0.19,-0.028,-0.261,-0.019,-0.295,0.005
DVU1039,-0.358,0.008,-0.186,0.01,-0.231,-0.012,-0.314,0.029
DVU1040,-0.355,-0.043,-0.188,-0.05,-0.232,-0.057,-0.28,-0.005
DVU1041,-0.32,0.035,-0.16,-0.01,-0.244,0.02,-0.263,0.021
DVU1042,-0.254,-0.107,-0.185,-0.027,-0.144,-0.069,-0.271,-0.041
DVU1043,-0.344,-0.024,-0.188,0,-0.245,-0.022,-0.282,0.01
DVU1044,-0.354,-0.072,-0.217,-0.039,-0.245,-0.059,-0.297,-0.021
DVU1045,-0.268,-0.062,-0.151,-0.003,-0.19,-0.03,-0.259,-0.051
DVU1046,-0.356,0.086,-0.24,0.052,-0.349,0.065,-0.296,0.078
DVU1047,-0.436,0.091,-0.226,0.014,-0.318,0.04,-0.348,0.089
DVU1048,-0.352,-0.015,-0.187,-0.026,-0.268,-0.021,-0.287,-0.006
DVU1049,-0.324,-0.055,-0.207,-0.013,-0.288,-0.011,-0.235,-0.017
DVU1050,-0.357,-0.015,-0.196,0.006,-0.263,0.013,-0.295,0.008
DVU1051,-0.332,0.011,-0.153,-0.042,-0.224,-0.019,-0.244,-0.009
DVU1052,-0.409,0.013,-0.212,0.019,-0.273,0.008,-0.34,0.057
DVU1054,-0.348,-0.002,-0.174,0.013,-0.313,0.01,-0.259,-0.002
DVU1055,-0.373,-0.005,-0.211,-0.015,-0.333,0.013,-0.274,-0.005
DVU1056,-0.432,-0.012,-0.212,-0.004,-0.295,0.009,-0.326,0.014
DVU1057,-0.359,0.01,-0.179,-0.013,-0.264,-0.002,-0.295,0.039
DVU1058,-0.289,-0.069,-0.149,-0.06,-0.195,-0.058,-0.244,-0.039
DVU1059,-0.401,0.059,-0.203,0.011,-0.304,0.04,-0.316,0.047
DVU1060,-0.428,0.062,-0.213,0.026,-0.317,0.051,-0.351,0.058
DVU1061,-0.398,0.041,-0.188,-0.008,-0.278,0.017,-0.312,0.023
DVU1062,-0.374,-0.056,-0.192,-0.017,-0.318,-0.004,-0.253,-0.017
DVU1063,-0.303,-0.01,-0.159,0.008,-0.232,-0.01,-0.244,0.019
DVU1064,-0.335,-0.032,-0.192,-0.02,-0.257,-0.025,-0.271,-0.004
DVU1065,-0.325,-0.026,-0.191,0.028,-0.25,0.008,-0.247,-0.005
DVU1066,-0.331,-0.086,-0.197,-0.067,-0.223,-0.109,-0.32,-0.04
DVU1067,-0.358,-0.006,-0.2,-0.013,-0.25,-0.024,-0.318,0
DVU1068,-0.327,0.013,-0.163,0.005,-0.26,0.006,-0.254,0.026
DVU1069,-0.37,-0.033,-0.191,-0.041,-0.303,-0.015,-0.282,-0.032
DVU1070,-0.347,-0.028,-0.19,-0.009,-0.265,-0.004,-0.269,-0.011
DVU1071,-0.323,0.042,-0.156,0.013,-0.23,0.045,-0.251,0.029
DVU1072,-0.335,-0.035,-0.191,-0.048,-0.23,-0.04,-0.302,-0.015
DVU1073,-0.342,0.012,-0.193,0.013,-0.276,0.017,-0.276,0.036
DVU1074,-0.243,0.004,-0.205,0.035,-0.153,0.026,-0.269,0.031
DVU1075,-0.353,-0.045,-0.21,0.011,-0.277,-0.041,-0.276,0.028
DVU1076,-0.425,0.044,-0.226,0.009,-0.326,0.016,-0.394,0.019
DVU1077,-0.331,-0.04,-0.179,-0.018,-0.241,-0.008,-0.264,-0.03
DVU1078,-0.282,-0.041,-0.174,-0.003,-0.214,-0.005,-0.247,-0.015
DVU1079,-0.338,-0.007,-0.172,0.019,-0.253,-0.007,-0.26,0.054
DVU1080,-0.403,0.006,-0.203,0.011,-0.331,0.027,-0.297,0.007
DVU1081,-0.414,0.027,-0.215,-0.018,-0.337,0.002,-0.327,0.014
DVU1082,-0.371,0.033,-0.209,0.06,-0.292,0.076,-0.269,-0.005
DVU1083,-0.379,-0.016,-0.203,0.045,-0.301,0.037,-0.285,0.038
DVU1084,-0.355,-0.002,-0.17,-0.003,-0.267,-0.007,-0.259,0.02
DVU1085,-0.364,-0.052,-0.206,-0.037,-0.28,-0.048,-0.274,-0.005
DVU1086,-0.343,0.011,-0.168,-0.003,-0.267,0.033,-0.26,-0.003
DVU1087,-0.343,0,-0.172,-0.015,-0.266,0.033,-0.258,-0.017
DVU1088,-0.362,-0.077,-0.193,-0.11,-0.337,-0.029,-0.25,-0.113
DVU1089,-0.337,-0.052,-0.196,-0.018,-0.237,-0.043,-0.279,-0.011
DVU1090,-0.3,-0.035,-0.177,-0.002,-0.202,-0.039,-0.262,0.008
DVU1091,-0.351,-0.033,-0.189,-0.003,-0.282,-0.011,-0.257,-0.007
DVU1092,-0.366,-0.029,-0.213,-0.026,-0.288,-0.004,-0.294,-0.015
DVU1093,-0.389,0.057,-0.174,0.028,-0.306,0.086,-0.276,0.012
DVU1094,-0.352,0.022,-0.195,0.016,-0.252,0.008,-0.301,0.063
DVU1095,-0.331,0.007,-0.199,0.016,-0.243,0.006,-0.288,0.03
DVU1096,-0.346,0.027,-0.178,0.044,-0.244,0.047,-0.296,0.049
DVU1097,-0.43,0.038,-0.237,0.013,-0.366,0.059,-0.33,0.011
DVU1098,-0.354,-0.016,-0.215,-0.043,-0.273,-0.019,-0.307,-0.005
DVU1099,-0.386,-0.032,-0.239,-0.04,-0.33,-0.029,-0.328,-0.035
DVU1100,-0.394,0.012,-0.227,-0.009,-0.338,0.029,-0.314,-0.004
DVU1101,-0.371,0.045,-0.22,-0.03,-0.327,0.038,-0.282,0.039
DVU1102,-0.391,0.03,-0.206,0.012,-0.295,0.03,-0.321,0.039
DVU1103,-0.339,-0.009,-0.189,0.003,-0.276,0.044,-0.221,-0.008
DVU1104,-0.411,-0.038,-0.247,-0.046,-0.369,0.024,-0.31,-0.08
DVU1105,-0.393,0.04,-0.234,0.016,-0.33,0.053,-0.304,0.053
DVU1106,-0.335,-0.04,-0.18,-0.016,-0.25,-0.012,-0.206,-0.025
DVU1107,-0.33,-0.013,-0.201,-0.019,-0.286,0.004,-0.246,-0.022
DVU1108,-0.42,-0.003,-0.203,-0.037,-0.22,-0.041,-0.396,0.032
DVU1109,-0.398,0.034,-0.205,0.057,-0.336,0.045,-0.287,0.038
DVU1110,-0.373,-0.023,-0.209,-0.046,-0.298,-0.025,-0.291,-0.004
DVU1111,-0.387,0.035,-0.229,0.01,-0.324,0.022,-0.317,0.026
DVU1112,-0.368,0.028,-0.187,-0.028,-0.298,0.004,-0.28,0.003
DVU1113,-0.414,0.018,-0.228,-0.031,-0.317,-0.002,-0.345,0.017
DVU1114,-0.372,0.036,-0.223,0.021,-0.319,0.041,-0.28,0.042
DVU1115,-0.377,-0.126,-0.234,-0.043,-0.274,-0.108,-0.349,-0.037
DVU1116,-0.377,-0.014,-0.227,-0.032,-0.303,-0.003,-0.315,-0.008
DVU1117,-0.395,0.081,-0.185,-0.007,-0.271,0.042,-0.31,0.065
DVU1118,-0.3,0.009,-0.171,0.026,-0.213,0.027,-0.27,0.015
DVU1119,-0.323,0.008,-0.17,-0.001,-0.264,0,-0.254,0.023
DVU1120,-0.322,-0.005,-0.186,-0.013,-0.274,0.002,-0.242,-0.011
DVU1121,-0.279,-0.069,-0.177,0.014,-0.223,-0.019,-0.228,-0.009
DVU1122,-0.373,0.012,-0.209,0.016,-0.337,0.055,-0.242,-0.004
DVU1123,-0.331,0.007,-0.195,-0.052,-0.302,0.006,-0.229,-0.024
DVU1124,-0.255,-0.12,-0.181,-0.046,-0.217,-0.118,-0.214,-0.034
DVU1125,-0.381,0.004,-0.214,0.005,-0.309,0.001,-0.281,0.013
DVU1126,-0.386,-0.02,-0.225,0.009,-0.337,0.007,-0.28,0.019
DVU1127,-0.327,-0.035,-0.227,0.031,-0.259,-0.014,-0.301,0.028
DVU1128,-0.379,0.004,-0.209,0,-0.303,0.005,-0.308,0.024
DVU1129,-0.344,-0.005,-0.153,-0.008,-0.29,0.013,-0.262,0.023
DVU1130,-0.365,0.007,-0.206,-0.03,-0.347,0.008,-0.276,-0.023
