kmer_2_AA,kmer_2_AC,kmer_2_AG,kmer_2_AT,kmer_2_CA,kmer_2_CC,kmer_2_CG,kmer_2_CT,kmer_2_GA,kmer_2_GC,kmer_2_GG,kmer_2_GT,kmer_2_TA,kmer_2_TC,kmer_2_TG,kmer_2_TT
DVU0864,9,53,32,22,54,89,95,56,47,102,61,35,6,50,57,17
DVU0865,27,63,45,44,85,95,107,75,57,115,96,50,10,89,70,36
DVU0866,40,89,42,53,99,121,147,70,71,143,115,46,14,84,71,21
DVU0867,36,104,50,52,112,169,190,90,87,177,123,62,7,111,86,37
DVU0868,16,39,25,25,50,73,78,78,29,106,69,43,10,61,75,29
DVU0869,26,57,40,30,65,74,78,42,49,86,48,27,14,42,43,22
DVU0870,44,34,40,22,44,53,63,27,45,60,32,18,7,40,20,11
DVU0871,37,46,36,31,61,62,71,38,42,76,58,37,10,48,48,15
DVU0872,27,46,38,33,51,62,85,54,51,77,67,29,14,67,35,31
DVU0873,53,45,67,23,54,85,85,48,75,99,57,37,6,43,59,27
DVU0874,45,47,47,34,63,82,86,33,56,75,43,33,9,60,31,20
DVU0875,30,60,35,23,58,85,88,43,50,73,61,45,9,56,46,17
DVU0876,48,117,69,79,140,173,180,90,100,158,133,82,24,135,92,44
DVU0877,1,11,9,7,12,16,15,6,9,11,3,12,6,11,8,6
DVU0878,14,33,19,14,32,33,42,16,28,36,23,15,6,21,18,6
DVU0879,4,9,13,6,17,13,3,10,9,11,10,2,2,10,6,12
DVU0880,26,32,22,17,38,21,33,18,25,34,28,21,8,23,25,18
DVU0881,101,139,106,71,136,202,223,127,152,200,175,94,27,147,118,48
DVU0882,11,16,23,25,21,24,58,21,39,55,43,34,4,29,47,14
DVU0883,18,14,20,10,20,12,15,14,19,22,17,19,5,13,25,14
DVU0884,16,25,15,17,23,22,37,18,24,32,26,21,10,21,25,12
DVU0885,36,62,36,20,50,83,85,59,55,79,51,34,12,53,48,25
DVU0886,12,26,13,20,20,35,51,26,27,46,37,21,12,25,30,9
DVU0887,26,71,44,40,67,119,143,85,69,159,171,62,19,65,103,31
DVU0888,51,93,88,58,105,107,192,102,113,187,163,115,20,119,136,63
DVU0889,30,77,44,42,85,124,124,65,65,144,118,40,14,53,80,34
DVU0890,36,84,63,44,99,122,156,68,74,161,118,56,18,78,72,25
DVU0891,40,79,55,46,94,150,125,71,68,123,86,54,17,88,66,31
DVU0892,14,24,18,19,25,35,71,21,32,69,71,38,4,24,50,12
DVU0893,16,27,24,19,26,45,62,29,32,57,37,25,11,33,29,10
DVU0894,25,63,45,39,70,95,147,48,62,135,109,56,14,67,62,27
DVU0895,77,139,114,90,165,190,242,120,138,237,208,121,40,151,140,56
DVU0896,29,84,44,55,86,142,157,81,75,161,144,81,21,79,117,38
DVU0897,28,68,54,40,70,121,178,77,72,176,143,92,19,81,109,48
DVU0898,29,46,48,32,44,52,109,54,77,111,87,38,5,50,69,30
DVU0899,8,17,12,17,24,19,29,12,21,22,19,13,1,26,15,5
DVU0900,24,47,27,18,32,49,84,38,49,72,45,29,11,35,39,24
DVU0901,13,39,29,23,44,56,85,34,38,76,85,53,8,48,54,22
DVU0902,46,62,63,27,63,71,94,42,77,81,58,42,12,56,43,20
DVU0903,21,44,34,36,54,63,90,61,45,110,88,43,15,51,74,28
DVU0904,47,89,66,71,98,126,208,102,107,205,183,93,21,114,131,54
DVU0905,28,65,30,32,70,100,105,54,43,106,58,47,14,58,61,25
DVU0906,21,49,23,24,44,61,74,47,44,59,58,28,7,57,35,25
DVU0907,109,167,166,53,149,300,409,132,220,369,305,132,17,154,146,111
DVU0908,41,106,63,56,111,186,182,113,93,189,142,63,21,111,100,54
DVU0909,17,22,22,18,30,31,44,23,23,53,22,19,8,22,30,11
DVU0910,39,60,54,52,82,78,100,44,75,83,71,59,9,83,63,28
DVU0911,18,67,36,36,77,102,87,54,49,100,79,38,13,51,64,22
DVU0912,38,36,40,25,47,54,65,28,47,71,37,15,6,33,29,13
DVU0913,40,33,31,11,35,27,46,31,33,50,18,13,6,29,20,14
DVU0914,10,41,21,39,54,59,76,52,33,93,79,31,14,48,60,27
DVU0915,18,60,28,44,62,80,82,43,43,83,70,30,26,44,47,28
DVU0916,46,44,27,30,54,44,60,39,31,49,46,43,15,60,37,19
DVU0917,9,7,6,14,14,31,24,21,8,27,22,12,5,25,17,6
DVU0918,25,36,21,35,49,53,59,63,28,57,55,42,15,78,47,38
DVU0919,17,20,21,14,20,19,33,39,20,33,49,36,15,39,35,24
DVU0920,25,30,22,17,27,16,34,26,31,31,44,20,11,26,26,18
DVU0921,15,15,30,16,17,23,55,25,35,52,51,39,8,30,42,14
DVU0922,26,47,26,20,55,59,52,33,29,58,38,22,9,35,31,17
DVU0923,29,28,24,32,34,16,23,23,36,19,23,19,14,33,27,18
DVU0924,52,104,62,51,116,107,156,90,84,163,106,67,16,95,97,40
DVU0925,31,59,48,37,64,82,83,67,56,92,58,49,24,63,66,29
DVU0926,10,17,10,9,21,26,17,11,11,21,8,3,4,11,8,4
DVU0927,22,11,27,14,19,13,36,13,25,31,23,18,7,26,12,11
DVU0928,16,17,16,6,23,17,30,10,9,32,26,18,6,14,14,9
DVU0929,39,65,67,50,76,78,134,47,86,117,99,56,19,75,59,33
DVU0930,43,68,45,34,64,82,139,65,65,126,111,82,17,74,90,37
DVU0931,22,49,33,35,55,92,77,42,46,80,76,43,15,45,60,36
DVU0932,37,64,52,50,70,80,121,70,78,125,113,75,18,72,105,45
DVU0933,30,65,70,58,79,90,126,59,98,122,129,80,16,77,104,41
DVU0934,15,10,20,13,12,17,25,9,26,24,22,16,5,12,21,13
DVU0935,109,140,154,98,191,163,268,117,172,249,240,153,29,187,152,82
DVU0936,20,23,22,13,24,29,40,19,29,42,29,17,5,18,27,17
DVU0937,15,21,24,17,27,16,34,24,28,38,34,25,6,26,34,17
DVU0938,22,22,21,16,19,22,37,17,29,27,25,30,10,24,29,18
DVU0939,29,44,31,28,42,50,80,56,50,71,51,47,11,63,57,39
DVU0940,13,39,35,29,41,43,75,46,50,67,81,52,11,56,60,33
DVU0941,84,170,131,110,167,212,333,190,193,316,241,161,50,204,207,125
DVU0942,18,26,29,22,29,25,46,25,35,42,29,26,13,32,28,9
DVU0943,86,76,89,94,143,146,165,104,99,177,136,110,18,159,132,65
DVU0944,5,15,13,10,16,15,26,12,13,24,35,20,8,15,19,11
DVU0945,81,128,123,105,155,179,263,143,165,269,229,127,35,164,176,90
DVU0946,48,74,78,57,91,114,154,77,100,147,122,91,18,101,106,52
DVU0947,20,48,24,36,66,93,103,69,27,107,69,50,15,83,57,38
DVU0948,17,33,16,15,33,48,52,31,24,53,31,10,6,30,20,9
DVU0949,41,57,47,22,59,75,77,37,50,74,60,39,16,42,40,25
DVU0950,14,2,6,8,4,5,3,5,4,6,13,13,8,4,14,7
DVU0951,31,63,47,46,58,119,166,79,80,146,138,96,17,94,110,47
DVU0952,19,48,41,38,51,74,90,45,61,98,94,55,15,40,83,20
DVU0953,58,70,61,56,83,96,122,75,83,122,100,53,20,88,76,33
DVU0954,96,218,112,83,163,204,252,132,178,201,162,110,72,128,125,58
DVU0955,29,56,39,54,70,115,127,58,50,130,112,73,28,69,88,32
DVU0956,12,18,12,15,18,30,36,20,21,35,21,12,6,21,20,8
DVU0957,17,15,15,14,23,22,29,16,17,32,6,10,3,21,16,7
DVU0958,27,22,27,21,27,46,54,32,36,53,29,29,7,38,37,18
DVU0959,74,99,71,60,92,126,173,94,111,140,95,70,26,120,78,52
DVU0960,9,12,14,5,18,22,19,7,11,24,15,7,3,8,9,5
DVU0961,169,288,204,126,299,374,451,250,276,422,373,167,42,290,211,122
DVU0962,4,11,8,13,15,8,5,3,12,6,4,3,5,6,8,5
DVU0963,21,40,24,18,40,65,51,25,35,43,27,21,7,33,24,23
DVU0964,81,179,138,111,187,239,378,166,198,348,280,162,42,204,193,87
DVU0965,15,6,13,12,14,16,17,7,14,18,8,7,3,14,9,3
DVU0966,48,56,48,35,67,65,80,46,62,76,47,39,9,61,50,29
DVU0967,24,49,45,42,70,76,99,69,46,104,97,74,20,85,80,33
DVU0968,29,45,40,32,53,56,81,44,53,71,54,41,10,62,45,24
DVU0969,13,31,22,19,31,65,80,57,33,90,82,54,9,47,74,39
DVU0970,12,23,23,17,19,45,65,30,40,66,61,39,4,25,57,13
DVU0971,17,32,32,38,49,83,87,44,40,102,64,42,13,46,65,25
DVU0972,26,78,61,48,77,88,143,79,96,148,121,64,14,73,104,45
DVU0973,13,42,24,39,58,57,83,68,33,84,81,67,15,83,77,45
DVU0974,8,17,18,8,16,28,43,16,21,41,36,25,6,17,26,12
DVU0975,17,26,35,23,32,51,65,25,42,68,47,31,10,28,41,19
DVU0976,29,77,61,41,104,115,128,61,65,151,103,50,10,65,77,26
DVU0977,5,3,6,16,4,8,8,9,14,8,10,11,7,10,19,11
DVU0978,37,44,47,34,50,63,83,41,57,90,109,47,18,40,64,30
DVU0979,48,76,42,55,76,79,117,48,78,105,101,60,19,60,84,16
DVU0980,22,36,27,30,46,53,60,38,38,71,77,26,8,37,49,14
DVU0981,56,118,107,97,141,248,313,134,156,337,286,138,25,133,211,64
DVU0982,21,55,24,24,58,82,80,28,38,79,45,31,6,32,45,11
DVU0983,18,38,24,19,29,48,71,33,44,62,40,28,7,33,40,11
DVU0984,51,101,77,36,99,117,156,83,92,149,111,60,22,88,69,38
DVU0985,4,6,8,5,8,15,32,17,8,32,35,27,3,19,27,11
DVU0986,5,5,3,9,5,15,10,9,6,15,5,5,6,4,13,4
DVU0987,11,11,16,13,18,19,19,4,16,19,17,11,5,11,12,1
DVU0988,35,74,40,41,76,83,102,58,62,91,79,32,16,71,44,22
DVU0989,15,32,14,20,31,51,52,25,27,49,32,19,8,27,29,9
DVU0990,32,50,42,24,52,74,108,30,56,105,97,58,8,35,69,17
DVU0991,21,54,28,33,46,64,95,53,49,94,85,42,20,46,62,26
DVU0992,37,62,52,55,82,64,103,45,68,85,79,53,18,83,52,24
DVU0993,11,42,29,30,48,49,75,44,34,69,81,58,19,56,57,20
DVU0994,2,6,7,3,10,34,24,7,6,27,17,10,1,8,11,6
DVU0995,24,32,30,31,37,50,62,27,44,58,49,34,12,36,44,17
DVU0996,32,68,32,34,67,99,86,65,50,91,72,28,17,59,51,24
DVU0997,37,45,43,41,53,66,94,45,61,84,77,49,16,63,56,45
DVU0998,27,49,45,47,55,97,120,67,65,125,87,61,21,68,86,35
DVU0999,50,106,71,71,118,200,236,149,101,246,221,140,29,151,180,90
DVU1000,50,72,54,52,81,125,127,71,75,126,111,60,22,81,80,36
DVU1001,9,18,20,17,24,43,40,22,25,42,34,27,7,26,34,16
DVU1002,17,26,24,18,30,40,52,20,31,56,36,24,6,20,36,19
DVU1003,37,57,52,31,63,90,126,39,66,121,114,47,11,50,56,26
DVU1004,8,52,27,27,50,79,92,80,34,103,85,51,23,67,69,37
DVU1005,42,70,59,41,68,106,161,56,79,160,105,71,23,55,90,34
DVU1006,4,31,16,22,34,37,38,38,23,50,40,20,11,29,40,16
DVU1007,15,23,22,24,29,31,56,25,34,66,62,39,6,21,61,22
DVU1008,26,49,41,33,58,57,86,35,52,84,81,54,12,46,64,25
DVU1009,14,45,22,31,62,83,58,35,22,58,39,29,14,52,29,21
DVU1010,11,12,5,20,14,2,15,11,16,14,12,11,7,14,21,18
DVU1011,5,4,9,3,9,10,5,5,6,10,6,6,1,5,8,6
DVU1012,363,910,431,345,830,754,1003,435,694,753,714,440,161,605,454,224
DVU1013,81,102,101,47,116,106,136,79,109,140,67,58,24,89,71,44
DVU1014,2,1,5,11,3,1,1,7,6,3,1,8,8,7,12,19
DVU1015,3,8,3,8,4,4,10,13,6,10,4,14,9,9,17,24
DVU1016,15,12,13,5,16,20,8,7,9,10,5,8,4,9,7,16
DVU1017,78,124,103,105,155,170,231,146,134,248,211,147,43,160,195,80
DVU1018,69,67,93,68,90,106,135,65,110,132,105,65,28,91,79,43
DVU1019,49,62,84,49,72,85,106,66,92,113,148,66,31,69,81,47
DVU1020,69,114,116,90,147,163,212,116,144,209,187,124,29,152,149,84
DVU1021,52,88,61,49,103,108,124,65,73,110,78,58,21,94,57,25
DVU1022,30,54,36,39,70,58,90,44,46,82,58,33,12,68,36,20
DVU1023,8,36,20,26,42,75,72,62,26,66,66,52,14,74,52,49
DVU1024,55,122,77,50,124,185,193,84,107,197,133,65,17,82,100,34
DVU1025,33,41,31,27,43,59,69,34,45,61,49,30,12,44,35,13
DVU1026,23,58,31,63,106,139,131,76,31,130,117,83,15,125,82,49
DVU1027,39,45,50,41,54,78,97,58,66,93,92,63,15,71,76,33
DVU1028,15,52,28,28,59,68,81,32,40,78,76,33,8,42,43,15
DVU1029,41,78,46,38,74,120,130,76,74,119,69,49,14,83,66,44
DVU1030,21,21,28,22,31,43,38,24,32,37,33,26,8,35,29,15
DVU1031,7,3,8,17,13,14,8,7,5,14,17,14,9,11,18,11
DVU1032,15,28,36,11,33,37,51,32,36,59,60,27,5,29,36,14
DVU1033,15,29,26,22,33,38,57,20,33,54,54,31,10,27,36,9
DVU1034,29,44,33,37,47,54,76,43,55,78,76,51,13,44,75,30
DVU1035,17,65,38,36,65,94,124,65,60,135,116,51,14,54,84,46
DVU1036,9,47,26,26,41,59,97,66,44,86,116,67,14,71,74,41
DVU1037,32,67,60,58,81,99,166,68,85,153,181,107,19,95,119,52
DVU1038,24,51,35,31,55,70,78,48,50,81,68,32,13,49,49,15
DVU1039,22,47,37,21,55,61,70,32,39,63,55,34,11,47,29,18
DVU1040,23,44,28,26,50,57,65,36,41,64,54,24,7,43,36,10
DVU1041,26,33,35,45,47,68,74,65,48,82,45,28,17,71,50,39
DVU1042,21,19,30,11,27,43,42,17,31,42,21,15,2,25,16,6
DVU1043,60,101,80,56,114,154,169,94,99,154,120,83,24,122,87,30
DVU1044,70,89,81,62,117,143,164,61,97,146,108,86,18,107,84,24
DVU1045,25,41,34,13,51,77,61,41,28,74,45,19,9,38,26,14
DVU1046,7,7,7,8,8,9,15,11,10,19,7,4,4,8,11,2
DVU1047,11,42,19,24,42,63,82,50,29,74,52,46,13,58,49,20
DVU1048,12,22,27,21,41,42,65,66,21,94,70,39,8,56,62,31
DVU1049,23,42,23,21,27,59,81,46,47,72,60,31,12,40,46,20
DVU1050,46,95,57,72,123,181,192,157,74,216,173,104,27,161,145,72
DVU1051,29,31,22,10,32,41,33,30,24,33,30,21,7,31,23,16
DVU1052,29,63,41,50,79,104,122,66,58,103,67,69,18,101,66,28
DVU1054,14,30,22,24,26,64,65,43,40,67,78,40,10,37,60,18
DVU1055,24,60,39,34,62,82,116,66,54,121,111,66,17,63,86,33
DVU1056,19,82,30,34,80,77,88,49,56,79,61,31,9,56,49,21
DVU1057,18,46,23,31,59,85,87,57,28,96,64,32,13,61,46,24
DVU1058,7,23,16,20,41,68,61,64,13,73,54,31,4,70,41,28
DVU1059,29,91,47,37,91,115,130,80,59,140,95,54,25,70,76,33
DVU1060,25,59,43,57,86,101,134,55,57,141,91,57,16,75,78,28
DVU1061,44,76,39,42,86,112,126,57,56,124,73,45,14,69,61,37
DVU1062,26,44,36,29,52,67,84,40,47,89,82,42,9,43,59,21
DVU1063,47,73,65,50,84,146,162,92,86,162,130,72,19,103,92,56
DVU1064,54,112,78,85,142,208,220,100,108,209,184,95,24,141,115,53
DVU1065,76,94,124,54,117,148,249,88,134,230,154,115,20,130,107,49
DVU1066,21,30,29,18,39,46,48,32,29,52,35,25,9,37,29,12
DVU1067,49,68,66,45,89,124,120,49,67,112,96,70,22,78,64,29
DVU1068,17,37,32,46,57,68,104,88,44,115,114,67,14,97,90,74
DVU1069,19,40,19,36,52,75,94,73,30,104,100,65,13,75,86,39
DVU1070,49,86,77,68,104,120,167,82,107,147,161,99,19,120,110,58
DVU1071,33,38,30,19,43,65,68,27,43,63,47,26,1,37,34,16
DVU1072,28,46,33,29,64,79,71,35,38,79,42,19,6,45,32,16
DVU1073,32,41,60,29,55,84,102,50,60,113,89,55,15,53,66,22
DVU1074,10,4,14,6,10,13,14,4,10,19,8,4,4,5,5,4
DVU1075,12,16,16,10,22,26,35,13,19,35,24,17,2,19,19,5
DVU1076,3,11,12,13,17,33,25,17,9,32,15,18,9,16,23,7
DVU1077,63,93,73,61,116,174,144,104,90,152,116,93,21,119,118,67
DVU1078,51,62,88,37,75,129,179,56,95,159,98,70,16,89,58,30
DVU1079,41,67,64,53,82,110,154,76,90,154,149,79,12,91,105,46
DVU1080,12,24,9,27,26,49,64,33,30,63,49,38,5,36,57,20
DVU1081,23,81,52,62,101,133,164,100,71,198,192,109,23,86,162,62
DVU1082,23,40,31,22,36,47,67,41,45,61,39,37,12,43,45,19
DVU1083,26,42,37,26,37,44,79,34,55,68,65,45,13,40,52,26
DVU1084,33,51,49,36,65,53,69,40,55,70,74,36,15,53,44,24
DVU1085,25,38,39,37,56,49,67,29,48,71,52,33,11,43,45,22
DVU1086,25,38,39,28,49,70,83,36,49,87,68,41,7,43,55,31
DVU1087,17,43,42,45,65,95,97,65,50,118,86,53,15,66,82,41
DVU1088,6,8,10,12,13,12,16,7,14,20,20,8,3,8,16,3
DVU1089,107,187,127,96,202,252,318,146,183,277,195,122,26,202,136,63
DVU1090,50,71,61,46,86,98,129,56,77,109,79,43,14,91,40,23
DVU1091,34,62,49,36,64,94,149,60,71,135,93,65,11,76,74,33
DVU1092,33,59,45,59,96,119,123,111,47,139,111,97,19,132,116,55
DVU1093,14,35,21,28,43,48,54,29,32,50,48,29,8,41,37,13
DVU1094,50,103,59,45,91,131,173,87,95,153,114,61,20,95,78,27
DVU1095,49,85,61,41,92,121,151,68,74,142,79,50,20,84,55,18
DVU1096,36,60,52,41,66,82,101,42,72,91,77,34,15,58,44,31
DVU1097,15,43,32,26,42,59,103,30,45,90,78,55,14,42,55,20
DVU1098,31,52,48,28,71,63,67,41,45,86,66,32,11,41,49,12
DVU1099,10,30,23,18,32,53,50,22,29,51,40,22,10,23,29,4
DVU1100,51,87,77,61,128,132,164,65,72,188,165,83,25,82,102,35
DVU1101,11,39,21,27,42,53,89,34,35,84,78,34,10,42,43,14
DVU1102,26,75,56,34,92,124,141,50,61,151,131,58,11,57,74,13
DVU1103,16,29,23,13,28,37,52,26,33,45,41,22,4,32,25,8
DVU1104,29,55,28,26,60,71,85,28,38,92,83,38,11,26,55,6
DVU1105,19,54,32,18,55,83,105,40,42,106,89,43,6,40,55,13
DVU1106,21,40,30,8,34,53,69,30,43,63,58,28,1,30,35,8
DVU1107,66,120,104,74,159,185,263,157,118,298,277,115,21,161,164,60
DVU1108,8,31,18,13,35,48,34,13,22,31,21,13,5,20,14,6
DVU1109,115,68,50,100,72,34,38,54,77,38,40,43,69,58,70,96
DVU1110,20,37,27,17,35,34,49,19,36,45,47,19,10,21,24,6
DVU1111,52,117,67,42,115,181,207,87,84,206,187,91,27,86,107,29
DVU1112,13,29,24,8,29,42,46,19,28,52,42,10,3,13,21,1
DVU1113,15,35,21,13,35,60,72,26,29,74,45,30,6,24,40,11
DVU1114,19,30,28,17,35,32,48,20,33,51,52,17,7,22,25,4
DVU1115,13,36,21,14,33,49,52,20,31,45,30,25,7,24,28,3
DVU1116,38,68,48,37,84,104,112,52,53,120,87,46,15,60,60,11
DVU1117,11,25,14,8,27,46,41,25,14,46,27,13,5,22,19,4
DVU1118,36,51,72,21,71,130,106,43,63,120,85,37,9,49,43,14
DVU1119,46,76,82,38,95,136,133,76,81,159,141,48,20,69,73,28
DVU1120,56,107,75,49,102,174,178,97,108,190,154,60,21,80,105,36
DVU1121,52,28,52,26,51,32,40,35,42,65,43,30,13,33,45,33
DVU1122,46,88,74,52,90,118,170,81,104,178,164,80,20,75,118,26
DVU1123,24,34,30,10,27,59,74,36,43,79,52,26,5,24,43,3
DVU1124,8,15,18,6,17,21,27,15,18,33,18,10,3,11,17,5
DVU1125,23,35,28,20,40,39,46,26,38,58,36,18,5,19,40,2
DVU1126,9,18,6,8,16,41,38,23,12,47,22,13,4,12,28,8
DVU1127,15,24,25,12,27,36,51,26,26,60,26,19,7,20,30,9
DVU1128,18,41,23,24,51,78,71,32,27,88,70,35,9,25,57,16
DVU1129,5,16,14,10,14,38,33,38,18,41,40,19,8,28,31,15
DVU1130,16,25,26,18,24,50,46,27,34,56,40,23,11,16,41,11
DVU1131,10,21,19,18,30,24,38,19,22,46,37,16,6,20,27,12
DVU1132,27,30,26,19,36,49,62,28,38,64,32,20,2,32,33,11
DVU1133,19,25,27,18,32,36,54,14,31,50,50,30,7,25,30,10
DVU1134,15,15,13,8,12,18,38,16,22,38,34,15,1,13,25,4
DVU1135,14,13,13,11,19,12,23,11,15,29,29,11,3,11,19,6
DVU1136,29,28,41,26,44,45,49,19,48,56,43,16,3,28,30,7
DVU1137,9,11,14,5,10,16,23,10,17,25,20,6,2,7,12,1
DVU1138,30,38,38,21,45,69,65,29,43,77,59,29,9,24,46,10
DVU1139,24,44,44,24,57,68,87,34,49,99,81,29,5,35,47,10
DVU1140,70,144,126,71,158,211,264,111,150,280,194,73,33,109,113,46
DVU1141,18,28,25,16,31,40,34,33,29,45,22,20,9,25,35,21
DVU1142,15,13,19,11,16,11,32,12,25,32,23,15,2,15,21,7
DVU1143,28,29,24,13,28,31,42,28,33,52,35,16,5,17,35,9
DVU1144,49,38,52,47,55,45,52,46,63,64,56,35,18,51,59,37
DVU1145,11,3,14,9,6,7,9,6,13,15,15,5,7,3,10,7
DVU1147,87,52,70,105,82,51,52,90,61,80,81,90,84,92,109,193
DVU1148,79,53,65,84,64,37,55,66,65,66,44,58,72,66,70,102
DVU1150,17,26,20,17,29,26,33,32,24,36,38,24,11,32,31,17
DVU1151,4,6,5,15,7,2,9,10,10,8,7,13,9,12,17,18
DVU1152,25,41,25,23,35,44,49,44,44,52,66,34,11,35,55,31
DVU1153,4,8,8,4,12,11,11,5,7,14,3,5,2,6,6,4
DVU1154,4,12,9,8,16,12,14,4,11,16,9,3,2,6,7,4
DVU1155,4,12,2,13,14,4,4,5,4,6,2,4,8,5,9,8
DVU1156,92,115,91,88,138,81,108,87,115,106,89,47,40,112,70,60
DVU1157,150,211,150,155,255,266,302,240,182,320,245,140,79,266,190,106
DVU1158,5,11,17,14,23,22,31,19,15,39,32,21,3,23,28,11
DVU1159,9,10,3,13,13,17,7,9,8,9,7,4,6,10,10,11
DVU1160,32,62,27,47,77,74,91,85,35,98,80,58,24,93,73,57
DVU1161,26,15,12,20,20,9,12,12,21,13,13,9,6,16,19,7
DVU1162,12,19,10,11,21,16,13,11,15,16,8,4,4,10,12,9
DVU1163,28,64,50,80,110,91,107,99,57,117,131,57,27,135,74,47
DVU1164,55,74,54,42,85,103,89,56,61,92,77,50,23,64,61,18
DVU1165,31,67,63,44,70,87,145,72,78,153,171,83,25,67,107,56
DVU1166,29,8,8,14,11,6,7,7,11,6,3,6,9,11,8,8
DVU1167,35,16,27,61,19,6,18,24,42,17,29,43,43,28,57,71
DVU1168,11,22,13,25,34,33,34,23,21,37,37,29,6,32,39,20
DVU1169,102,183,130,115,221,184,260,110,162,247,202,109,45,161,128,55
DVU1170,8,6,12,16,10,17,19,9,20,14,11,8,3,18,12,5
DVU1171,5,4,7,5,5,7,6,5,7,7,4,9,4,5,10,5
DVU1172,12,12,5,14,14,5,3,10,6,5,1,5,11,10,8,16
DVU1173,20,55,45,55,82,109,161,121,53,197,178,112,20,112,156,80
DVU1174,21,32,22,19,27,32,42,19,33,33,28,13,12,23,16,5
DVU1175,19,30,13,22,31,52,52,23,24,53,32,13,11,23,24,15
DVU1176,22,30,40,29,43,46,45,30,42,54,44,30,13,34,42,13
DVU1177,33,59,31,37,57,44,66,30,54,56,53,26,17,38,38,23
DVU1178,7,11,7,12,14,8,3,8,3,8,2,5,12,6,7,6
DVU1179,67,97,90,75,120,154,182,89,113,172,163,97,29,122,110,50
DVU1180,5,13,9,12,15,13,27,12,14,25,25,9,4,16,13,12
DVU1181,36,71,45,51,85,119,103,71,67,108,64,44,15,80,71,40
DVU1182,24,65,39,47,77,86,94,53,61,92,55,43,12,67,64,35
DVU1183,35,89,56,51,115,129,127,79,72,135,90,50,9,97,74,39
DVU1185,11,17,9,25,23,33,46,44,19,43,49,35,9,53,42,21
DVU1186,41,48,48,33,46,66,90,45,71,81,63,33,11,52,48,27
DVU1187,9,40,31,28,31,70,94,59,60,97,83,51,9,47,82,33
DVU1188,2,9,10,11,14,26,25,9,11,26,15,18,5,13,20,7
DVU1189,21,51,44,48,74,93,110,104,50,122,111,85,19,115,103,49
DVU1190,65,136,143,112,164,192,313,172,184,316,274,159,42,197,204,107
DVU1191,121,190,145,103,209,247,277,137,200,255,189,106,29,178,139,45
DVU1192,9,24,10,12,18,34,36,11,25,27,28,16,3,14,22,13
DVU1193,25,49,29,25,44,42,66,51,47,71,63,34,11,41,58,21
DVU1194,50,71,48,32,80,122,114,78,59,122,81,44,13,79,62,51
DVU1195,18,40,27,22,36,42,56,30,35,50,42,28,17,32,31,12
DVU1196,110,183,125,82,187,232,273,155,165,264,165,124,37,168,156,63
DVU1197,23,25,22,19,30,40,59,30,29,54,37,15,7,40,17,14
DVU1198,20,27,29,17,42,45,57,25,26,60,27,21,4,37,22,11
DVU1199,61,80,72,53,95,117,138,59,95,127,83,56,14,85,69,25
DVU1200,25,47,29,27,48,56,77,31,44,61,62,38,10,48,38,21
DVU1201,31,87,36,39,82,127,147,57,66,133,95,58,13,66,75,21
DVU1202,18,32,23,26,37,51,52,40,28,64,37,24,15,33,42,8
DVU1203,43,87,67,45,107,136,146,58,73,131,88,61,18,93,53,32
DVU1204,53,86,61,59,109,119,132,60,81,125,97,55,15,90,69,36
DVU1205,22,13,21,12,16,15,19,11,27,13,9,11,2,20,12,7
DVU1206,37,44,31,28,53,67,92,40,42,82,64,38,8,59,39,19
DVU1207,24,77,34,35,77,100,120,55,58,113,82,47,10,62,65,33
DVU1208,59,56,58,31,72,89,115,58,60,101,85,63,13,88,51,38
DVU1209,8,10,12,4,13,27,19,7,8,21,11,13,4,8,12,2
DVU1210,22,21,33,15,22,46,53,34,41,52,49,38,5,36,46,23
DVU1211,13,9,18,4,17,20,19,9,12,21,8,18,2,15,14,10
DVU1212,8,31,18,20,35,48,60,46,24,62,42,32,10,48,40,36
DVU1213,12,34,32,33,45,74,115,70,40,107,122,85,15,89,84,56
DVU1214,56,140,85,67,162,274,231,162,98,269,152,102,31,146,154,63
DVU1215,13,40,24,36,58,61,53,49,21,63,49,35,21,57,42,34
DVU1216,5,8,14,19,23,25,19,7,11,26,13,13,6,15,18,2
DVU1217,23,61,44,61,88,102,145,98,59,157,150,99,19,113,126,64
DVU1218,11,15,19,16,22,25,29,11,23,28,29,17,5,19,20,10
DVU1219,57,144,80,75,148,247,248,141,126,248,211,100,25,145,146,54
DVU1220,23,43,36,40,53,78,87,41,52,95,73,46,14,43,70,30
DVU1221,9,15,15,12,21,24,21,10,17,25,21,12,5,12,18,8
DVU1222,17,25,21,23,25,45,58,31,40,61,42,32,4,28,54,21
DVU1223,45,118,70,51,109,191,163,115,106,164,130,53,24,105,90,34
DVU1224,21,42,40,37,52,73,90,42,53,94,93,51,14,48,68,30
DVU1225,17,38,32,14,37,44,46,22,39,47,26,22,8,20,30,10
DVU1226,5,4,5,3,3,1,8,7,7,12,13,7,3,2,12,3
DVU1227,8,1,4,5,5,9,9,4,5,11,19,10,0,6,13,4
DVU1228,28,41,26,19,39,41,52,34,32,49,37,26,14,35,30,15
DVU1229,26,9,8,15,17,5,7,2,8,6,5,8,8,11,7,19
DVU1230,5,7,6,4,8,3,8,5,8,11,8,9,2,3,14,9
DVU1231,27,54,35,54,68,91,125,81,51,134,124,90,24,86,115,49
