,SOCN_Schneider.lag1,SOCN_Schneider.lag2,SOCN_Schneider.lag3,SOCN_Schneider.lag4,SOCN_Schneider.lag5,SOCN_Schneider.lag6,SOCN_Schneider.lag7,SOCN_Schneider.lag8,SOCN_Schneider.lag9,SOCN_Schneider.lag10,SOCN_Schneider.lag11,SOCN_Schneider.lag12,SOCN_Schneider.lag13,SOCN_Schneider.lag14,SOCN_Schneider.lag15,SOCN_Schneider.lag16,SOCN_Schneider.lag17,SOCN_Schneider.lag18,SOCN_Schneider.lag19,SOCN_Schneider.lag20,SOCN_Schneider.lag21,SOCN_Schneider.lag22,SOCN_Schneider.lag23,SOCN_Schneider.lag24,SOCN_Schneider.lag25,SOCN_Schneider.lag26,SOCN_Schneider.lag27,SOCN_Schneider.lag28,SOCN_Schneider.lag29,SOCN_Schneider.lag30,SOCN_Grantham.lag1,SOCN_Grantham.lag2,SOCN_Grantham.lag3,SOCN_Grantham.lag4,SOCN_Grantham.lag5,SOCN_Grantham.lag6,SOCN_Grantham.lag7,SOCN_Grantham.lag8,SOCN_Grantham.lag9,SOCN_Grantham.lag10,SOCN_Grantham.lag11,SOCN_Grantham.lag12,SOCN_Grantham.lag13,SOCN_Grantham.lag14,SOCN_Grantham.lag15,SOCN_Grantham.lag16,SOCN_Grantham.lag17,SOCN_Grantham.lag18,SOCN_Grantham.lag19,SOCN_Grantham.lag20,SOCN_Grantham.lag21,SOCN_Grantham.lag22,SOCN_Grantham.lag23,SOCN_Grantham.lag24,SOCN_Grantham.lag25,SOCN_Grantham.lag26,SOCN_Grantham.lag27,SOCN_Grantham.lag28,SOCN_Grantham.lag29,SOCN_Grantham.lag30
DVU1101,79.251698,72.900431,76.278804,76.795783,78.203474,74.720118,74.173054,77.867316,79.562742,71.882336,77.822575,78.33137,82.816105,78.10134,77.042613,80.564859,80.689932,74.581341,79.337953,81.823352,81.252866,83.533081,74.926765,78.484751,72.450557,73.912781,72.500659,77.165644,65.485966,71.872078,2146272,2083564,2117585,2075306,2054836,2130475,1959345,2022587,2086808,1880837,2013238,2144721,2079029,1981918,2068457,1975055,1993850,1854152,1923786,2108977,1978785,1926360,1913051,1923500,1810560,1889950,1835512,1936103,1720183,1848849
DVU1102,147.631502,125.265556,143.89915,122.273695,134.518811,125.183915,137.481024,133.190054,134.506616,137.903942,132.707055,133.623105,130.04484,121.601339,129.862807,131.043601,131.454653,130.017607,122.442177,124.846989,128.791409,123.136229,131.528858,120.030448,139.592921,121.604086,129.093546,122.65788,126.693391,126.327727,3578560,3184985,3416611,3082282,3361954,3253113,3340605,3342518,3402726,3383531,3272499,3368051,3255733,3116593,3213467,3089487,3159546,3084014,3123447,3063065,3024655,3122365,3221321,3049886,3184814,3192487,3227509,3085037,3079965,3180409
DVU1103,59.46013,53.548115,60.324006,50.674266,56.523438,53.730435,52.835506,49.608748,49.308286,55.548703,54.858851,47.464813,48.160306,49.650602,49.058529,44.141276,49.292338,54.371849,51.636599,44.22825,46.672227,48.895317,47.654514,41.210811,47.719228,48.357947,49.232643,46.988803,41.711227,48.417287,1458980,1396173,1603236,1311554,1460955,1433749,1380049,1257622,1176692,1265547,1353458,1359061,1219825,1271401,1208362,1178419,1213484,1342207,1269706,1094220,1218963,1195806,1207506,967136,1138770,1209105,1214051,1244696,1137561,1164411
DVU1104,83.103255,81.800939,79.004178,80.41116,83.997534,74.855261,81.644012,78.287321,78.109823,75.548929,81.161915,73.769437,86.145195,74.012395,81.960806,84.492958,80.001802,77.606464,81.044592,76.0892,73.61398,80.247722,75.835028,77.226678,70.904948,77.77418,76.865193,79.189513,82.173938,68.734413,2229965,2138723,2182967,2188284,2320488,1926066,2226699,1958879,2152500,2241906,2416103,2026871,2397832,2061998,2025164,2177801,2153297,1981481,2225081,2084382,2012886,2105264,2054525,2036947,2022711,2034209,2139811,2096139,2050471,2047347
DVU1105,100.705636,97.155837,99.222879,96.441892,88.604896,98.191225,91.561486,89.589374,93.107613,91.483759,86.456327,89.687158,85.245802,93.749498,89.065665,87.436975,82.989032,89.80662,91.23802,82.186458,89.696965,86.623504,86.934018,92.252616,91.421227,87.800458,81.243332,79.950584,82.107444,80.710674,2337254,2209478,2352217,2225907,2272351,2290679,2029768,2074257,2180984,2066917,2012314,2028487,2144404,2250234,2088348,2157846,1961618,1957281,2089932,1864587,2084444,2105338,2031418,2035945,2127948,2044527,1999811,1775699,1915807,1888523
DVU1106,71.799246,70.304486,67.848081,69.055948,68.39657,71.382813,62.388474,66.861414,67.336867,68.920747,66.435706,69.714709,62.220994,69.92176,63.329991,62.344909,66.682985,59.316322,63.610084,57.21693,60.49223,64.604976,66.581414,64.953673,61.047527,64.835178,55.146501,64.805632,63.298426,57.223625,1709310,1747474,1688194,1717735,1606685,1680327,1639305,1650654,1676863,1599307,1605177,1676387,1567938,1608524,1545086,1651996,1562427,1492990,1495084,1487131,1482643,1558636,1587828,1554613,1374825,1589090,1406432,1522055,1509258,1341288
DVU1107,234.748007,241.993338,218.410926,203.247655,234.943351,228.771247,213.348412,217.135631,234.38374,221.645928,204.97579,219.599981,230.691526,201.771196,218.657949,230.100399,220.876944,201.378188,215.729513,228.660054,225.18657,213.507783,223.706655,219.473779,211.409039,223.439575,225.404931,211.080156,209.048618,216.488001,7490004,7825027,6394575,6256521,7580251,7345447,6283543,6880808,7392677,6949430,6182189,7168748,7037193,6309239,6973864,7150734,6638885,6246687,6988423,7015791,6709457,6570532,7135686,6687514,6526098,6853838,7074026,6357126,6364719,6878671
DVU1108,38.318392,39.426556,40.340221,41.247463,39.206814,38.0611,37.703134,32.204723,38.388424,35.327178,34.974955,39.846259,38.186508,35.771772,34.468249,37.127033,33.43446,33.029154,28.193013,33.980496,40.151669,33.685826,31.610864,32.972486,29.651155,32.359633,28.905763,31.442182,33.358247,28.664721,930862,884286,856319,849424,928766,845623,872424,800819,913713,842304,758781,937866,781150,852449,811260,863569,727170,834151,679097,728281,841815,729103,700171,733261,731381,703239,638613,690434,736641,535516
DVU1109,118.762271,124.02063,117.790932,115.788987,114.116755,117.281975,125.149485,125.529503,123.840462,122.098959,117.691545,113.421797,124.489039,112.778405,122.640935,116.305733,116.424189,112.688669,122.808056,118.107935,113.460413,118.809024,112.705507,118.612015,119.404424,112.777947,114.316037,113.129038,116.416496,109.744387,3559321,3696021,3423267,3695994,3652468,3595872,3693790,3418194,3518621,3462415,3396923,3421617,3455368,3252442,3439954,3295970,3328469,3290812,3502140,3348858,3320223,3187928,3328945,3516827,3406767,3387887,3385052,3121706,3384765,3375568
DVU1110,56.587246,54.641508,54.016328,54.605223,49.81774,59.397526,55.248343,56.448191,58.641526,52.428521,53.364335,50.201705,51.707255,51.117501,47.447734,49.740159,50.012095,45.174799,50.025916,45.575304,43.747984,53.071007,48.884081,47.189439,48.168975,42.099267,48.706888,48.683159,49.012887,45.692592,1639820,1393277,1473473,1552840,1294551,1542070,1448246,1424924,1467771,1398814,1394620,1334277,1395694,1433469,1166085,1423700,1346501,1238440,1371724,1078114,1169304,1336291,1202025,1198358,1333826,1163778,1306762,1254006,1208739,1256953
DVU1111,187.28656,185.24765,178.176439,168.037996,186.310235,177.151327,178.120074,165.966091,172.149228,169.580228,175.266536,170.308715,169.008011,165.037633,171.669534,175.476746,173.922521,167.151042,172.435981,173.501524,170.859873,162.625213,170.491198,167.264171,165.843084,167.035473,164.857745,168.182785,166.251485,172.642022,5164990,5250520,5018866,4767446,5172679,5188638,5099650,4878494,4820224,4716021,4826809,4847867,4902551,4640770,4758161,5024429,4754241,4933046,4913235,4984266,4889529,4531307,4818399,4805703,4505041,4665549,4553081,4825046,4628320,4867356
DVU1112,41.100379,38.286871,37.954406,36.243045,31.440527,36.23363,32.154917,34.457371,35.528417,35.855827,31.024744,35.417647,36.650672,35.110633,35.454351,31.070123,31.657201,33.480349,35.691482,32.255768,31.605736,30.637985,32.562328,34.653314,26.240951,28.357289,25.728426,33.780838,31.644851,32.601187,1123559,978272,904306,1048300,861058,978386,917081,896904,961132,890187,832991,836821,932012,909696,884251,959509,859166,876031,924973,885666,817361,788142,875309,896951,748346,822056,845967,837241,811046,826491
DVU1113,66.03576,63.528744,68.880293,61.784285,69.439665,65.328603,60.213798,61.202091,63.414551,60.838472,64.692361,53.909811,63.148006,60.38699,65.053543,54.470693,63.036752,61.824969,57.05517,56.617932,55.263683,56.226524,58.81065,56.119635,59.853342,66.079734,59.437236,57.976506,55.623545,55.956861,1517968,1543984,1544151,1367498,1515201,1530957,1419825,1503994,1500810,1400760,1522456,1422532,1608634,1423248,1429808,1307965,1528616,1379031,1444398,1360938,1282058,1316291,1432864,1357828,1359410,1408456,1409077,1385472,1317892,1247355
DVU1114,56.757285,59.537284,53.750775,56.089544,48.351834,58.562853,57.69421,52.209805,48.199894,55.970423,53.995307,47.979592,52.94597,45.716433,51.717437,52.615637,47.109469,45.076795,43.840398,46.702072,47.263095,48.686808,45.82402,48.898329,48.30311,42.97187,50.214861,44.470791,43.53639,43.13814,1351611,1395564,1281997,1243382,1162210,1285284,1188530,1229998,1099546,1363112,1238562,1123946,1224886,931271,1156730,1189785,1166928,1023577,1023585,1047942,1022746,1149051,1020122,1079810,1064984,989538,1143875,995075,1005342,992597
DVU1115,44.941029,52.635788,53.275018,53.208446,51.373724,46.715547,43.10545,43.792982,43.623924,46.903477,50.195384,50.309116,43.603369,40.1434,38.341699,37.16638,40.571103,43.776071,48.045874,42.620562,43.268527,38.107754,38.034518,39.348299,40.708854,42.403521,40.146019,36.340645,38.749902,37.01482,1192471,1349625,1192320,1257237,1305617,1211925,1028105,1235451,1165263,1241492,1186927,1257013,1192654,1014011,1174261,992424,1051196,1104869,1115004,1103701,1076666,1145961,936780,1033647,1110654,1070615,1040278,1016125,1095737,927569
DVU1116,114.561178,113.297316,102.708165,107.63125,106.24976,113.13899,107.013362,112.117209,105.991082,105.340073,110.591486,92.672212,101.889891,108.025359,103.046859,105.796772,99.188084,110.292486,106.983929,103.929503,103.832324,101.653165,101.662914,97.650065,97.415203,104.696255,99.239619,96.764365,101.631809,100.088547,3226271,3228378,2910464,3109451,3156717,3151155,2993598,3072272,2969768,2887957,3218166,2739349,2849614,3028660,2869823,2890527,2853054,3061867,2830858,2786623,2901721,2807012,2926143,2719818,2799985,2962963,2810118,2650356,2754236,3006039
DVU1117,34.81519,37.716489,35.398869,35.129808,31.705075,30.50247,37.981091,36.738268,35.041505,31.157281,33.12608,31.483838,35.040619,30.180385,32.118097,28.499298,32.814105,29.87404,28.015991,28.037073,32.522113,28.697908,28.59909,25.242766,27.089629,26.25662,30.174408,26.986104,25.413585,26.060786,1033165,1179322,1129572,1176875,1053829,966597,994615,992156,1112322,1048645,968052,951302,913339,1020149,1016575,980254,1064176,883579,906704,941255,998278,984313,974485,911525,875797,820754,910159,841209,939743,890204
DVU1118,115.315979,119.977614,110.018375,117.132987,116.817472,114.897136,105.120271,110.756582,112.600219,116.264131,114.619962,102.139234,105.667889,96.606751,107.62616,108.793147,118.072353,107.38859,113.896236,105.68335,108.12158,111.671956,102.766745,106.491278,102.873915,106.398576,92.679424,106.65007,112.44145,101.086005,2777146,2752372,2660444,2739402,2648364,2700904,2388431,2711094,2612997,2722271,2690069,2353025,2500159,2299185,2620557,2444390,2745084,2420845,2519075,2570925,2445844,2574424,2460386,2585673,2396242,2527532,2245375,2390463,2665881,2330107
DVU1119,162.325342,172.56114,164.814319,172.120542,164.822138,158.282446,160.993796,162.711775,152.830298,163.084423,154.537219,158.034772,155.379471,155.540937,161.727694,156.119105,151.630066,148.505067,170.354169,159.000764,156.217523,160.81579,147.759846,152.375764,150.250634,148.916006,152.585509,156.696237,160.925695,140.906282,4156295,4194094,3967880,4310952,3948922,3936128,4239692,3815874,3773189,3991360,3695014,4047800,3840801,3812729,3958563,3878503,3703710,3796679,3998456,3913910,3794492,3837892,3745470,3685970,3753326,3595814,4028590,3781195,3918290,3386971
DVU1120,199.58919,203.816059,201.539536,188.324152,192.792816,197.653756,187.418398,195.385102,206.613671,183.546612,196.323398,185.006882,200.851315,194.918117,193.644584,193.34424,190.495401,190.582691,192.064205,194.710277,200.6841,189.444149,186.162759,187.527398,181.988669,185.915249,195.901331,192.772398,173.964406,184.224587,5097312,5119860,5170834,4961992,4929861,5047952,4597889,4944097,4918029,4629214,4988369,4871520,4991485,4906866,4849072,4734911,4606467,4869663,5006689,5007514,4837420,4807936,4731115,4600818,4783652,4756578,5001760,4788165,4547233,4619482
DVU1121,68.403792,60.513829,68.802498,65.091654,71.463462,64.926632,69.462518,69.138364,66.030943,68.432757,67.529411,64.863085,64.402019,61.440068,68.91069,66.145216,73.707413,65.553061,67.112942,69.112321,66.238136,70.21543,66.24819,68.626559,59.365859,64.277112,61.986592,65.199943,66.697658,57.925785,1902933,1868602,1824855,1832852,1835298,1661568,1879801,1699384,1701940,1810295,1832142,1733071,1720594,1739189,1695196,1766195,1708696,1667194,1717459,1708380,1559256,1811666,1687963,1689863,1510056,1710759,1580274,1746168,1657584,1558863
DVU1122,199.402666,201.395605,199.199671,193.059563,195.758958,200.465756,190.783393,187.690356,187.765361,185.262948,192.518422,188.856664,186.898286,192.473829,185.131366,200.00599,187.446537,194.471875,194.763586,186.753464,184.361856,187.284739,191.209955,179.35191,188.299959,192.05304,179.67103,181.404661,181.566387,189.15196,5016429,5194834,5354736,4806512,5140536,5114153,5037770,4789390,4924827,4785680,4988660,4735885,5033546,4782688,4748233,4821098,4878846,4996121,5060086,4920283,4935274,4716429,4791012,4513062,4829976,4972975,4858512,4610484,4734278,4828963
DVU1123,78.208594,74.576148,71.631963,77.802876,66.904699,66.670964,68.204295,74.906369,69.575664,70.009578,73.966923,61.766397,72.134255,60.095023,73.52417,72.952128,71.151165,68.873254,57.823511,66.905456,61.196298,62.293321,60.94166,62.915894,66.781733,62.220842,69.940551,61.99797,63.165004,62.943163,1996507,1826659,1659095,1787976,1809831,1597709,1711944,1802905,1684931,1573098,1808007,1515022,1759324,1485703,1787055,1719545,1696371,1642964,1597119,1546523,1453708,1486922,1506877,1536679,1610639,1476019,1732809,1474392,1500070,1444442
DVU1124,33.890717,35.115324,35.848462,34.21457,33.166271,31.083453,27.036139,30.615608,30.111826,31.940496,25.280618,30.687797,26.349017,30.842467,28.027316,24.167945,22.511742,24.549369,28.121623,22.871351,26.098461,21.071886,24.868376,28.908056,27.078901,22.581827,21.680373,18.885509,17.582687,17.710241,834726,837167,730421,769800,737662,685961,665874,751424,721931,686107,601723,764828,581852,649888,673329,552683,547858,669062,588441,580362,627177,507921,572246,585673,590014,574599,487313,434025,472070,473167
DVU1125,54.563007,61.930223,46.078012,51.803074,57.196127,48.887168,48.341136,53.254846,52.923717,51.026142,45.827595,52.710885,52.902681,47.269583,51.702485,56.021309,44.486766,49.723299,48.5789,48.658009,47.922166,44.431994,49.767363,48.33214,43.50908,48.182626,49.777568,49.774176,49.176915,53.674577,1437251,1705955,1272763,1288680,1476469,1493546,1323750,1260783,1378256,1419947,1281608,1224966,1291171,1264502,1361641,1465928,1228982,1272297,1258163,1290734,1184644,1055622,1315660,1236933,1103696,1175456,1237363,1194751,1194497,1240767
DVU1126,26.808993,27.733197,23.227844,24.710337,28.218855,24.952564,20.292114,28.218428,24.937887,20.726163,23.746432,23.216706,22.779698,23.769082,26.128454,20.561153,19.870278,22.582236,20.953706,21.340342,22.66167,22.950521,20.225602,21.31169,20.72948,17.461625,18.454861,20.59283,15.927754,18.670851,984776,1062499,983482,946748,957515,925347,883899,1038386,867170,809227,926801,857507,860348,860347,835218,797393,790803,733970,766337,836191,747479,795697,671901,801767,751231,733270,770386,647351,628574,656659
DVU1127,53.939759,47.900001,48.218887,43.427823,53.619423,43.223645,49.751416,48.605963,48.633757,42.436089,45.087033,44.776273,44.35196,48.393068,48.519013,41.868824,49.793964,41.543131,45.598251,42.718048,47.089882,37.171879,46.056364,38.373269,41.977043,39.461256,41.307342,40.926316,38.542017,38.02332,1401900,1443365,1232686,1104550,1381626,1149866,1210733,1281004,1318047,1115216,1223393,1234319,1131773,1270569,1265146,1159699,1160681,1038119,1204378,1193284,1144899,984621,1164159,1083869,995102,1029310,1255039,1049483,936417,1069987
DVU1128,73.570655,70.141086,69.805345,74.462348,69.129407,63.250561,68.099668,69.529799,72.65058,76.483321,66.871109,69.955675,69.475645,70.847797,72.713364,77.269271,70.102225,67.051047,63.937903,68.371672,67.163721,70.408585,70.703648,72.571378,62.706846,60.416818,60.600033,64.421135,65.661566,68.295486,2170576,2068702,2145388,2103261,2132859,2019644,2153744,2137979,2201670,2185277,2023625,2049222,2133442,2136967,2108024,2056571,1938274,2052941,1693238,2100396,1979309,1920607,1941911,1936169,1864752,1797612,1644867,1851364,1847240,1880176
DVU1129,35.689472,37.702196,36.782322,37.5399,41.338264,38.472002,37.830215,35.921097,32.664453,34.335222,38.371383,39.628098,35.621846,37.824095,34.223102,33.819753,32.431219,29.323784,33.843303,34.690438,33.827048,36.487805,34.913565,32.466314,32.17062,32.833059,34.406468,29.604666,33.143022,33.057548,1234469,1273806,1234215,1255461,1324689,1222663,1188776,1223142,1082498,1058424,1173961,1314666,1212248,1167912,972934,1131980,1092212,1048231,1198387,1155395,1186943,1236254,1007154,984735,1037692,1013990,1145001,999016,1058115,1038588
DVU1130,58.600609,58.713345,56.492514,57.27753,59.323976,58.684508,51.728217,53.737937,56.541321,53.369281,53.510069,46.896508,58.272604,53.245615,49.350977,53.607749,51.824365,52.817536,46.675831,55.647109,47.125772,47.01677,48.000066,45.284504,47.130193,43.339284,51.312707,48.387818,50.863205,44.735624,1701276,1727269,1627383,1538906,1813170,1665918,1393427,1428556,1538369,1559312,1598246,1469184,1715900,1469897,1532761,1454008,1547793,1475750,1389145,1472430,1492332,1346755,1333298,1408369,1431473,1307587,1316745,1449972,1477684,1322201
DVU1131,42.818551,49.210973,46.651689,41.317698,47.57503,38.210274,41.425604,40.355628,39.827401,39.446191,38.896296,45.985157,41.621528,42.012331,40.644556,34.855808,34.807533,39.593718,36.566704,37.908414,36.591551,36.952503,34.470277,38.401326,32.897053,32.56392,29.406116,34.07198,31.851686,33.875347,1302812,1406513,1124396,1229737,1270233,1164647,1217686,1072210,1262108,1201998,1087271,1269514,1103060,1162851,1219735,1092467,1214285,1109742,1068646,1168377,1015442,1142248,1020515,942640,1021560,1014450,898650,986515,973452,900124
DVU1132,71.279968,76.430729,77.166811,73.860922,65.71367,71.548695,64.322142,73.030271,67.078698,74.738926,67.157702,63.809312,67.667447,70.505951,65.547132,64.696684,65.69941,61.111601,70.305093,66.672496,64.08084,61.750213,59.736092,68.020493,64.3904,67.795239,64.393898,55.751994,55.312079,58.790843,1613900,1655075,1665697,1682014,1569002,1733934,1373949,1591593,1625128,1577279,1524539,1486115,1483659,1607405,1550305,1536884,1545514,1456498,1460184,1526649,1368221,1467521,1349118,1482402,1519559,1496806,1506314,1290450,1346773,1336358
DVU1133,59.914344,65.269818,61.007577,57.830378,65.710755,54.418988,52.025926,59.84897,51.84131,53.592149,59.413772,58.833825,53.004138,53.04384,51.918826,53.125654,55.663003,52.68031,51.639781,50.723939,54.258236,57.234852,50.669246,54.268774,48.401265,49.212106,50.365525,56.100986,46.664945,43.68726,1365531,1431540,1477259,1443926,1477869,1321278,1327154,1400770,1284927,1358232,1419927,1309043,1237994,1194861,1121153,1214402,1207369,1199227,1169108,1171002,1275912,1268141,1161891,1180707,1066278,1153770,1204130,1265779,1069114,1063335
DVU1134,37.53818,45.647189,31.372918,35.797537,40.888666,35.903821,35.300976,33.357373,34.373935,35.16755,34.041806,30.761124,31.636767,40.796455,37.005515,29.458724,34.408162,37.257391,26.667686,23.122427,35.074792,31.899043,25.695058,32.306414,25.281544,23.087841,31.593407,25.543482,23.639414,29.471094,951874,979254,747622,829522,966334,752633,826610,784062,787956,766458,800608,752085,737177,809178,832411,668711,793364,820654,644713,640318,759722,640143,625168,721857,611819,566905,611211,602176,605551,641054
DVU1135,39.770428,38.448247,33.349485,28.1278,31.625016,33.38431,33.061837,28.887869,35.898761,28.688064,24.929758,30.702055,31.499471,25.380215,22.669875,27.862716,27.743162,25.822417,20.371327,26.252863,31.136034,19.697285,26.172103,23.990642,23.535115,21.522718,23.647569,20.673552,22.406352,18.084042,821261,750579,771913,652045,656383,672938,682399,688920,706479,621983,537955,652712,634414,534342,476655,619741,523060,590141,456842,608571,578615,468449,534129,515514,455219,486282,511559,428419,440646,402354
DVU1136,66.686832,68.868683,66.113504,71.694822,64.083393,73.653544,74.760517,66.499301,67.460676,65.373583,66.48758,63.48216,56.252928,62.940272,62.211356,64.119758,60.006456,57.129666,58.476982,60.1218,62.759147,52.80088,59.844885,60.171669,57.6566,60.916669,59.964498,59.793266,61.821494,52.059507,1758795,1525595,1547850,1574704,1504974,1617189,1517613,1571716,1483057,1374459,1433591,1357893,1405898,1346169,1455667,1418203,1466050,1375603,1381666,1408066,1352125,1219819,1284356,1313935,1317256,1335629,1350019,1328840,1509627,1194231
DVU1137,20.916044,22.298808,22.724686,24.584724,22.026668,23.431409,21.267691,23.138332,19.512446,17.255327,15.559519,14.950772,17.446346,13.409853,16.962656,18.07129,17.619031,15.791838,16.438064,17.119976,14.806604,13.465907,14.049464,10.659509,13.099592,12.746404,13.40708,13.794076,9.551273,11.777583,586179,581680,555543,525673,597272,587612,572560,638396,546778,484138,480855,477045,519037,369505,454062,465567,511871,417173,478532,481421,498945,352729,439205,357006,380296,384878,400830,385171,312860,359507
DVU1138,84.805414,81.117085,76.297329,85.90897,89.814921,84.613155,79.403125,82.144872,82.711721,82.470707,83.523861,90.04455,75.77846,78.29284,79.819443,69.514863,66.654232,71.706815,75.715295,69.182075,77.197162,76.459628,77.719945,67.822881,74.747618,75.795315,74.897478,79.429416,82.487889,72.00208,1913073,1932510,1811520,2089297,2048140,2081440,1900211,2020482,1979127,2026554,2030187,2042620,1873258,1732286,1851198,1641220,1687516,1594336,1666029,1645549,1697746,1662639,1711497,1692930,1758292,1957885,1749865,1814350,1785807,1771720
DVU1139,101.937921,101.956077,85.041002,95.453446,95.83474,88.344518,95.948209,91.59667,93.316638,91.84058,90.746282,93.714857,94.070296,94.674887,97.391898,89.41002,88.411626,96.154639,90.04231,86.071742,90.744423,88.635964,83.787511,85.55121,88.438579,84.006062,80.997289,91.498064,84.653251,82.870455,2316194,2462505,2045985,2469229,2318625,2152362,2271880,2250745,2148449,2254439,2188290,2123388,2297146,2165351,2197261,2113976,2136133,2093366,2070207,2164507,2236991,2062008,2089407,2049161,2136594,1946238,2012304,2107112,2082392,2096315
DVU1140,282.260414,291.708338,286.432012,292.180849,286.52223,274.714435,289.156857,265.321055,286.177389,273.542053,278.120633,286.149604,283.949866,275.784942,271.639328,267.459803,274.787245,287.942146,287.797031,280.188496,268.952676,275.818608,267.78116,282.439443,272.736017,263.910178,275.103295,275.903871,260.538958,272.752303,6791382,6960729,6696223,7181808,6794197,6693999,6730935,6609394,6697015,6614083,6644067,6697806,6522158,6497652,6405772,6368867,6585433,6982798,6788470,6645863,6427609,6425850,6666494,6708067,6358677,6459157,6501853,6344120,6357762,6364022
DVU1141,51.772316,43.723303,48.765142,49.124427,45.583583,46.71188,51.296307,43.712841,52.545161,40.505424,48.746729,44.202005,45.168921,44.378061,44.053027,42.678308,44.419844,41.100862,47.323697,46.504646,46.688599,45.746421,38.995892,44.767841,39.17279,43.207928,38.626235,39.909498,39.200969,45.19342,1206955,1431695,1344506,1211659,1248652,1206565,1274402,1268340,1285681,1124132,1225588,1225749,1211686,1227681,1226204,1026340,1012593,1146396,1108653,1217269,1249654,1069755,1028598,1141902,1083769,1241038,1014598,961811,1042097,1171430
DVU1142,33.296547,30.839641,34.664784,31.927061,33.313181,26.469844,32.534619,29.869996,31.51209,26.264883,30.257915,32.629555,30.249995,29.647063,30.125805,24.947196,29.458096,31.079746,29.113714,22.910455,26.29696,24.65463,27.077525,29.188116,25.221306,24.838331,24.809956,22.651507,22.889119,21.144798,872797,867321,885592,827081,768461,828812,837742,843854,725423,742105,739170,888475,712913,644324,743946,643712,736113,617904,662992,599542,700805,619446,582761,660968,584297,706692,556638,557094,608429,606589
DVU1143,46.657728,55.326567,55.728429,47.046616,47.678258,54.225373,51.683203,54.021793,54.16056,53.869453,50.372303,45.925958,50.192607,50.281882,46.204897,45.270871,47.387286,48.46583,45.087262,48.408406,52.054872,48.615002,45.0697,44.853853,45.656567,44.487922,45.305629,41.776294,48.288313,44.845514,1319150,1360075,1365263,1337855,1279017,1377300,1303543,1406593,1442651,1413022,1352083,1286852,1338190,1265723,1199999,1083501,1148419,1184990,1127725,1230894,1116032,1194399,1206039,1120187,1152883,1178759,1133704,1145666,1223937,1181772
DVU1144,97.340132,91.329977,100.885458,91.458706,94.319963,85.936269,90.073096,94.533009,99.867858,87.122055,93.898641,82.664225,90.618946,93.956961,85.817544,87.833941,88.286743,85.749039,83.651325,86.402468,90.824752,80.361072,84.954481,88.404362,88.145723,81.869156,90.650402,80.673277,82.597643,78.197849,2544929,2395266,2615869,2535480,2591340,2459797,2386608,2361625,2436965,2476134,2566725,2375700,2413054,2592783,2318589,2424747,2337503,2443323,2250925,2290354,2285683,2430729,2207071,2289368,2244622,2284628,2317075,2137331,2290742,2010133
DVU1145,17.159405,15.62358,18.535246,18.712539,16.54835,18.24573,19.673667,15.901744,19.749519,13.98735,14.486391,14.5721,14.631318,13.534429,13.43232,7.010503,11.421576,9.614289,11.936985,11.420137,9.448218,11.54443,10.840567,9.220253,12.340841,8.003853,8.373267,9.132744,7.971479,9.418699,446601,390078,376517,452558,358211,430080,410644,387691,421396,370595,390192,349034,371998,336033,304054,218153,294289,287825,263709,263440,198903,271178,228017,189179,247171,178078,170977,191921,136603,152371
DVU1147,129.225751,135.571543,128.404233,130.796179,134.209986,137.830891,130.821417,140.40917,137.689754,136.028542,143.220524,138.802948,134.086759,135.045163,136.943673,132.651382,135.105449,136.091071,136.63252,135.248774,136.459597,134.602562,131.305265,129.269607,126.352731,135.894428,122.852475,130.438975,134.999118,132.584396,4506352,4550509,4203530,4525448,4626944,4613565,4375604,4699667,4540486,4602155,4769485,4698956,4578441,4445780,4751537,4504823,4580603,4543979,4573968,4500290,4502821,4430598,4389132,4220038,4196773,4294969,4174654,4358111,4554433,4444642
DVU1148,127.752093,137.647571,121.74234,131.611465,125.053384,129.559269,125.015417,117.549893,118.816794,125.380836,120.020882,126.53053,132.369265,122.438958,123.175146,128.491782,123.677884,119.078091,113.140287,117.423139,124.964726,115.799976,119.474798,126.307692,125.941726,120.244192,115.078949,116.064259,119.957534,116.241061,3488818,3885800,3529510,3637180,3623656,3699960,3376854,3427934,3500472,3420166,3172041,3383204,3489786,3445277,3305850,3511480,3491818,3328761,3156661,3446398,3219982,3204133,3298548,3318348,3580469,3262510,3228666,3308117,3344398,3241323
DVU1150,45.474086,46.294199,48.160655,51.283195,46.604865,49.724774,43.534145,42.237016,44.087321,45.830049,39.972756,43.525207,42.516819,42.513552,39.705978,39.063761,41.862576,36.979312,41.969582,43.205983,39.401695,40.612904,40.631948,40.402511,41.839307,38.48589,40.200441,40.740331,41.071623,36.955792,1278583,1330126,1290288,1423848,1280397,1222397,1140841,1185190,1165613,1315916,1133158,1179740,1091961,1113603,1069310,1094813,1256608,953207,1156548,1100329,985558,1054007,1007450,1061213,1164530,1098108,946443,1072167,1056349,994886
