C3s,A3s,G3s,CAI,CBI,Fop,Nc,GC3s,GC,L_sym,L_aa,Gravy,Aromo,X
DVU0854,0.58,0.1339,0.4,0.287,0.242,0.556,40.06,0.787,0.614,169,176,-0.198295,0.073864,NA
DVU0855,0.6711,0.1357,0.3431,0.303,0.283,0.593,36.82,0.814,0.627,349,367,-0.393733,0.092643,NA
DVU0856,0.633,0.1514,0.3419,0.298,0.249,0.562,37.14,0.785,0.62,317,330,-0.101212,0.081818,NA
DVU0857,0.7226,0.0934,0.3383,0.359,0.335,0.613,29.71,0.829,0.618,380,393,-0.487023,0.081425,NA
DVU0858,0.544,0.1272,0.4157,0.232,0.143,0.486,41.84,0.8,0.636,210,227,-0.039648,0.101322,NA
DVU0859,0.5376,0.1175,0.3757,0.251,0.215,0.537,43.51,0.775,0.657,471,491,-0.146232,0.071283,NA
DVU4019,0.4872,0.1876,0.3151,0.205,0.102,0.463,47.5,0.696,0.66,510,528,-0.242614,0.054924,NA
DVU0861,0.564,0.1632,0.2841,0.251,0.2,0.522,44.85,0.728,0.646,360,372,-0.095161,0.072581,NA
DVU0862,0.5079,0.1569,0.3629,0.247,0.136,0.498,46.64,0.742,0.676,295,301,-0.200997,0.043189,NA
DVU0863,0.7004,0.0824,0.3797,0.316,0.225,0.562,31.73,0.861,0.605,555,575,-0.404348,0.069565,NA
DVU0864,0.569,0.087,0.3939,0.218,0.223,0.536,39.58,0.833,0.687,252,261,0.095785,0.05364,NA
DVU0865,0.6233,0.1007,0.3538,0.313,0.337,0.601,34.81,0.825,0.639,338,354,0.449717,0.084746,NA
DVU0866,0.591,0.1398,0.3581,0.265,0.212,0.534,40.67,0.803,0.663,395,408,0.026225,0.046569,NA
DVU0867,0.6207,0.1192,0.3425,0.274,0.223,0.542,39.65,0.821,0.677,480,497,0.131187,0.064386,NA
DVU0868,0.5847,0.1095,0.3284,0.248,0.234,0.528,34.75,0.81,0.653,252,268,0.833955,0.104478,NA
DVU0869,0.6373,0.1554,0.3039,0.265,0.224,0.549,34.54,0.781,0.632,237,247,-0.244939,0.08502,NA
DVU0870,0.7609,0.094,0.363,0.352,0.304,0.594,31.75,0.856,0.613,180,186,-0.632796,0.037634,NA
DVU0871,0.6842,0.0963,0.3547,0.299,0.211,0.537,34.84,0.841,0.623,227,238,0.079412,0.046218,NA
DVU0872,0.6175,0.1189,0.3373,0.254,0.171,0.522,39.47,0.773,0.622,247,255,-0.258039,0.121569,NA
DVU0873,0.7177,0.0723,0.3348,0.36,0.203,0.552,29.12,0.812,0.627,277,287,-0.196864,0.045296,NA
DVU0874,0.7876,0.0677,0.3064,0.397,0.332,0.616,27.03,0.847,0.618,242,254,-0.298819,0.066929,NA
DVU0875,0.6368,0.1415,0.3316,0.296,0.296,0.575,37.69,0.807,0.647,254,259,0.051351,0.054054,NA
DVU0876,0.6308,0.1311,0.374,0.274,0.26,0.555,36.19,0.822,0.635,539,554,0.022563,0.063177,NA
DVU0877,0.381,0.2222,0.2857,0.204,-0.119,0.356,61,0.578,0.596,45,47,-0.225532,0.06383,NA
DVU0878,0.6277,0.2151,0.314,0.303,0.228,0.553,33.95,0.754,0.633,114,118,-0.427119,0.033898,NA
DVU0879,0.425,0.2647,0.2424,0.164,-0.105,0.364,58.79,0.568,0.548,44,45,-0.571111,0.111111,NA
DVU0880,0.5047,0.2553,0.2809,0.257,0.158,0.516,49.38,0.648,0.563,122,129,-0.333333,0.062016,NA
DVU0881,0.6342,0.1304,0.3525,0.289,0.203,0.53,37.6,0.807,0.634,664,688,-0.094913,0.065407,NA
DVU0882,0.3906,0.1587,0.3577,0.17,0.025,0.403,57.05,0.653,0.636,144,154,-0.066234,0.038961,NA
DVU0883,0.4615,0.1587,0.4754,0.324,0.085,0.464,46.32,0.702,0.537,84,85,-0.257647,0.058824,NA
DVU0884,0.5556,0.1667,0.4133,0.275,0.185,0.528,47.4,0.75,0.591,108,114,-0.442105,0.114035,NA
DVU0885,0.6193,0.1534,0.3989,0.298,0.331,0.602,39.42,0.811,0.631,254,262,-0.142366,0.099237,NA
DVU0886,0.6161,0.15,0.2812,0.203,0.162,0.5,40.52,0.762,0.645,126,136,-0.324265,0.117647,NA
DVU0887,0.4558,0.1026,0.4458,0.194,0.092,0.452,42.83,0.781,0.688,407,424,-0.068868,0.073113,NA
DVU0888,0.4524,0.1348,0.4521,0.217,0.116,0.467,44.4,0.745,0.634,553,570,-0.038246,0.061404,NA
DVU0889,0.4676,0.1457,0.3763,0.245,0.148,0.495,46.61,0.73,0.672,366,379,0.143536,0.034301,NA
DVU0890,0.6379,0.0756,0.3962,0.298,0.251,0.552,31.83,0.86,0.671,413,424,0.048349,0.051887,NA
DVU0891,0.7276,0.0657,0.3667,0.322,0.343,0.613,30.25,0.891,0.647,375,397,-0.210831,0.100756,NA
DVU0892,0.4183,0.1049,0.4748,0.199,0.047,0.435,41.39,0.774,0.688,168,175,0.116,0.045714,NA
DVU0893,0.5821,0.1111,0.373,0.232,0.219,0.529,41.01,0.806,0.652,155,160,0.129375,0.03125,NA
DVU0894,0.5761,0.0833,0.4104,0.266,0.232,0.548,36.75,0.835,0.68,345,354,-0.013842,0.056497,NA
DVU0895,0.5814,0.0738,0.4532,0.263,0.182,0.512,36.42,0.839,0.638,720,742,-0.133693,0.070081,NA
DVU0896,0.4837,0.0952,0.4179,0.247,0.216,0.533,42.32,0.777,0.666,435,464,-0.055172,0.086207,NA
DVU0897,0.4467,0.1034,0.436,0.242,0.157,0.497,43.59,0.757,0.676,449,458,0.014629,0.063319,NA
DVU0898,0.531,0.0877,0.4727,0.272,0.211,0.534,33.17,0.809,0.65,277,293,-0.430717,0.064846,NA
DVU0899,0.6143,0.0606,0.4407,0.268,0.185,0.524,31.23,0.841,0.612,82,86,-0.454651,0.034884,NA
DVU0900,0.5657,0.1401,0.404,0.287,0.293,0.584,42.47,0.792,0.639,202,207,-0.485507,0.101449,NA
DVU0901,0.4806,0.1204,0.3641,0.265,0.164,0.509,42.12,0.741,0.668,224,235,0.307659,0.051064,NA
DVU0902,0.6512,0.0791,0.4515,0.295,0.143,0.509,37.87,0.841,0.616,277,285,-0.695088,0.087719,NA
DVU0903,0.3983,0.1261,0.4608,0.212,0.036,0.417,45.23,0.723,0.648,271,285,0.068772,0.059649,NA
DVU0904,0.4538,0.1242,0.4636,0.211,0.134,0.48,43.52,0.77,0.654,552,571,-0.029597,0.057793,NA
DVU0905,0.5762,0.1244,0.3302,0.251,0.15,0.498,42.25,0.777,0.651,291,298,-0.05604,0.060403,NA
DVU0906,0.5684,0.1445,0.3272,0.241,0.174,0.509,41.07,0.752,0.635,214,218,-0.023395,0.068807,NA
DVU0907,0.6361,0.1069,0.3081,0.289,0.381,0.644,38.74,0.781,0.686,963,979,-1.224719,0.091931,NA
DVU0908,0.4959,0.1767,0.3279,0.215,0.146,0.49,47.07,0.723,0.662,527,543,0.111234,0.051565,NA
DVU0909,0.4851,0.1826,0.3274,0.25,0.135,0.476,46.76,0.683,0.623,126,131,-0.307634,0.022901,NA
DVU0910,0.6122,0.0866,0.4381,0.287,0.223,0.535,37.3,0.828,0.604,314,326,-0.026994,0.06135,NA
DVU0911,0.5367,0.1429,0.3411,0.223,0.116,0.479,43.58,0.746,0.657,284,297,-0.224916,0.074074,NA
DVU0912,0.4676,0.2071,0.4049,0.193,-0.018,0.4,40.97,0.708,0.625,185,194,-0.476804,0.015464,NA
DVU0913,0.5049,0.2479,0.3621,0.295,0.213,0.539,53.02,0.667,0.582,141,145,-0.732414,0.068966,NA
DVU0914,0.4978,0.1641,0.2994,0.196,0.099,0.461,43.13,0.711,0.649,232,245,0.864082,0.073469,NA
DVU0915,0.4557,0.2359,0.3443,0.191,0.014,0.413,51.31,0.679,0.627,252,262,0.156489,0.061069,NA
DVU0916,0.5889,0.1636,0.3401,0.348,0.352,0.618,39.31,0.736,0.57,212,214,0.006075,0.088785,NA
DVU0917,0.7183,0.0455,0.1864,0.414,0.449,0.675,27.79,0.805,0.646,77,82,1.146342,0.04878,NA
DVU0918,0.585,0.0888,0.3442,0.328,0.335,0.594,40.37,0.776,0.581,219,233,0.82103,0.137339,NA
DVU0919,0.4298,0.1593,0.3738,0.177,0.099,0.444,53.63,0.692,0.576,133,144,0.729167,0.138889,NA
DVU0920,0.4375,0.2062,0.3913,0.231,0.159,0.512,50.72,0.669,0.567,127,134,-0.431343,0.104478,NA
DVU0921,0.4094,0.1597,0.4017,0.2,0.043,0.445,49.69,0.678,0.639,146,155,0.114194,0.077419,NA
DVU0922,0.559,0.2074,0.3053,0.294,0.194,0.541,47.96,0.718,0.622,181,185,-0.371892,0.059459,NA
DVU0923,0.4815,0.2283,0.3247,0.278,0.164,0.524,49.41,0.611,0.485,126,132,0.008333,0.106061,NA
DVU0924,0.5139,0.1894,0.3391,0.304,0.203,0.532,43.88,0.709,0.633,453,468,-0.116453,0.064103,NA
DVU0925,0.5898,0.1404,0.3239,0.27,0.23,0.543,43.22,0.751,0.607,293,302,0.013576,0.092715,NA
DVU0926,0.5263,0.28,0.2292,0.215,0.125,0.492,38.85,0.651,0.624,63,63,-0.874603,0.031746,NA
DVU0927,0.6712,0.0706,0.3636,0.359,0.202,0.545,36.37,0.778,0.582,99,102,-0.326471,0.068627,NA
DVU0928,0.6056,0.0714,0.3582,0.394,0.351,0.624,37.15,0.788,0.632,85,87,-0.641379,0.057471,NA
DVU0929,0.5836,0.1056,0.4253,0.301,0.281,0.577,39.87,0.794,0.631,355,366,-0.469399,0.062842,NA
DVU0930,0.4709,0.1053,0.4198,0.251,0.129,0.481,42.57,0.749,0.644,370,380,0.024474,0.05,NA
DVU0931,0.4655,0.1065,0.3775,0.252,0.128,0.483,44.47,0.714,0.636,259,268,0.192164,0.041045,NA
DVU0932,0.426,0.1282,0.4597,0.241,0.165,0.499,46.55,0.726,0.623,383,391,-0.049872,0.040921,NA
DVU0933,0.4444,0.1269,0.4084,0.222,0.106,0.469,47.35,0.709,0.63,399,414,-0.216183,0.043478,NA
DVU0934,0.4154,0.1935,0.377,0.243,0.034,0.451,43.61,0.61,0.581,82,86,-0.774419,0.05814,NA
DVU0935,0.5274,0.1114,0.4333,0.233,0.11,0.481,43.47,0.782,0.621,808,834,-0.060671,0.046763,NA
DVU0936,0.404,0.1792,0.3627,0.244,0.192,0.525,58.37,0.642,0.616,120,124,-0.562903,0.048387,NA
DVU0937,0.52,0.1146,0.4066,0.297,0.209,0.541,48.9,0.73,0.589,122,128,-0.166406,0.070312,NA
DVU0938,0.5052,0.1954,0.3059,0.263,0.156,0.509,44.73,0.647,0.563,116,122,-0.439344,0.122951,NA
DVU0939,0.4804,0.1311,0.3764,0.255,0.221,0.53,50.56,0.699,0.598,236,249,-0.109237,0.084337,NA
DVU0940,0.396,0.1192,0.4595,0.205,0.128,0.47,45.14,0.717,0.624,230,243,-0.00535,0.078189,NA
DVU0941,0.4908,0.1075,0.4011,0.264,0.172,0.509,41.76,0.738,0.627,928,964,-0.09834,0.079876,NA
DVU0942,0.5739,0.1226,0.4343,0.268,0.145,0.5,44.33,0.779,0.593,140,144,-0.374306,0.076389,NA
DVU0943,0.6314,0.0778,0.3937,0.337,0.216,0.548,35.9,0.828,0.601,557,599,0.529215,0.108514,NA
DVU0944,0.3919,0.1231,0.4918,0.214,0.146,0.494,45.81,0.728,0.631,81,85,0.105882,0.129412,NA
DVU0945,0.4903,0.1186,0.4321,0.223,0.099,0.466,43.29,0.753,0.63,789,810,-0.126543,0.07037,NA
DVU0946,0.4911,0.1143,0.3875,0.237,0.133,0.478,43.43,0.733,0.627,460,476,-0.187185,0.05042,NA
DVU0947,0.5824,0.1063,0.2944,0.202,0.095,0.449,36.12,0.791,0.646,287,301,0.973754,0.086379,NA
DVU0948,0.629,0.1607,0.2336,0.255,0.209,0.541,38.32,0.763,0.662,135,142,-0.052817,0.049296,NA
DVU0949,0.5673,0.1542,0.3557,0.267,0.166,0.514,42.97,0.763,0.621,245,253,-0.249012,0.083004,NA
DVU0950,0.1724,0.2857,0.2222,0.197,-0.082,0.382,32.72,0.324,0.456,34,38,0.173684,0.026316,NA
DVU0951,0.4205,0.1123,0.3939,0.214,0.128,0.469,46.03,0.709,0.661,433,445,0.113483,0.033708,NA
DVU0952,0.4472,0.1111,0.4587,0.249,0.135,0.482,41.43,0.761,0.652,276,290,-0.129655,0.051724,NA
DVU0953,0.5773,0.1111,0.4236,0.313,0.228,0.548,37.99,0.788,0.615,387,398,-0.388442,0.075377,NA
DVU0954,0.664,0.1418,0.3228,0.295,0.268,0.58,36.77,0.798,0.611,719,764,-0.659555,0.136126,NA
DVU0955,0.4639,0.1006,0.3828,0.218,0.117,0.475,43.65,0.732,0.652,362,376,0.137766,0.047872,NA
DVU0956,0.65,0.1084,0.3333,0.361,0.32,0.594,34.55,0.812,0.637,96,101,0.032673,0.079208,NA
DVU0957,0.6812,0.0597,0.3966,0.516,0.49,0.706,26.37,0.824,0.594,85,87,-0.477012,0.08046,NA
DVU0958,0.5588,0.1,0.2846,0.364,0.274,0.564,37.76,0.693,0.611,163,167,0.032335,0.02994,NA
DVU0959,0.599,0.0925,0.3829,0.268,0.201,0.532,38.81,0.788,0.609,476,493,-0.317444,0.064909,NA
DVU0960,0.4902,0.1731,0.4,0.136,0.019,0.417,50.9,0.75,0.661,60,62,-0.903226,0.048387,NA
DVU0961,0.5156,0.1705,0.3614,0.22,0.114,0.476,44.95,0.745,0.643,1323,1354,-0.156943,0.05096,NA
DVU0962,0.3226,0.4615,0.2727,0.14,-0.2,0.306,NA,0.444,0.482,36,38,-0.581579,0.052632,NA
DVU0963,0.6742,0.1157,0.3652,0.297,0.333,0.614,35.28,0.829,0.618,158,165,-0.415151,0.115152,NA
DVU0964,0.5582,0.0812,0.4572,0.261,0.191,0.523,36.92,0.831,0.655,958,997,-0.148144,0.082247,NA
DVU0965,0.7436,0.1702,0.3333,0.347,0.278,0.571,26.29,0.768,0.58,56,58,-0.57931,0.051724,NA
DVU0966,0.744,0.0579,0.3616,0.341,0.258,0.571,30.97,0.865,0.591,252,272,-0.228309,0.106618,NA
DVU0967,0.5587,0.062,0.4498,0.288,0.219,0.527,34.95,0.843,0.627,319,337,0.501484,0.118694,NA
DVU0968,0.602,0.0842,0.4261,0.269,0.173,0.509,36.9,0.825,0.614,234,246,0.00813,0.056911,NA
DVU0969,0.4035,0.0773,0.4236,0.215,0.07,0.44,46,0.739,0.66,241,248,0.575403,0.068548,NA
DVU0970,0.4211,0.1029,0.4741,0.233,0.127,0.483,44.49,0.744,0.678,172,179,-0.060894,0.050279,NA
DVU0971,0.4619,0.1019,0.3951,0.236,0.104,0.466,42.97,0.733,0.656,251,259,0.218533,0.034749,NA
DVU0972,0.4511,0.122,0.4551,0.241,0.151,0.493,46.42,0.748,0.645,412,421,-0.099525,0.047506,NA
DVU0973,0.4828,0.107,0.4564,0.23,0.168,0.491,44.54,0.793,0.611,271,289,1.06955,0.138408,NA
DVU0974,0.4222,0.0761,0.5333,0.212,0.145,0.486,39.89,0.804,0.673,107,112,-0.014286,0.0625,NA
DVU0975,0.4392,0.1438,0.3758,0.199,0.127,0.475,52.84,0.684,0.647,177,186,-0.602151,0.032258,NA
DVU0976,0.5,0.1815,0.3661,0.222,0.122,0.484,45.39,0.738,0.668,374,387,-0.115762,0.056848,NA
DVU0977,0.2683,0.1724,0.3333,0.164,-0.255,0.289,40.73,0.444,0.483,45,49,-0.246939,0.163265,NA
DVU0978,0.4635,0.1473,0.4167,0.241,0.046,0.456,47.75,0.733,0.633,270,284,-0.025352,0.091549,NA
DVU0979,0.589,0.1273,0.3893,0.306,0.222,0.549,42.43,0.792,0.625,337,354,-0.016384,0.062147,NA
DVU0980,0.5314,0.092,0.391,0.25,0.086,0.47,41.78,0.778,0.649,198,210,-0.000476,0.057143,NA
DVU0981,0.4349,0.1259,0.4066,0.238,0.124,0.478,45.04,0.735,0.684,826,854,0.244497,0.030445,NA
DVU0982,0.6462,0.1228,0.2963,0.284,0.202,0.531,34.54,0.817,0.671,213,219,0.030594,0.041096,NA
DVU0983,0.5203,0.1301,0.4388,0.217,0.162,0.483,37.08,0.802,0.654,172,181,-0.065746,0.022099,NA
DVU0984,0.6065,0.1541,0.4061,0.224,0.188,0.518,39.19,0.827,0.644,434,449,-0.253898,0.073497,NA
DVU0985,0.4342,0.0571,0.3714,0.24,0.14,0.488,36.21,0.72,0.682,82,85,0.416471,0.070588,NA
DVU0986,0.3939,0.2581,0.2857,0.268,0.359,0.6,NA,0.6,0.59,35,39,0.194872,0.076923,NA
DVU0987,0.6,0.1273,0.451,0.267,0.052,0.462,36.64,0.815,0.612,65,67,-0.432836,0.044776,NA
DVU0988,0.6897,0.08,0.3911,0.317,0.297,0.596,34.13,0.872,0.631,297,308,-0.027273,0.081169,NA
DVU0989,0.6,0.1504,0.2642,0.22,0.093,0.464,39.1,0.746,0.653,138,146,-0.089726,0.041096,NA
DVU0990,0.4549,0.0948,0.4956,0.256,0.118,0.482,37.16,0.799,0.677,274,285,-0.366316,0.042105,NA
DVU0991,0.4526,0.1359,0.4444,0.236,0.182,0.515,44.1,0.742,0.646,260,272,-0.169485,0.095588,NA
DVU0992,0.5509,0.0902,0.4279,0.24,0.14,0.49,38.79,0.792,0.603,308,320,-0.1425,0.053125,NA
DVU0993,0.4123,0.0889,0.4886,0.216,0.049,0.435,44.4,0.746,0.635,232,240,-0.053333,0.0875,NA
DVU0994,0.6852,0.0408,0.2041,0.226,0.246,0.561,28.28,0.825,0.757,57,59,-0.30339,0.016949,NA
DVU0995,0.5437,0.1319,0.4,0.282,0.143,0.5,38.71,0.758,0.615,186,195,0.102051,0.087179,NA
DVU0996,0.5382,0.1629,0.3684,0.244,0.212,0.531,44.75,0.762,0.638,277,291,-0.082818,0.085911,NA
DVU0997,0.4603,0.1472,0.4272,0.259,0.11,0.479,44.94,0.703,0.606,286,291,-0.034021,0.092784,NA
DVU0998,0.4662,0.1015,0.4229,0.246,0.169,0.498,45.93,0.74,0.642,331,351,-0.1151,0.079772,NA
DVU0999,0.4122,0.14,0.4059,0.223,0.13,0.471,48.33,0.721,0.654,688,719,0.468289,0.077886,NA
DVU1000,0.5774,0.185,0.2857,0.252,0.195,0.523,41.28,0.725,0.635,386,407,-0.055037,0.076167,NA
DVU1001,0.4783,0.1273,0.3333,0.232,0.104,0.454,44.46,0.685,0.637,130,134,0.200746,0.059701,NA
DVU1002,0.5984,0.1215,0.3725,0.306,0.228,0.561,36.33,0.77,0.638,148,151,-0.431126,0.072848,NA
DVU1003,0.4353,0.13,0.4349,0.221,0.198,0.531,46.65,0.735,0.677,324,328,-0.860061,0.04878,NA
DVU1004,0.4566,0.1435,0.3921,0.211,0.127,0.464,43.23,0.75,0.65,280,294,0.805102,0.122449,NA
DVU1005,0.4699,0.1098,0.3887,0.283,0.163,0.518,40.46,0.733,0.661,382,406,-0.215764,0.064039,NA
DVU1006,0.4496,0.2182,0.3333,0.175,0.035,0.422,48.04,0.689,0.626,135,149,0.597987,0.14094,NA
DVU1007,0.3176,0.1379,0.4429,0.18,-0.038,0.38,45.45,0.657,0.639,166,178,0.125843,0.044944,NA
DVU1008,0.4541,0.1395,0.4396,0.221,0.057,0.451,46.88,0.745,0.633,255,267,-0.110112,0.048689,NA
DVU1009,0.508,0.1656,0.2418,0.235,0.159,0.508,48.26,0.663,0.629,199,204,-0.276961,0.058824,NA
DVU1010,0.3103,0.3333,0.2778,0.329,0.204,0.547,46.04,0.438,0.468,64,67,0.273134,0.104478,NA
DVU1011,0.5,0.2174,0.3478,0.162,-0.217,0.3,NA,0.667,0.583,30,32,-0.625,0.125,NA
DVU1012,0.6301,0.1238,0.3047,0.337,0.271,0.589,39.08,0.783,0.617,2989,3038,-0.258328,0.07077,NA
DVU1013,0.5489,0.2005,0.2853,0.308,0.235,0.56,43.38,0.684,0.593,443,456,-0.422368,0.061404,NA
DVU1014,0.0714,0.375,0.2,0.164,-0.288,0.241,34.01,0.172,0.323,29,31,0.725806,0.258065,NA
DVU1015,0.2667,0.2121,0.3448,0.177,0.018,0.391,53.28,0.478,0.444,46,48,1.277083,0.104167,NA
DVU1016,0.3617,0.3171,0.35,0.199,0.035,0.434,54.3,0.585,0.512,53,54,-0.735185,0.111111,NA
DVU1017,0.4794,0.1064,0.4201,0.221,0.106,0.463,45.5,0.754,0.619,737,776,0.234278,0.064433,NA
DVU1018,0.5131,0.1436,0.4315,0.227,0.093,0.46,45.95,0.741,0.6,437,448,-0.270759,0.0625,NA
DVU1019,0.3313,0.1718,0.4778,0.205,0.065,0.458,51.45,0.661,0.613,395,406,-0.553941,0.081281,NA
DVU1020,0.4835,0.1201,0.4004,0.222,0.074,0.451,43.7,0.729,0.619,676,701,-0.00756,0.067047,NA
DVU1021,0.7003,0.1153,0.2873,0.359,0.335,0.617,33.44,0.795,0.618,376,388,-0.170103,0.064433,NA
DVU1022,0.6794,0.1036,0.3543,0.293,0.299,0.589,33.76,0.823,0.621,248,258,-0.155814,0.05814,NA
DVU1023,0.5339,0.1124,0.3452,0.225,0.168,0.494,41.82,0.762,0.623,231,246,0.699187,0.170732,NA
DVU1024,0.6,0.1647,0.3317,0.253,0.19,0.521,37.06,0.782,0.67,518,541,-0.324584,0.053604,NA
DVU1025,0.6667,0.0859,0.3733,0.296,0.214,0.53,31.16,0.832,0.625,202,208,0.032692,0.057692,NA
DVU1026,0.6263,0.0583,0.3465,0.255,0.196,0.51,35.6,0.853,0.647,402,419,1.05179,0.085919,NA
DVU1027,0.5385,0.1128,0.377,0.273,0.151,0.502,39.62,0.761,0.62,305,323,0.210526,0.080495,NA
DVU1028,0.5729,0.1304,0.3526,0.228,0.135,0.486,35.45,0.788,0.671,222,232,-0.111638,0.043103,NA
DVU1029,0.5933,0.1232,0.3561,0.267,0.241,0.548,39.78,0.789,0.634,365,373,-0.030295,0.088472,NA
DVU1030,0.6387,0.0847,0.3396,0.319,0.187,0.528,41.4,0.789,0.596,142,147,0.301361,0.068027,NA
DVU1031,0.3462,0.2683,0.2308,0.181,-0.178,0.309,61,0.491,0.529,55,58,0.332759,0.103448,NA
DVU1032,0.4296,0.125,0.4648,0.263,0.145,0.503,48.5,0.752,0.661,165,169,-0.29645,0.04142,NA
DVU1033,0.5396,0.194,0.2823,0.268,0.177,0.526,42.51,0.705,0.65,156,164,0.15,0.054878,NA
DVU1034,0.4305,0.1542,0.399,0.214,0.067,0.448,53.88,0.687,0.612,252,261,-0.098084,0.072797,NA
DVU1035,0.4424,0.1196,0.4045,0.203,0.032,0.433,49.34,0.727,0.668,344,354,0.118926,0.081921,NA
DVU1036,0.4368,0.0936,0.4286,0.188,0.055,0.433,44.82,0.769,0.652,277,294,0.398299,0.115646,NA
DVU1037,0.4057,0.0969,0.4733,0.202,0.039,0.427,44.44,0.746,0.652,468,480,0.136458,0.047917,NA
DVU1038,0.5896,0.1436,0.3118,0.26,0.182,0.517,42.73,0.756,0.644,242,249,0.091566,0.056225,NA
DVU1039,0.6506,0.1287,0.3558,0.299,0.257,0.559,35,0.822,0.638,202,213,-0.059155,0.075117,NA
DVU1040,0.6446,0.1373,0.3197,0.255,0.129,0.492,38.39,0.806,0.644,191,202,-0.157426,0.064356,NA
DVU1041,0.619,0.1383,0.3905,0.295,0.283,0.576,35.51,0.807,0.593,243,257,0.64358,0.151751,NA
DVU1042,0.7065,0.1048,0.3366,0.274,0.079,0.475,32.74,0.825,0.648,120,122,-0.395902,0.040984,NA
DVU1043,0.6949,0.0835,0.3753,0.287,0.221,0.536,31.72,0.861,0.639,496,515,-0.045437,0.067961,NA
DVU1044,0.7107,0.072,0.3503,0.35,0.289,0.581,31.32,0.863,0.634,468,485,0.011959,0.039175,NA
DVU1045,0.6456,0.1329,0.3377,0.233,0.125,0.476,39.74,0.806,0.665,191,198,-0.238384,0.065657,NA
DVU1046,0.6667,0.129,0.3,0.239,0.18,0.513,32.72,0.795,0.607,39,45,-0.08,0.111111,NA
DVU1047,0.625,0.1183,0.2963,0.23,0.157,0.49,38.41,0.824,0.652,204,224,0.546429,0.133929,NA
DVU1048,0.4845,0.0781,0.4862,0.272,0.235,0.525,35.27,0.839,0.649,217,225,1.109333,0.088889,NA
DVU1049,0.5294,0.0852,0.4277,0.261,0.274,0.562,39.83,0.81,0.651,210,216,0.038889,0.055556,NA
DVU1050,0.6145,0.0774,0.3669,0.307,0.303,0.582,36.75,0.843,0.644,586,631,0.644532,0.137876,NA
DVU1051,0.6429,0.1415,0.301,0.272,0.215,0.541,40.39,0.774,0.594,133,137,-0.049635,0.10219,NA
DVU1052,0.588,0.1176,0.3473,0.237,0.164,0.493,38.06,0.786,0.629,341,354,0.313277,0.064972,NA
DVU1054,0.4197,0.125,0.4146,0.193,0.025,0.415,48.73,0.72,0.664,207,212,0.237264,0.04717,NA
DVU1055,0.4595,0.1364,0.4023,0.252,0.223,0.534,48.39,0.733,0.657,326,344,-0.054651,0.090116,NA
DVU1056,0.5267,0.1256,0.4105,0.234,0.159,0.509,44.17,0.772,0.636,267,273,-0.330037,0.03663,NA
DVU1057,0.5833,0.1366,0.3454,0.181,0.068,0.43,42.11,0.82,0.66,244,256,0.5625,0.101562,NA
DVU1058,0.5851,0.0529,0.3333,0.247,0.159,0.48,36.8,0.823,0.662,198,204,1.163725,0.078431,NA
DVU1059,0.5412,0.1589,0.3426,0.248,0.168,0.505,43.08,0.753,0.652,376,390,-0.037436,0.076923,NA
DVU1060,0.5344,0.1326,0.3674,0.246,0.175,0.511,42.43,0.77,0.655,348,367,-0.015531,0.070845,NA
DVU1061,0.5915,0.1527,0.3518,0.286,0.281,0.571,40.12,0.787,0.641,343,353,-0.025213,0.067989,NA
DVU1062,0.464,0.1745,0.3561,0.23,0.12,0.473,46.08,0.718,0.655,245,256,0.294531,0.035156,NA
DVU1063,0.5309,0.0979,0.3978,0.233,0.139,0.482,41.37,0.776,0.649,465,479,-0.130271,0.068894,NA
DVU1064,0.5943,0.0838,0.3486,0.238,0.173,0.511,38.25,0.805,0.657,622,642,0.097508,0.046729,NA
DVU1065,0.5732,0.0817,0.4418,0.289,0.167,0.515,37.65,0.819,0.654,613,629,-0.187917,0.066773,NA
DVU1066,0.6434,0.1061,0.3388,0.273,0.202,0.526,38.24,0.795,0.626,156,163,-0.127607,0.092025,NA
DVU1067,0.6678,0.0705,0.35,0.308,0.202,0.541,33.03,0.821,0.634,364,382,-0.231937,0.091623,NA
DVU1068,0.4839,0.0899,0.4173,0.234,0.201,0.512,45.87,0.766,0.618,334,354,0.886158,0.132768,NA
DVU1069,0.471,0.0854,0.3983,0.251,0.18,0.5,42.07,0.766,0.645,290,306,0.936601,0.101307,NA
DVU1070,0.4795,0.1179,0.4,0.239,0.13,0.48,44.83,0.728,0.628,508,524,-0.002672,0.04771,NA
DVU1071,0.6375,0.1503,0.3357,0.286,0.239,0.561,37.54,0.794,0.648,189,196,-0.336735,0.05102,NA
DVU1072,0.5714,0.1915,0.2733,0.275,0.151,0.507,41.06,0.728,0.645,213,220,-0.010455,0.045455,NA
DVU1073,0.4008,0.1374,0.4531,0.208,0.005,0.418,41.81,0.726,0.657,299,308,-0.263636,0.045455,NA
DVU1074,0.5882,0.125,0.2973,0.23,0.222,0.548,29.5,0.738,0.621,42,44,-1.163636,0.045455,NA
DVU1075,0.4568,0.1728,0.4557,0.177,0.088,0.436,39.1,0.777,0.66,94,96,-0.25625,0.041667,NA
DVU1076,0.48,0.1429,0.3443,0.23,0.234,0.525,41.55,0.713,0.643,80,86,0.011628,0.104651,NA
DVU1077,0.6064,0.067,0.377,0.304,0.241,0.549,35.71,0.813,0.617,503,534,0.113858,0.108614,NA
